FIELD,DESCRIPTION
Year,2011
Country,New Zealand
Region,Oceania
Event Name,Christchurch 2011
Local Date,22/02/2011
Local Time,12:51:42
Longitude (decimal degrees),172.68
Latitude (decimal degrees),-43.583
Depth (km),5.9
Mw,6.1
Max Intensity (MMI),IX
Fault mechanism,Oblique thrust
Tectonic region type,Active shallow crustal
Fatalities,181-185
Injured,1500-7171
Displaced population,
Affected population,~301500
Affected units,
Damaged units,~100000
Collapsed units,
Economic losses,15000 M USD
Insured losses,3500-12000 M USD
Earthquake-triggered effects,"Liquefaction, landslides"
USGS event ID,usp000huvq
Wikipedia page,https://en.wikipedia.org/wiki/2011 Christchurch earthquake
