# 2023_M6.9_Marrakesh median gmf, Stations:All, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,AtkinsonBoore2006Modified2011,ChiouYoungs2014,PezeshkEtAl2011NEHRPBC.NRCan15SiteTerm
m_1,-11.1085,28.4377,0.011943744,0.013276082,0.004920004,0.011512464
m_100,-8.133,27.675,0.00968453,0.0107344035,0.003999425,0.012048514
m_107,-8.0666,31.6453,0.061801072,0.06059473,0.061921008,0.060786728
m_11,-9.753,31.5112,0.03215127,0.03648242,0.035812993,0.03134568
m_114,-8.0469,31.5098,0.11728699,0.113556504,0.118644826,0.11096032
m_120,-8.0349,31.6541,0.05255493,0.05064217,0.052834075,0.054543555
m_131,-8.0286,29.1275,0.027084146,0.035110872,0.028125204,0.02891322
m_14,-9.7314,31.4481,0.04034155,0.041414913,0.04380611,0.040624615
m_145,-7.9927,31.6538,0.06280674,0.06294447,0.062693104,0.062200885
m_15,-9.7142,30.5459,0.035174906,0.036577847,0.036962714,0.040417816
m_155,-7.972,31.6175,0.07310437,0.07242389,0.073969886,0.072773986
m_171,-7.9189,31.6532,0.08100883,0.083037935,0.08289798,0.08028598
m_185,-6.9223,30.9373,0.06847541,0.07115909,0.071137376,0.06770609
m_188,-6.8911,30.9277,0.06524479,0.06915082,0.06847049,0.06554284
m_190,-6.5822,31.9595,0.029656036,0.032762002,0.03121725,0.03185717
m_193,-6.1344,31.3911,0.01996419,0.025089463,0.019634947,0.030468768
m_195,-9.2495,32.262,0.032449648,0.034249805,0.034781046,0.03686087
m_198,-9.2283,32.2891,0.03442541,0.03610129,0.036835816,0.03571258
m_199,-9.2177,32.2891,0.03629606,0.039119426,0.03932537,0.03621019
m_2,-10.1593,29.3877,0.015990268,0.01975635,0.013347124,0.023936233
m_202,-9.0267,32.7313,0.025034066,0.030071178,0.026637224,0.030908495
m_204,-8.8353,32.3523,0.042119864,0.054885224,0.051859103,0.046011824
m_206,-8.5331,33.2265,0.025814475,0.029188938,0.024381379,0.025639158
m_208,-8.5224,33.2355,0.02651934,0.030322714,0.02518395,0.025598923
m_209,-8.5117,33.2265,0.026752923,0.030443285,0.025552707,0.02583314
m_21,-9.6899,31.5296,0.042441834,0.043736827,0.045586366,0.043337032
m_210,-8.5115,33.2625,0.021357447,0.023648167,0.019040164,0.025048835
m_212,-8.4903,33.2083,0.028822955,0.037325636,0.02851415,0.02604475
m_213,-8.4295,32.6488,0.04243398,0.048339512,0.045540784,0.04224702
m_215,-8.344,32.6845,0.040134624,0.051890813,0.04510127,0.039638825
m_216,-8.2136,32.9543,0.031995915,0.046334375,0.034841087,0.030556941
m_217,-7.9723,33.4667,0.022942867,0.025225284,0.019925946,0.023283798
m_220,-7.8642,33.5018,0.027560642,0.02853133,0.0245461,0.026489772
m_223,-7.8317,33.5196,0.031393114,0.03262618,0.02818977,0.02859006
m_225,-7.7777,33.5281,0.030768655,0.031126324,0.027710348,0.029490871
m_228,-7.6916,33.5272,0.02926961,0.029386178,0.02832885,0.028083032
m_229,-7.6807,33.5361,0.028254796,0.028363936,0.027654922,0.027361779
m_23,-9.6372,31.5208,0.0465615,0.047016412,0.051272478,0.048937827
m_231,-7.68,33.5812,0.02358028,0.023658691,0.022309106,0.025359526
m_233,-7.6702,33.5179,0.02738204,0.027427407,0.026748316,0.027035404
m_234,-7.6699,33.536,0.026830515,0.026831742,0.026331792,0.0268102
m_236,-7.6695,33.563,0.026521929,0.026702652,0.02634654,0.0258169
m_237,-7.6593,33.5268,0.026549453,0.026545217,0.02610012,0.026592484
m_238,-7.6486,33.5177,0.026316036,0.026321977,0.025880696,0.026376667
m_239,-7.6481,33.5538,0.0261714,0.02634417,0.026361857,0.025592573
m_24,-9.6195,30.4201,0.03241147,0.033091523,0.033735722,0.036483444
m_240,-7.6479,33.5628,0.026294049,0.027638078,0.026837872,0.025110297
m_241,-7.6478,33.5718,0.025342226,0.026631959,0.025951695,0.024493223
m_243,-7.6475,33.5898,0.023890747,0.024350349,0.023992956,0.023802144
m_244,-7.6474,33.5989,0.02345071,0.02374506,0.023004515,0.023776846
m_245,-7.6472,33.6079,0.02362725,0.02409781,0.02280453,0.023709744
m_247,-7.6366,33.5987,0.023710545,0.023970801,0.023461234,0.02385269
m_249,-7.635,33.0125,0.031213367,0.032925412,0.029501202,0.0333621
m_250,-7.6265,33.5535,0.02532286,0.025185065,0.025141077,0.025812045
m_251,-7.6263,33.5716,0.026169054,0.0271621,0.026681611,0.025080247
m_252,-7.6261,33.5806,0.025748536,0.027052095,0.026334563,0.024646385
m_253,-7.626,33.5896,0.025472082,0.026887635,0.025923911,0.02434971
m_254,-7.6258,33.5986,0.024167547,0.024402903,0.023990298,0.02413867
