# 2023_M6.9_Marrakesh median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,AtkinsonBoore2006Modified2011,ChiouYoungs2014,"NRCan15SiteTerm
gmpe_name = 'PezeshkEtAl2011NEHRPBC'"
t_0,-6.14521,33.34407,0.0062753567,0.010912287,0.0048248973,0.009971164
t_1,-5.60622,33.34407,0.0061703217,0.010478996,0.0040099565,0.009469031
t_10,-5.87572,32.66607,0.0072028455,0.012863286,0.006648329,0.011919912
t_100,-5.87572,32.13514,0.007112584,0.01301771,0.0073961043,0.012256742
t_1000,-7.67235,31.29457,0.039529156,0.03650916,0.0654416,0.044878315
t_1001,-7.49268,31.29457,0.029299898,0.030763388,0.05040873,0.03709095
t_1002,-7.31302,31.29457,0.024822991,0.031823423,0.043810885,0.036631774
t_1003,-7.04353,31.29457,0.018641368,0.030608967,0.032260597,0.03332476
t_1004,-7.13336,31.29457,0.019140406,0.029400827,0.03300636,0.03255886
t_1005,-7.76218,31.29457,0.046218634,0.04359529,0.07389053,0.0531368
t_1006,-7.22319,31.29457,0.02459634,0.034677323,0.044211525,0.039114643
t_1007,-7.40285,31.29457,0.025942001,0.030410543,0.045011114,0.035787206
t_1008,-7.49268,31.3713,0.028256169,0.030616565,0.048052996,0.036532786
t_1009,-7.31302,31.3713,0.022632694,0.029937694,0.03897962,0.034219354
t_101,-5.69605,32.13514,0.008483416,0.0154149765,0.0086801695,0.014392892
t_1010,-7.58252,31.3713,0.037223656,0.03582545,0.06442199,0.04377948
t_1011,-7.67235,31.3713,0.039971475,0.035420697,0.06664599,0.043721765
t_1012,-7.04353,31.3713,0.017145354,0.028913336,0.029091,0.031344995
t_1013,-7.13336,31.3713,0.02150208,0.033491485,0.038033385,0.03690237
t_1014,-7.22319,31.3713,0.023073878,0.033061992,0.040750854,0.037075683
t_1015,-7.40285,31.3713,0.029102635,0.034830436,0.051565643,0.0406342
t_1016,-7.76218,31.3713,0.05319903,0.04859302,0.088603,0.059410628
t_1017,-7.49268,31.44796,0.02690014,0.030438844,0.04541223,0.035887174
t_1018,-7.31302,31.44796,0.021867936,0.029790796,0.037328158,0.033767547
t_1019,-7.58252,31.44796,0.030169727,0.03075308,0.05023773,0.03705098
t_102,-5.60622,32.21118,0.007188579,0.012865629,0.0067480565,0.011945374
t_1020,-7.67235,31.44796,0.038329165,0.03467068,0.06416794,0.042725228
t_1021,-7.04353,31.44796,0.020525416,0.03514068,0.03603296,0.03789701
t_1022,-7.13336,31.44796,0.018241867,0.029130623,0.030907357,0.031905796
t_1023,-7.22319,31.44796,0.019914538,0.029461449,0.033938404,0.03280668
t_1024,-7.40285,31.44796,0.024168344,0.030117234,0.041131742,0.034793142
t_1025,-7.76218,31.44796,0.051114827,0.045580097,0.08611663,0.05607294
t_1026,-7.49268,31.52457,0.031677596,0.037799727,0.0557706,0.043970056
t_1027,-7.76218,31.52457,0.051188685,0.04805667,0.08907556,0.059216004
t_1028,-7.31302,31.52457,0.021917934,0.030737443,0.037444726,0.03451492
t_1029,-7.40285,31.52457,0.024921637,0.032068577,0.04281687,0.03663975
t_103,-6.14521,32.21118,0.010173771,0.018914476,0.0122906985,0.018010417
t_1030,-7.22319,31.52457,0.021316487,0.03222211,0.03682261,0.035592925
t_1031,-7.58252,31.52457,0.03601421,0.039302997,0.06298789,0.046593312
t_1032,-7.13336,31.52457,0.01769417,0.02898522,0.029677762,0.03152798
t_1033,-7.67235,31.52457,0.035288088,0.034397505,0.05905862,0.041610032
t_1034,-7.04353,31.52457,0.01642579,0.028768646,0.027303262,0.030841751
t_1035,-7.76218,31.60111,0.046617538,0.04801513,0.08194192,0.057934348
t_1036,-7.40285,31.60111,0.026846413,0.036558583,0.04712144,0.04127812
t_1037,-7.49268,31.60111,0.033902984,0.043785393,0.061078645,0.050237212
t_1038,-7.31302,31.60111,0.025632355,0.03778552,0.045386434,0.041996885
t_1039,-7.67235,31.60111,0.04175852,0.046256717,0.0741287,0.05488694
t_104,-5.87572,32.21118,0.008552381,0.015612098,0.009159258,0.014667393
t_1040,-7.58252,31.60111,0.03358905,0.039132796,0.058696263,0.045670234
t_1041,-7.22319,31.60111,0.018472213,0.029126486,0.030871555,0.0318949
t_1042,-7.13336,31.60111,0.024314215,0.041801363,0.04363129,0.045119714
t_1043,-7.04353,31.60111,0.01934194,0.0347072,0.033219423,0.036961768
t_1044,-7.58252,31.67759,0.03678022,0.048465043,0.06707332,0.055667147
