FIELD,DESCRIPTION
Year,2000
Country,Iceland
Region,Europe
Event Name,Iceland 2000
Local Date,21/06/2000
Local Time,00:51:46
Latitude (decimal degrees),63.98
Longitude (decimal degrees),-20.758
Depth (km),10
Mw,6.5
Max Intensity (MMI),IX
Fault mechanism,Strike-slip
Tectonic region type,Active Shallow Crust
Fatalities,
Injured,
Displaced population,
Affected population,
Affected units,
Damaged units,
Collapsed units,12.0 Buildings
Economic losses,0-12 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,usp0009ux8
Wikipedia page,https://en.wikipedia.org/wiki/2000 Iceland earthquakes
