calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations,abs_bias
379,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:GEM, Recording Stations:all)",16,AbrahamsonEtAl2015SInterHigh,PGA,-0.132,1.2626684,GFZ,GEM,all,0.132
379,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:GEM, Recording Stations:all)",16,MontalvaEtAl2017SInter,PGA,-0.352,1.1956794,GFZ,GEM,all,0.352
379,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:GEM, Recording Stations:all)",16,ZhaoEtAl2006SInter,PGA,0.097,1.3102038,GFZ,GEM,all,0.097
378,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:GEM, Recording Stations:seismic)",18,AbrahamsonEtAl2015SInterHigh,PGA,-0.287,1.2523688,GFZ,GEM,seismic,0.287
378,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:GEM, Recording Stations:seismic)",18,MontalvaEtAl2017SInter,PGA,-0.5,1.2634586,GFZ,GEM,seismic,0.5
378,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:GEM, Recording Stations:seismic)",18,ZhaoEtAl2006SInter,PGA,-0.099,1.2985137,GFZ,GEM,seismic,0.099
381,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:all)",45,AbrahamsonEtAl2014,PGA,-0.232,1.2145679,GFZ,USGS,all,0.232
381,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:all)",45,AtkinsonBoore2003SInter,PGA,-0.328,1.3247349,GFZ,USGS,all,0.328
381,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:all)",45,BooreEtAl2014,PGA,0.44,1.2597381,GFZ,USGS,all,0.44
381,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:all)",45,CampbellBozorgnia2014,PGA,0.275,1.2271333,GFZ,USGS,all,0.275
381,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:all)",45,ChiouYoungs2014,PGA,-0.283,1.2344029,GFZ,USGS,all,0.283
381,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:all)",45,MontalvaEtAl2017SInter,PGA,-0.352,1.1956794,GFZ,USGS,all,0.352
381,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:all)",45,ZhaoEtAl2016SInter,PGA,0.486,1.7161866,GFZ,USGS,all,0.486
380,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:seismic)",52,AbrahamsonEtAl2014,PGA,-0.429,1.2633766,GFZ,USGS,seismic,0.429
380,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:seismic)",52,AtkinsonBoore2003SInter,PGA,-0.48,1.2014333,GFZ,USGS,seismic,0.48
380,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:seismic)",52,BooreEtAl2014,PGA,0.218,1.3970907,GFZ,USGS,seismic,0.218
380,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:seismic)",52,CampbellBozorgnia2014,PGA,0.081,1.2554585,GFZ,USGS,seismic,0.081
380,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:seismic)",52,ChiouYoungs2014,PGA,-0.455,1.2698289,GFZ,USGS,seismic,0.455
380,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:seismic)",52,MontalvaEtAl2017SInter,PGA,-0.5,1.2634586,GFZ,USGS,seismic,0.5
380,"Median gmf - 20160416_M7.8_Pedernales (Rupture:GFZ, GMPEs:USGS, Recording Stations:seismic)",52,ZhaoEtAl2016SInter,PGA,0.232,1.6595786,GFZ,USGS,seismic,0.232
383,"Median gmf - 20160416_M7.8_Pedernales (Rupture:IPGP, GMPEs:GEM, Recording Stations:all)",38,AbrahamsonEtAl2015SInterHigh,PGA,-0.258,1.255668,IPGP,GEM,all,0.258
383,"Median gmf - 20160416_M7.8_Pedernales (Rupture:IPGP, GMPEs:GEM, Recording Stations:all)",38,MontalvaEtAl2017SInter,PGA,-0.381,1.2018434,IPGP,GEM,all,0.381
