STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,PGA_VALUE_1,PGA_VALUE_2,PGA_VALUE_V,VS30,VS30_TYPE 
AALJ,AALJ,10.02,-84.217,seismic,https://www.lis.ucr.ac.cr/Descargas,S4,0.108,0,0.108,0.106,0.0448,180,measured 
ASRM,ASRM,10.087,-84.485,seismic,https://www.lis.ucr.ac.cr/Descargas,S4,0.0922,0,0.0913,0.0922,0.0752,180,measured 
CCCH,CCCH,9.843,-83.806,seismic,https://www.lis.ucr.ac.cr/Descargas,S1,0.138,0,0.138,0.074,0.0547,760,measured 
CCTG,CCTG,9.867,-83.892,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.256,0,0.256,0.209,0.128,265,measured 
SAU1,SAU1,9.938,-84.077,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.0725,0,0.0725,0.0588,0.0335,265,measured 
SBN1,SBN1,9.936,-84.082,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.0742,0,0.0742,0.0686,0.0769,265,measured 
SCMA,SCMA,9.387,-84.053,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.188,0,0.146,0.188,0.118,265,measured 
SGTS,SGTS,9.871,-84.038,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.102,0,0.102,0.0649,0.0427,265,measured 
SHTO,SHTO,9.916,-84.099,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.118,0,0.118,0.0777,0.0519,265,measured 
SISD,SISD,9.373,-83.705,seismic,https://www.lis.ucr.ac.cr/Descargas,S2,0.19,0,0.19,0.14,0.129,555,measured 
