STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA,SOIL_TYPE,VS30,VS30_TYPE,VS30_USGS
1401,,31.60732,40.74567,seismic,0.803826,0,C,294,C,348
8101,,31.148112,40.843923,seismic,0.512945,0,C,282,C,257
1406,,31.20994,40.46843,seismic,0.121963,0,C,355,C,453
4101,,29.91721,40.7665,seismic,0.050784,0,A,826,A,591
1404,,30.78307,40.39659,seismic,0.027116,0,C,348,C,415
5401,,30.38005,40.73707,seismic,0.023946,0,C,412,C,321
1612,,29.71688,40.44163,seismic,0.023272,0,C,197,C,270
4302,,29.99716,39.4193,seismic,0.020661,0,C,226,C,449
301,,30.53395,38.77598,seismic,0.01027,0,C,226,C,243
1604,,29.1273,40.1831,seismic,0.009284,0,B,459,B,624
3401,,29.00951,41.0582,seismic,0.008938,0,B,595,B,429
3701,,34.03671,41.01319,seismic,0.007877,0,C,362,C,567
5902,,27.51504,40.97928,seismic,0.006101,0,B,409,B,487
1701,,26.39948,40.14145,seismic,0.003925,0,C,192,C,289
2002,,29.11113,37.81247,seismic,0.003662,0,C,356,C,362
6401,,29.40401,38.67128,seismic,0.003084,0,C,285,C,375
1001,,27.85686,39.65003,seismic,0.00269,0,B,662,B,492
3502,,27.22673,38.45514,seismic,0.001843,0,C,270,C,354
4501,,27.38138,38.61259,seismic,0.001821,0,C,340,C,468
OBS_1,Duzce (Intensity IX),31.16261,40.83872,macroseismic,1.493747,0.8059,,239.77,inferred,248
496,IRIGM Station No. 496,30.873,40.742,seismic,1.040816,0,,877.41,inferred,664
C0375,LDEO Station No. C0375 VO,30.876,40.743,seismic,0.920408,0,,877.41,inferred,664
BOL,Bolu-Bayindirlik ve Iskan Mudurlugu,31.607,40.746,seismic,0.80102,0,,399.62,inferred,435
OBS_2,Bolu (Intensity VIII),31.60821,40.73254,macroseismic,0.699803,0.8059,,230.07,inferred,338
OBS_3,Hendek (Intensity VIII),30.74471,40.79505,macroseismic,0.684962,0.8059,,406.04,inferred,375
OBS_4,Adapazari (Intensity VIII),30.40054,40.77813,macroseismic,0.524848,0.8059,,217.38,inferred,227
DZC,Duzce-Meteoroloji Mudurlugu,31.151,40.843,seismic,0.514286,0,,239.77,inferred,257
498,IRIGM Station No. 498,30.879,40.746,seismic,0.389796,0,,877.41,inferred,900
487,IRIGM Station No. 487,30.889,40.749,seismic,0.295918,0,,877.41,inferred,614
C1062,LDEO Station No. C1062 FI,30.82,40.723,seismic,0.254082,0,,900,inferred,580
OBS_7,Zonguldak (Intensity VII),31.78938,41.45352,macroseismic,0.242088,0.8059,,590.7,inferred,416
OBS_5,Izmit (Intensity VII),29.93041,40.76389,macroseismic,0.237619,0.8059,,600,inferred,596
OBS_8,Bilecik (Intensity VII),29.97933,40.14257,macroseismic,0.223461,0.8059,,506.29,inferred,512
OBS_6,Yalova (Intensity VII),29.28419,40.6549,macroseismic,0.207298,0.8059,,363.76,inferred,341
OBS_9,Bursa (Intensity VII),29.06708,40.18285,macroseismic,0.196271,0.8059,,588.83,inferred,608
D0531,LDEO Station No. D0531 WF,30.855,40.703,seismic,0.158163,0,,596.78,inferred,892
C1059,LDEO Station No. C1059 FP,30.872,40.745,seismic,0.157143,0,,877.41,inferred,664
C1061,LDEO Station No. C1061,30.792,40.72,seismic,0.126531,0,,768.94,inferred,807
MDR,Mudurnu-Kaymakamlik Binasi,31.182,40.463,seismic,0.120408,0,,475.5,inferred,618
OBS_14,Karabuk (Intensity VI),32.62265,41.19562,macroseismic,0.119046,0.8059,,544.73,inferred,292
OBS_12,Eskisehir (Intensity VI),30.5156,39.77088,macroseismic,0.117327,0.8059,,196.99,inferred,255
OBS_13,Bartin (Intensity VI),32.33381,41.6376,macroseismic,0.115968,0.8059,,531.83,inferred,427
C1058,LDEO Station No. C1058 BV,31.015,40.755,seismic,0.111224,0,,900,inferred,771
OBS_15,Ankara (Intensity VI),32.85393,39.92088,macroseismic,0.108577,0.8059,,394.75,inferred,378
OBS_11,Kutahya (Intensity VI),29.98562,39.41988,macroseismic,0.105627,0.8059,,578.67,inferred,579
OBS_16,Cankiri (Intensity VI),33.61622,40.60021,macroseismic,0.103136,0.8059,,614.5,inferred,468
OBS_17,Kastamonu (Intensity VI),33.7765,41.37663,macroseismic,0.100024,0.8059,,473.46,inferred,389
OBS_10,Balikesir (Intensity VI),27.88834,39.65046,macroseismic,0.091386,0.8059,,382.91,inferred,327
OBS_18,Tekirdag (Intensity VI),27.51167,40.97809,macroseismic,0.091196,0.8059,,486.92,inferred,507
OBS_24,Kirikkale (Intensity V),33.50876,39.83978,macroseismic,0.053855,0.8059,,441.42,inferred,383
C1060,LDEO Station No. C1060 BU,30.613,40.777,seismic,0.052551,0,,451.76,inferred,406
OBS_23,Afyon (Intensity V),30.53887,38.75687,macroseismic,0.052475,0.8059,,485.48,inferred,456
HIL,Hilal (Yalova),29.265,40.647,seismic,0.05051,0,,408.64,inferred,389
OBS_27,Kirsehir (Intensity V),34.1595,39.14608,macroseismic,0.048719,0.8059,,335.94,inferred,346
OBS_25,Corum (Intensity V),34.95294,40.55061,macroseismic,0.048573,0.8059,,374.37,inferred,374
OBS_19,Manisa (Intensity V),27.4276,38.61407,macroseismic,0.048528,0.8059,,437.96,inferred,462
OBS_28,Isparta (Intensity V),30.55957,37.76402,macroseismic,0.048528,0.8059,,646.96,inferred,406
OBS_22,Denizli (Intensity V),29.08543,37.78306,macroseismic,0.048528,0.8059,,453.47,inferred,453
OBS_29,Burdur (Intensity V),30.28233,37.71834,macroseismic,0.048528,0.8059,,449.1,inferred,449
OBS_20,Izmir (Intensity V),27.128,38.418,macroseismic,0.048528,0.8059,,600,inferred,600
OBS_26,Yozgat (Intensity V),34.80857,39.82105,macroseismic,0.048528,0.8059,,601.03,inferred,491
OBS_21,Aydin (Intensity V),27.84393,37.85001,macroseismic,0.048528,0.8059,,531.74,inferred,468
GLCK,Golcuk,29.815,40.726,seismic,0.042143,0,,462.01,inferred,394
C0362,LDEO Station No. C0362 CH,30.666,40.67,seismic,0.041122,0,,245.67,inferred,900
