ID_1,NAME_1,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
20,Oaxaca,80,80,,120000.0,,Shaking,EID,
7,Chiapas,16,16,,338134.0,,Shaking,EID,
27,Tabasco,4,4,,,,Shaking,EID,
20,Oaxaca,78-82,78-82,698.0,,1500000.0,Shaking,Wikipedia,
7,Chiapas,16,16,192.0,,,Shaking,Wikipedia,
27,Tabasco,4,4,10.0,,,Shaking,Wikipedia,
20,Oaxaca,78,78,250.0,,,Shaking,USGS,
7,Chiapas,16,16,,,,Shaking,USGS,
27,Tabasco,4,4,,,,Shaking,USGS,
20,Oaxaca,78,78,250.0,,,Shaking,NOAA,
7,Chiapas,16,16,,,,Shaking,NOAA,
27,Tabasco,4,4,,,,Shaking,NOAA,
7,Chiapas,16,16,,,,Shaking,Noticieros_2019,
20,Oaxaca,78,78,,,,Shaking,Noticieros_2019,
20,Oaxaca,79,79,,,,Shaking,National_Center_for_Disaster_Prevention_2020,
7,Chiapas,16,16,,,,Shaking,National_Center_for_Disaster_Prevention_2020,
27,Tabasco,4,4,,,,Shaking,National_Center_for_Disaster_Prevention_2020,
20,Oaxaca,79,79,,,,Shaking,Informador_2021,
7,Chiapas,16,16,,,,Shaking,Informador_2021,
27,Tabasco,4,4,,,,Shaking,Informador_2021,
7,Chiapas,16,16,,557.0,,Shaking,EL_Universal_2017,
20,Oaxaca,45,45,250.0,,,Shaking,ALJAZEERA,
7,Chiapas,12,12,,,,Shaking,ALJAZEERA,
27,Tabasco,4,4,,,,Shaking,ALJAZEERA,
7,Chiapas,16,16,,,,Shaking,Caritasancristobal_2017,
20,Oaxaca,45,45,,,,Shaking,CNN,
7,Chiapas,10,10,,,,Shaking,CNN,
27,Tabasco,3,3,,,,Shaking,CNN,
7,Chiapas,,,32.0,834.0,1479575.0,Shaking,Edan_sismo_1230h_12sep2017,
20,Oaxaca,,,217.0,5480.0,,Shaking,Edan_sismo_1230h_12sep2017,
