STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30_TYPE
IMMV,GEOFON/NOA Station Varypetro- Crete- Greece,35.4599,23.98021,seismic,ESM,A (inferred from topography),0.000342457,0,0.000445291,0,0.000658095,0,0.001077476,0,A (inferred from topography)
KTHA,NOA GEOFON Station Kythira  Greece,36.2566,23.0621,seismic,ESM,B (inferred from topography),0.000231036,0,0.000241452,0,0.000578438,0,0.000454758,0,B (inferred from topography)
ATH5,Greek Parliament Athens Attica,37.975421,23.737098,seismic,ESM,C (inferred from topography),0.000707114,0,0.001441825,0,0.001900334,0,0.001952974,0,C (inferred from topography)
KRL1,Aegean University Karlovasi Samos North Aegean,37.7951,26.7065,seismic,ESM,B (inferred from topography),0.011636441,0,0.026109474,0,0.016380077,0,0.019817605,0,B (inferred from topography)
LMN1,TownHall Myrina Limnos Island,39.875,25.0588,seismic,ESM,B (inferred from topography),0.0067486,0,0.025552361,0,0.010378747,0,0.005705765,0,B (inferred from topography)
MYT1,Aegean University Mytilene Lesvos Island,39.085,26.5694,seismic,ESM,B (inferred from topography),0.068075562,0,0.144992508,0,0.1580482,0,0.139217746,0,B (inferred from topography)
NAX1,TownHall Naxos Naxos Island,37.101394,25.374103,seismic,ESM,B (inferred from topography),0.000960017,0,0.002589169,0,0.002442076,0,0.001214149,0,B (inferred from topography)
PLN1,TownHall Chaniotis Chalkidiki Central Macedonia,39.998,23.575,seismic,ESM,B (inferred from topography),0.001158893,0,0.00150123,0,0.002914605,0,0.003225302,0,B (inferred from topography)
RDI1,TownHall Rhodes Rhodes Island,36.4514,28.224,seismic,ESM,B (inferred from topography),0.001401296,0,0.001548189,0,0.002542598,0,0.004186829,0,B (inferred from topography)
RGE1,RGE1,36.0269,27.93056,seismic,ESM,C (inferred from topography),0.000631674,0,0.000813236,0,0.00116771,0,0.001900697,0,C (inferred from topography)
SFL1,HealthCenter Soufli Evros Thrace,41.189954,26.304374,seismic,ESM,C (inferred from topography),0.006942284,0,0.019782148,0,0.024789786,0,0.010742972,0,C (inferred from topography)
SKY1,TownHall Skyros Skyros Island,38.904483,24.564572,seismic,ESM,B (inferred from topography),0.002951165,0,0.007421335,0,0.005622008,0,0.003974889,0,B (inferred from topography)
ALNA,ALONNISSOS,39.14804,23.86669,seismic,ESM,C (inferred from topography),0.002354866,0,0.002884052,0,0.005948907,0,0.008413734,0,C (inferred from topography)
AMGA,AMORGOS,36.83157,25.89382,seismic,ESM,B (inferred from topography),0.000869958,0,0.00207295,0,0.00145145,0,0.00104318,0,B (inferred from topography)
ASTA,ASTYPALAIA,36.54543,26.3528,seismic,ESM,B (inferred from topography),0.000383555,0,0.000726059,0,0.000957054,0,0.000864702,0,B (inferred from topography)
DLFA,Delfoi  Greece,38.47836,22.49583,seismic,ESM,A (inferred from topography),0.00029758,0,0.000322518,0,0.000514947,0,0.000701057,0,A (inferred from topography)
IACM,Irakleio  Crete  Greece,35.3058,25.0709,seismic,ESM,A (inferred from topography),0.000637528,0,0.001188114,0,0.002368368,0,0.001611416,0,A (inferred from topography)
IKRA,AGIOS-KIRIKOS-IKARIAS,37.61117,26.29283,seismic,ESM,B (inferred from topography),0.014302444,0,0.033918126,0,0.025362975,0,0.020006433,0,B (inferred from topography)
IMMV,NOA GEOFON Iera Moni Varipetrou Greece,35.4606,23.9811,seismic,ESM,A (inferred from topography),0.000337342,0,0.000438196,0,0.000645753,0,0.001057441,0,A (inferred from topography)
ITM,Ithomi Messinia Greece,37.17872,21.92522,seismic,ESM,A (inferred from topography),0.000125859,0,0.00013747,0,0.000188126,0,0.000184382,0,A (inferred from topography)
KLNA,Pothia Kalymnos Island Greece,36.95708,26.97274,seismic,ESM,B (inferred from topography),0.002199599,0,0.006957252,0,0.003335087,0,0.002816082,0,B (inferred from topography)
KSL,Kastelorizo Island- Greece,36.15031,29.58561,seismic,ESM,B (inferred from topography),0.000364257,0,0.000459978,0,0.000588796,0,0.000615566,0,B (inferred from topography)
KTHA,NOA GEOFON Kythira Greece,36.2566,23.0621,seismic,ESM,B (inferred from topography),0.000226349,0,0.000236553,0,0.000566701,0,0.000445531,0,B (inferred from topography)
KVLA,Kavala  Greece,40.93704,24.38591,seismic,ESM,B (inferred from topography),0.000421069,0,0.001394858,0,0.001049978,0,0.00067458,0,B (inferred from topography)
KYMI,Kymi- Euboea Island,38.633147,24.100138,seismic,ESM,A (inferred from topography),0.001083179,0,0.001950777,0,0.002791465,0,0.001551084,0,A (inferred from topography)
LIA,Limnos Greece,39.89725,25.18055,seismic,ESM,B (inferred from topography),0.005055713,0,0.013634408,0,0.008331323,0,0.006913475,0,B (inferred from topography)
MNVA,Monemvasia  Greece,36.68709,23.03734,seismic,ESM,B (inferred from topography),0.000199819,0,0.000233913,0,0.00028257,0,0.00031024,0,B (inferred from topography)
NISR,Mandraki Nisyros Greece,36.6106,27.131,seismic,ESM,,0.001319497,0,0.002468751,0,0.002708729,0,0.002284369,0,
NOAC,NOA Athens Greece,37.97384,23.71767,seismic,ESM,,0.000703304,0,0.001872153,0,0.001450605,0,0.001768723,0,
PLG,Poligiros Chalkidiki Greece,40.37328,23.44443,seismic,ESM,B (inferred from topography),0.00024933,0,0.000525354,0,0.00055444,0,0.000399926,0,B (inferred from topography)
PRK,Agia Paraskevi  Lesvos  Greece,39.24565,26.26499,seismic,ESM,B (inferred from topography),0.037385242,0,0.071623942,0,0.064910881,0,0.089343887,0,B (inferred from topography)
PSRA,PSARA,38.53978,25.56202,seismic,ESM,B (inferred from topography),0.033470558,0,0.073035372,0,0.019946837,0,0.007299643,0,B (inferred from topography)
SMTH,Samothraki Island  Greece,40.47094,25.53045,seismic,ESM,A (inferred from topography),0.001811183,0,0.003560214,0,0.00290287,0,0.001876212,0,A (inferred from topography)
TNSA,Tinos Island  Greece,37.53942,25.1631,seismic,ESM,B (inferred from topography),0.002297294,0,0.006209681,0,0.003840683,0,0.002233678,0,B (inferred from topography)
YDRA,Ydra Island  Greece,37.34923,23.46525,seismic,ESM,A (inferred from topography),0.000437073,0,0.000788616,0,0.000780467,0,0.001528692,0,A (inferred from topography)
ZKR,NOA GEOFON Zakros Greece,35.1147,26.21691,seismic,ESM,B (inferred from topography),0.00016538,0,0.000246942,0,0.000379784,0,0.000471395,0,B (inferred from topography)
AKS,Akhisar Manisa Turkey,38.8785,27.8129,seismic,ESM,B (inferred from topography),0.008537897,0,0.024548589,0,0.009648109,0,0.006660694,0,B (inferred from topography)
DST,Dursunbey Balikesir Turkey,39.6041,28.6267,seismic,ESM,B (inferred from topography),0.00292447,0,0.0122607,0,0.005933381,0,0.002591255,0,B (inferred from topography)
ESKT,Seyitgazi Eskisehir Turkey,39.5212,30.8492,seismic,ESM,B (inferred from topography),0.000339718,0,0.000807667,0,0.00080145,0,0.000712639,0,B (inferred from topography)
GOMA,Golmarmara  Manisa  Turkey,38.7077,27.9175,seismic,ESM,B (inferred from topography),0.004872157,0,0.014279828,0,0.008458063,0,0.005465422,0,B (inferred from topography)
GONE,Gonen Balikesir Turkey,40.0466,27.686,seismic,ESM,B (inferred from topography),0.004017018,0,0.009241334,0,0.013912705,0,0.006107367,0,B (inferred from topography)
GPA,Golpazari Bilecik Turkey,40.2911,30.3171,seismic,ESM,A (inferred from topography),0.000517751,0,0.001410075,0,0.001747026,0,0.001164757,0,A (inferred from topography)
GPNR,Kocakoy Ayvacik Canakkale Turkey,39.456,26.1331,seismic,ESM,B (inferred from topography),0.026606688,0,0.055590491,0,0.02435485,0,0.01458164,0,B (inferred from topography)
KAVV,KOERI Uskudar Istanbul Turkey,41.0638,29.06,seismic,ESM,B (inferred from topography),0.004633205,0,0.008043265,0,0.014697314,0,0.008790863,0,B (inferred from topography)
KHL,Karahalli Usak Turkey,38.3231,29.5286,seismic,ESM,B (inferred from topography),0.000285917,0,0.000708029,0,0.000710349,0,0.000510472,0,B (inferred from topography)
KIYI,Kiyikoy-ISTANBUL,41.4844,28.3,seismic,ESM,B (inferred from topography),0.00515792,0,0.010222699,0,0.015258038,0,0.005686737,0,B (inferred from topography)
OSMT,Osmaniye Iznik Bursa Turkey,40.6009,29.7,seismic,ESM,B (inferred from topography),0.000656637,0,0.001698152,0,0.002140151,0,0.001648796,0,B (inferred from topography)
SMAA,Simav  Kutahya  Turkey,39.1005,28.9805,seismic,ESM,C (inferred from topography),0.007450041,0,0.011584567,0,0.029223746,0,0.013886147,0,C (inferred from topography)
UKOP,Uzunkopru Edirne Turkey,41.1288,26.6323,seismic,ESM,B (inferred from topography),0.004942708,0,0.010398274,0,0.014620323,0,0.007926566,0,B (inferred from topography)
