# 20090108_M6.1_Cinchona median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarEtAlRjb2014,CauzziEtAl2014
m_17,-84.127,9.9839,0.14527008,0.15746363,0.14853734
m_18,-84.2182,9.9847,0.13452058,0.13396104,0.1338453
m_19,-84.1278,9.8936,0.055523664,0.058886044,0.061753858
m_20,-84.1262,10.0742,0.121538214,0.15818816,0.12785247
m_21,-84.219,9.8943,0.045302086,0.047981203,0.051012535
m_22,-84.0359,9.983,0.09778714,0.10023295,0.09879437
m_23,-84.0367,9.8927,0.031179668,0.03369664,0.033312954
m_24,-85.1239,10.9854,0.007383513,0.007411644,0.007087392
m_25,-84.4909,10.0771,0.041215546,0.048875224,0.044213913
m_26,-84.4005,9.9861,0.04025074,0.042634603,0.04144206
m_27,-83.9457,9.892,0.021555796,0.021683708,0.021686124
m_28,-83.6778,9.3476,0.008685261,0.008435543,0.008462461
m_29,-84.3056,10.4371,0.056491774,0.05520648,0.052434187
s_0,-84.213,10.013,0.169,0.169,0.169
s_1,-84.036,9.995,0.113,0.113,0.113
s_10,-84.423,10.311,0.0276,0.0276,0.0276
s_11,-84.11,9.94,0.179,0.179,0.179
s_12,-84.311,9.847,0.044,0.044,0.044
s_13,-84.036,9.869,0.029,0.029,0.029
s_14,-83.7896,10.2156,0.028,0.028,0.028
s_15,-84.432,10.324,0.024,0.024,0.024
s_16,-83.871,9.832,0.022,0.022,0.022
s_2,-83.941,9.894,0.0213,0.0213,0.0213
s_3,-84.058,9.753,0.0185,0.0185,0.0185
s_4,-84.16,9.43,0.0147,0.0147,0.0147
s_5,-83.806,9.843,0.00528,0.00528,0.00528
s_6,-83.095,9.989,0.00439,0.00439,0.00439
s_7,-84.485,10.087,0.0605,0.0605,0.0605
s_8,-84.113,9.943,0.175,0.175,0.175
s_9,-84.038,9.871,0.0281,0.0281,0.0281
t_0,-85.14306,9.61058,0.0050249435,0.0054300465,0.005500427
t_1,-85.05323,9.65487,0.0055153286,0.0057703364,0.0059795966
t_10,-85.14306,9.65487,0.0059176567,0.006241564,0.006169891
t_100,-85.00832,10.00891,0.007884924,0.0077449656,0.008110016
t_1000,-83.84051,9.83194,0.007496208,0.008165864,0.008681215
t_1001,-83.88542,9.87619,0.014364311,0.015240232,0.015762765
t_1002,-83.84051,9.87619,0.010232986,0.010688826,0.010923759
t_1003,-83.93034,9.87619,0.02167837,0.021698438,0.021471824
t_1004,-83.84051,9.92044,0.011901802,0.012455638,0.013222764
t_1005,-84.55916,9.61058,0.010080757,0.009741203,0.010204975
t_1006,-84.60407,9.61058,0.009245756,0.008980017,0.009461057
t_1007,-84.37949,9.522,0.015763273,0.01429375,0.014138238
t_1008,-84.51424,9.5663,0.010400131,0.010020582,0.010391571
t_1009,-84.46933,9.5663,0.013085224,0.012298467,0.012348099
t_101,-85.05323,10.00891,0.007283136,0.007232548,0.007561878
t_1010,-84.42441,9.5663,0.013283189,0.012558347,0.012694171
t_1011,-84.37949,9.5663,0.013672303,0.012977683,0.013170366
t_1012,-84.51424,9.61058,0.011069138,0.010646452,0.0110771125
t_1013,-84.42441,9.61058,0.012483562,0.012006972,0.012494408
t_1014,-84.37949,9.61058,0.013314507,0.012813214,0.0133035565
t_1015,-84.46933,9.61058,0.012427666,0.011879522,0.012220662
t_1016,-84.46933,9.65487,0.011488366,0.011157108,0.011890362
t_1017,-84.64899,9.65487,0.010972578,0.010473908,0.010667701
t_1018,-84.60407,9.65487,0.00981479,0.009505587,0.010049811
t_1019,-84.55916,9.65487,0.0089474665,0.008811179,0.009650442
t_102,-84.9634,10.00891,0.008555402,0.008326133,0.008727188
t_1020,-84.64899,9.69914,0.011610648,0.011065833,0.011309722
t_1021,-84.60407,9.69914,0.0094083855,0.009215211,0.010006052
t_1022,-84.55916,9.69914,0.012301663,0.011808392,0.012246517
t_1023,-84.55916,9.74341,0.013166491,0.012682136,0.013179694
t_1024,-84.60407,9.74341,0.010709175,0.010426548,0.011179068
t_1025,-84.64899,9.74341,0.011104207,0.010694016,0.011201535
t_1026,-84.42441,9.65487,0.0138932,0.013374874,0.013858964
t_1027,-84.37949,9.65487,0.017276026,0.016330216,0.016436867
t_1028,-84.51424,9.65487,0.010800637,0.010471958,0.011150992
t_1029,-84.37949,9.69914,0.013644951,0.0135416165,0.014592347
t_103,-85.00832,10.05314,0.008068195,0.007899243,0.0082755145
t_1030,-84.51424,9.69914,0.013956441,0.013336053,0.013664348
t_1031,-84.46933,9.69914,0.0182822,0.016910685,0.016837368
t_1032,-84.42441,9.69914,0.014524415,0.014135396,0.014794597
t_1033,-84.42441,9.74341,0.014089233,0.0140491845,0.015123156
t_1034,-84.51424,9.74341,0.015131649,0.014532758,0.014891207
t_1035,-84.46933,9.74341,0.01238116,0.012324503,0.0134213455
t_1036,-84.42441,9.78768,0.015154969,0.015395737,0.016672663
t_1037,-84.51424,9.78768,0.013713457,0.013517409,0.014402919
t_1038,-84.46933,9.78768,0.01920667,0.01858539,0.018780233
t_1039,-84.42441,9.83194,0.022979291,0.022921396,0.023193933
t_104,-84.87357,10.05314,0.015885185,0.014073549,0.013947376
t_1040,-84.51424,9.83194,0.016994305,0.016728023,0.017297667
t_1041,-84.46933,9.83194,0.01544571,0.015694842,0.016922042
t_1042,-84.46933,9.87619,0.02192384,0.022034025,0.02239569
t_1043,-84.42441,9.87619,0.019756006,0.020602724,0.021988895
t_1044,-84.51424,9.87619,0.02253727,0.021991929,0.021857698
