# 20040224_M6.3_AlHoceima median gmf, Stations:None, gmlt:USGS, Rupture:StichEtAl2005
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
t_0,-8.48918,31.41207,0.0001616731,0.00015310368,0.00021793574,0.00016722298
t_1,-7.95019,31.41207,0.0001868519,0.0001733405,0.0002555458,0.00019566706
t_10,-6.69255,31.41207,0.00024373001,0.00021288505,0.00034905536,0.00025750135
t_100,-6.15356,31.41207,0.0003540746,0.00032714722,0.0004680323,0.000385994
t_1000,-4.76117,33.34646,0.004225733,0.0043551284,0.0047004772,0.004733802
t_1001,-4.71625,33.38397,0.0040185777,0.0040326533,0.004653788,0.0044426653
t_1002,-4.89592,32.93275,0.0036843738,0.004195381,0.0036465393,0.0044276593
t_1003,-4.89592,33.08341,0.0032474853,0.003417499,0.003535316,0.0037523839
t_1004,-4.89592,33.23382,0.0039476086,0.0042022513,0.0042426186,0.004541763
t_1005,-4.851,33.30893,0.0045431377,0.0049017356,0.004810869,0.0052238326
t_1006,-4.89592,33.30893,0.0043874327,0.004706321,0.0046761916,0.0050375257
t_1007,-4.80608,33.30893,0.0035793441,0.0035880639,0.0041432776,0.0039882683
t_1008,-4.89592,33.34646,0.0058826413,0.006765518,0.0057461476,0.006922761
t_1009,-4.80608,33.34646,0.0037157922,0.0037219373,0.004309723,0.0041273534
t_101,-6.15356,31.56528,0.0003498427,0.0003130812,0.00048080052,0.00037902367
t_1010,-4.851,33.34646,0.005294765,0.0058989055,0.0053976085,0.006150891
t_1011,-4.851,33.38397,0.006847219,0.008062344,0.0064699827,0.008090338
t_1012,-4.5815,33.38397,0.005323019,0.0057245423,0.005661878,0.0060337246
t_1013,-4.53659,33.38397,0.0054020192,0.00581553,0.005739819,0.006120425
t_1014,-4.5815,33.42147,0.007281224,0.008427662,0.007057031,0.008464503
t_1015,-4.62642,33.42147,0.004339234,0.0043616323,0.005019303,0.00477303
t_1016,-4.53659,33.42147,0.00590029,0.0064353724,0.00617895,0.0066980454
t_1017,-4.5815,33.45895,0.00461647,0.0046459553,0.005336325,0.005055826
t_1018,-4.62642,33.45895,0.0048570866,0.004964351,0.0054813237,0.005351284
t_1019,-4.53659,33.45895,0.005879208,0.0063162656,0.006265817,0.006603749
t_102,-6.15356,31.71823,0.00047887446,0.00045343817,0.00060987915,0.00053303904
t_1020,-4.5815,33.49641,0.0062820995,0.0068174284,0.006622943,0.0070670457
t_1021,-4.53659,33.49641,0.0053320453,0.0054816124,0.0059751975,0.0058501605
t_1022,-4.80608,33.38397,0.0047312933,0.005010696,0.0051134173,0.0053549977
t_1023,-4.89592,33.38397,0.0046615093,0.004966089,0.005006326,0.005303837
t_1024,-4.80608,33.42147,0.0057843644,0.0064240857,0.0059242547,0.0066606523
t_1025,-4.89592,33.42147,0.0052752243,0.0057628555,0.005509564,0.006049701
t_1026,-4.851,33.42147,0.0053045573,0.005774686,0.0055628694,0.0060660993
t_1027,-4.80608,33.45895,0.0056769177,0.006195135,0.005939355,0.0064677
t_1028,-4.851,33.45895,0.0058086934,0.0064127343,0.005994286,0.0066590705
t_1029,-4.89592,33.45895,0.0052371277,0.0056371503,0.005564377,0.0059478744
t_103,-6.15356,31.87094,0.00046978315,0.00042926817,0.000623744,0.0005179508
t_1030,-4.851,33.49641,0.0060249246,0.0066399947,0.0062326714,0.0068780095
t_1031,-4.80608,33.49641,0.006140438,0.0067696758,0.006350552,0.007000459
t_1032,-4.67134,33.38397,0.004649441,0.0048265024,0.005130858,0.0051956945
t_1033,-4.76117,33.38397,0.0051550916,0.0055814874,0.0054399604,0.0058860974
t_1034,-4.76117,33.42147,0.0047037713,0.004878465,0.005196428,0.005248139
t_1035,-4.71625,33.42147,0.0059229275,0.0065646702,0.0060830107,0.00679785
t_1036,-4.67134,33.42147,0.0045381375,0.004626185,0.005135674,0.0050194073
t_1037,-4.67134,33.45895,0.005690212,0.0061260094,0.006048338,0.0064192126
t_1038,-4.76117,33.45895,0.0054848357,0.0058935066,0.005840893,0.006198065
t_1039,-4.71625,33.45895,0.0054528695,0.0058192555,0.005850298,0.006134713
t_104,-6.15356,32.02339,0.00061764603,0.0005898306,0.000771064,0.0006950637
t_1040,-4.71625,33.49641,0.0050951825,0.0052514086,0.0056831995,0.005622616
t_1041,-4.76117,33.49641,0.006208898,0.006833671,0.006435312,0.0070634335
t_1042,-4.62642,33.49641,0.0064185765,0.0070385337,0.006684635,0.0072617703
t_1043,-4.5815,33.53386,0.0067420513,0.0073699644,0.007051958,0.007576608
t_1044,-4.53659,33.53386,0.0059825704,0.0062709074,0.0065479246,0.006587693
t_1045,-4.62642,33.53386,0.0054998887,0.0056708683,0.006139646,0.006030067
t_1046,-4.5815,33.57129,0.005909982,0.006112025,0.0065775034,0.006450664
t_1047,-4.62642,33.57129,0.007054488,0.0077408217,0.0073497216,0.007916808
t_1048,-4.53659,33.57129,0.0076168035,0.00847362,0.0078078145,0.008573641
t_1049,-4.53659,33.60871,0.008286474,0.00930941,0.008393801,0.009320332
t_105,-6.15356,32.17559,0.00073504506,0.00071568234,0.0008951869,0.0008367595
t_1050,-4.5815,33.60871,0.0056209033,0.005674738,0.0064931964,0.0060599134
t_1051,-4.62642,33.60871,0.0062565785,0.006513881,0.0069052023,0.006825499
t_1052,-4.17726,31.41207,0.0005433935,0.00051638926,0.00068503007,0.00060868915
t_1053,-4.17726,31.56528,0.0008232631,0.0008532867,0.00093757425,0.0009611474
t_1054,-4.17726,31.71823,0.0007115762,0.0006782742,0.0008849842,0.0008035161
t_1055,-4.17726,31.87094,0.0013151552,0.0014428527,0.0013827424,0.0015780622
t_1056,-4.17726,32.02339,0.0010575351,0.0010483663,0.0012493187,0.0012187286
t_1057,-4.17726,32.17559,0.0012723808,0.0012796848,0.001474635,0.0014756764
t_1058,-4.17726,32.32753,0.0016498417,0.0017215834,0.0018317142,0.0019426966
t_1059,-4.17726,32.47922,0.0017629749,0.0017932239,0.0020047594,0.0020462493
t_106,-6.15356,32.32753,0.00071539974,0.0006702635,0.00091181113,0.0008039737
t_1060,-4.17726,32.63065,0.0023743787,0.0025295424,0.0025632295,0.0028019317
t_1061,-4.17726,32.78183,0.002860418,0.0030766628,0.0030502426,0.0033698375
t_1062,-3.9976,31.41207,0.00057506486,0.0005562266,0.0007120079,0.0006495106
t_1063,-3.9976,31.56528,0.00087777985,0.0009250946,0.000978504,0.0010313985
t_1064,-3.9976,31.71823,0.0009316673,0.00096382474,0.001059354,0.0010905876
t_1065,-3.9976,31.87094,0.0011573781,0.0012264797,0.0012733382,0.0013710001
t_1066,-3.9976,32.02339,0.0012968644,0.0013668844,0.0014319136,0.0015350585
t_1067,-3.9976,32.17559,0.0013855994,0.0014302313,0.0015620483,0.0016259633
t_1068,-3.9976,32.32753,0.0017970362,0.0019205088,0.001940795,0.0021370638
t_1069,-3.9976,32.47922,0.0015860631,0.0015628439,0.0018734665,0.0018167474
t_107,-6.15356,32.47922,0.00091437495,0.0008871394,0.0011072948,0.0010422854
t_1070,-3.9976,32.63065,0.0020659214,0.0021032623,0.002340067,0.0023880282
t_1071,-3.9976,32.78183,0.0033359227,0.003739784,0.003379928,0.003993961
t_1072,-4.35693,31.41207,0.00075912295,0.00079751346,0.0008527015,0.0008866609
t_1073,-4.35693,31.56528,0.00082464714,0.00085691625,0.0009363214,0.0009634912
t_1074,-4.35693,31.71823,0.0008898627,0.0009114619,0.0010242132,0.0010372271
t_1075,-4.35693,31.87094,0.0011016474,0.0011552846,0.0012281396,0.001299435
