# 20040224_M6.3_AlHoceima median gmf, Stations:None, gmlt:GEM, Rupture:StichEtAl2005
custom_site_id,lon,lat,AkkarEtAlRjb2014,ChiouYoungs2014
t_0,-8.48918,31.41207,0.0015441775,0.00016722298
t_1,-7.95019,31.41207,0.0014565372,0.00019566706
t_10,-6.69255,31.41207,0.0012639172,0.00025750135
t_100,-6.15356,31.41207,0.0015532987,0.000385994
t_1000,-4.76117,33.34646,0.004391842,0.004733802
t_1001,-4.71625,33.38397,0.0041243914,0.0044426653
t_1002,-4.89592,32.93275,0.0047245743,0.0044276593
t_1003,-4.89592,33.08341,0.0039521167,0.0037523839
t_1004,-4.89592,33.23382,0.004415444,0.004541763
t_1005,-4.851,33.30893,0.0048294947,0.0052238326
t_1006,-4.89592,33.30893,0.0047073197,0.0050375257
t_1007,-4.80608,33.30893,0.0038716956,0.0039882683
t_1008,-4.89592,33.34646,0.0060129007,0.006922761
t_1009,-4.80608,33.34646,0.003944105,0.0041273534
t_101,-6.15356,31.56528,0.0014195519,0.00037902367
t_1010,-4.851,33.34646,0.005457428,0.006150891
t_1011,-4.851,33.38397,0.006706073,0.008090338
t_1012,-4.5815,33.38397,0.0052408995,0.0060337246
t_1013,-4.53659,33.38397,0.0052906307,0.006120425
t_1014,-4.5815,33.42147,0.0068137855,0.008464503
t_1015,-4.62642,33.42147,0.004312917,0.00477303
t_1016,-4.53659,33.42147,0.0056451033,0.0066980454
t_1017,-4.5815,33.45895,0.0044742255,0.005055826
t_1018,-4.62642,33.45895,0.0046943366,0.005351284
t_1019,-4.53659,33.45895,0.0055398312,0.006603749
t_102,-6.15356,31.71823,0.0017362072,0.00053303904
t_1020,-4.5815,33.49641,0.0058214157,0.0070670457
t_1021,-4.53659,33.49641,0.004989273,0.0058501605
t_1022,-4.80608,33.38397,0.0048238602,0.0053549977
t_1023,-4.89592,33.38397,0.0048192213,0.005303837
t_1024,-4.80608,33.42147,0.005702946,0.0066606523
t_1025,-4.89592,33.42147,0.005313096,0.006049701
t_1026,-4.851,33.42147,0.005306659,0.0060660993
t_1027,-4.80608,33.45895,0.0055265324,0.0064677
t_1028,-4.851,33.45895,0.005675182,0.0066590705
t_1029,-4.89592,33.45895,0.005198984,0.0059478744
t_103,-6.15356,31.87094,0.0015798482,0.0005179508
t_1030,-4.851,33.49641,0.0057814145,0.0068780095
t_1031,-4.80608,33.49641,0.005846657,0.007000459
t_1032,-4.67134,33.38397,0.0046676234,0.0051956945
t_1033,-4.76117,33.38397,0.0051899473,0.0058860974
t_1034,-4.76117,33.42147,0.0046928274,0.005248139
t_1035,-4.71625,33.42147,0.0057644392,0.00679785
t_1036,-4.67134,33.42147,0.004502709,0.0050194073
t_1037,-4.67134,33.45895,0.005448989,0.0064192126
t_1038,-4.76117,33.45895,0.0053246603,0.006198065
t_1039,-4.71625,33.45895,0.005266514,0.006134713
t_104,-6.15356,32.02339,0.001868785,0.0006950637
t_1040,-4.71625,33.49641,0.0048734196,0.005622616
t_1041,-4.76117,33.49641,0.005872657,0.0070634335
t_1042,-4.62642,33.49641,0.005962351,0.0072617703
t_1043,-4.5815,33.53386,0.006117455,0.007576608
t_1044,-4.53659,33.53386,0.005455204,0.006587693
t_1045,-4.62642,33.53386,0.00509844,0.006030067
t_1046,-4.5815,33.57129,0.005340394,0.006450664
t_1047,-4.62642,33.57129,0.006311239,0.007916808
t_1048,-4.53659,33.57129,0.0067066206,0.008573641
t_1049,-4.53659,33.60871,0.007134138,0.009320332
t_105,-6.15356,32.17559,0.0020300758,0.0008367595
t_1050,-4.5815,33.60871,0.0050486713,0.0060599134
t_1051,-4.62642,33.60871,0.0055677006,0.006825499
t_1052,-4.17726,31.41207,0.001799201,0.00060868915
t_1053,-4.17726,31.56528,0.0023998278,0.0009611474
t_1054,-4.17726,31.71823,0.0019256838,0.0008035161
t_1055,-4.17726,31.87094,0.0030666434,0.0015780622
t_1056,-4.17726,32.02339,0.0023256408,0.0012187286
t_1057,-4.17726,32.17559,0.002530884,0.0014756764
t_1058,-4.17726,32.32753,0.002954448,0.0019426966
t_1059,-4.17726,32.47922,0.0028919983,0.0020462493
t_106,-6.15356,32.32753,0.001843636,0.0008039737
t_1060,-4.17726,32.63065,0.0035083762,0.0028019317
t_1061,-4.17726,32.78183,0.0038497755,0.0033698375
t_1062,-3.9976,31.41207,0.0018928853,0.0006495106
t_1063,-3.9976,31.56528,0.0025344326,0.0010313985
t_1064,-3.9976,31.71823,0.0024575007,0.0010905876
t_1065,-3.9976,31.87094,0.002741093,0.0013710001
t_1066,-3.9976,32.02339,0.002794583,0.0015350585
t_1067,-3.9976,32.17559,0.0027318348,0.0016259633
t_1068,-3.9976,32.32753,0.0031841556,0.0021370638
t_1069,-3.9976,32.47922,0.0026235345,0.0018167474
t_107,-6.15356,32.47922,0.002137101,0.0010422854
t_1070,-3.9976,32.63065,0.0030802093,0.0023880282
t_1071,-3.9976,32.78183,0.004402402,0.003993961
t_1072,-4.35693,31.41207,0.0024420058,0.0008866609
t_1073,-4.35693,31.56528,0.0024157285,0.0009634912
t_1074,-4.35693,31.71823,0.0023756723,0.0010372271
t_1075,-4.35693,31.87094,0.0026431077,0.001299435
t_1076,-4.35693,32.02339,0.0020244708,0.0010196773
t_1077,-4.35693,32.17559,0.0021300223,0.0011839343
t_1078,-4.35693,32.32753,0.0031170212,0.0020639019
t_1079,-4.35693,32.47922,0.0033525513,0.0024439592
t_108,-6.15356,32.63065,0.0033945807,0.0020028153
t_1080,-4.35693,32.63065,0.0031664704,0.0024511116
t_1081,-4.35693,32.78183,0.004213007,0.003749288
t_1082,-4.17726,32.93275,0.004295168,0.004114527
t_1083,-4.17726,33.08341,0.005236625,0.0055789417
t_1084,-4.17726,33.23382,0.005263587,0.005898763
t_1085,-4.08743,33.30893,0.004186995,0.004546015
t_1086,-4.13235,33.30893,0.0056981845,0.0066597788
t_1087,-4.17726,33.30893,0.006067761,0.007200533
t_1088,-4.08743,33.34646,0.007442954,0.009494488
t_1089,-4.13235,33.34646,0.0054168873,0.0063180993
t_109,-6.15356,32.78183,0.0030677938,0.0018836443
t_1090,-4.17726,33.34646,0.0052891346,0.006130724
t_1091,-4.17726,33.38397,0.005725363,0.006830723
t_1092,-4.26709,33.30893,0.0062744725,0.007501153
t_1093,-4.22218,33.30893,0.006459411,0.007790441
t_1094,-4.31201,33.30893,0.0060242494,0.007118214
t_1095,-4.22218,33.34646,0.0053698444,0.0062429584
t_1096,-4.26709,33.34646,0.0072533395,0.009150417
t_1097,-4.31201,33.34646,0.007059024,0.008813726
t_1098,-4.31201,33.38397,0.0058337967,0.0069762636
t_1099,-4.26709,33.38397,0.005012496,0.005784566
t_11,-6.51288,31.41207,0.0014001682,0.00030824897
t_110,-5.97389,31.41207,0.0015782901,0.00041100394
t_1100,-4.22218,33.38397,0.005431902,0.0063953903
t_1101,-4.26709,33.42147,0.005589766,0.00668419
t_1102,-4.35693,33.34646,0.0042720027,0.004687471
t_1103,-4.35693,33.38397,0.007603913,0.009823054
t_1104,-4.40184,33.38397,0.0062469207,0.007577139
t_1105,-4.44676,33.38397,0.0060268575,0.007228043
t_1106,-4.49167,33.38397,0.0056336443,0.0066320403
t_1107,-4.40184,33.42147,0.0056170905,0.0066999733
t_1108,-4.35693,33.42147,0.005493231,0.006527948
t_1109,-4.49167,33.42147,0.0060558966,0.0073254374
t_111,-5.97389,31.56528,0.0015853907,0.0004541319
t_1110,-4.44676,33.42147,0.0052624084,0.006165683
t_1111,-4.44676,33.45895,0.005482035,0.0065451465
t_1112,-4.13235,33.38397,0.0053702104,0.006311947
t_1113,-4.08743,33.38397,0.005021248,0.0058091935
t_1114,-4.08743,33.42147,0.005008018,0.0058433656
t_1115,-4.17726,33.42147,0.0058166888,0.0070306
t_1116,-4.13235,33.42147,0.006189825,0.0075979102
t_1117,-4.08743,33.45895,0.005577448,0.0067355162
t_1118,-4.17726,33.45895,0.00600313,0.00737446
t_1119,-4.13235,33.45895,0.0054355445,0.006522292
t_112,-5.97389,31.71823,0.0015254207,0.00047454995
t_1120,-4.13235,33.49641,0.0057546943,0.007056325
t_1121,-4.08743,33.49641,0.005005122,0.005937143
t_1122,-4.22218,33.42147,0.0055304496,0.006600753
t_1123,-4.31201,33.42147,0.0059604095,0.0072321836
t_1124,-4.31201,33.45895,0.006273681,0.0077752667
t_1125,-4.26709,33.45895,0.0061269626,0.007555895
t_1126,-4.22218,33.45895,0.005727783,0.00695436
t_1127,-4.31201,33.49641,0.006826109,0.00870734
t_1128,-4.22218,33.49641,0.0056036985,0.0068232394
t_1129,-4.26709,33.49641,0.005809458,0.0071314685
t_113,-5.97389,31.87094,0.0018503468,0.00065931183
t_1130,-4.26709,33.53386,0.0049728355,0.005927016
t_1131,-4.22218,33.53386,0.004993363,0.005959922
t_1132,-4.35693,33.45895,0.0051086205,0.0060193264
t_1133,-4.40184,33.45895,0.0057505965,0.0069592968
t_1134,-4.49167,33.45895,0.00497577,0.005792859
t_1135,-4.49167,33.49641,0.005325748,0.0063563613
t_1136,-4.40184,33.49641,0.0058919713,0.0072296215
t_1137,-4.35693,33.49641,0.005472652,0.006610218
t_1138,-4.44676,33.49641,0.005658408,0.0068648676
t_1139,-4.49167,33.53386,0.00509115,0.0060593253
t_114,-5.97389,32.02339,0.0016906032,0.00064258697
