FIELD,DESCRIPTION
Year,2017
Country,Italy
Region,Europe
Event Name,CentralItaly 2017
Local Date,18/01/2017
Local Time,10:14:10
Latitude (decimal degrees),42.6012
Longitude (decimal degrees),13.2268
Depth (km),7
Mw,5.7
Max Intensity (MMI),VII
Fault mechanism,Normal
Tectonic region type,Active Shallow Crust
Fatalities,29-34
Injured,~11
Displaced population,
Affected population,~11
Affected units,
Damaged units,
Collapsed units,
Economic losses,18 M USD
Insured losses,6 M USD
Earthquake-triggered effects,
USGS event ID,us10007twj
Wikipedia page,https://en.wikipedia.org/wiki/January 2017 Central Italy earthquakes
