FIELD,DESCRIPTION
Year,2009
Country,Malawi
Region,Africa
Event Name,Karonga
Local Date,19/12/2009
Local Time,15:02:00
Longitude (decimal degrees),33.818
Latitude (decimal degrees),-10.108
Depth (km),6
Mw,6
Max Intensity (MMI),VII
Fault mechanism,Dip Slip
Tectonic region type,Active Shallow Crust
Fatalities,~3
Injured,~250
Displaced population,
Affected population,
Affected units,
Damaged units,~3565
Collapsed units,~1111
Economic losses,
Insured losses,
Earthquake-triggered effects,
USGS event ID,usp000h56x
Wikipedia page,https://en.wikipedia.org/wiki/2009 Karonga earthquakes
