FIELD,DESCRIPTION
Year,1991
Country,Costa Rica
Region,Caribbean Central America
Event Name,Limon
Local Date,22/04/1991
Local Time,15:57:00
Longitude (decimal degrees),-83.073
Latitude (decimal degrees),9.685
Depth (km),10
Mw,7.6
Max Intensity (MMI),VIII
Fault mechanism,Reverse
Tectonic region type,Shallow crustal 
Fatalities,47-127
Injured,109-895
Displaced population,7439-10900
Affected population,~6320
Affected units,
Damaged units,7869 Buildings
Collapsed units,4452 Buildings
Economic losses,43-510 M USD
Insured losses,
Earthquake-triggered effects,"Tsunami, landslides, liquefaction"
USGS event ID,usp0004qpg
Wikipedia page,https://en.wikipedia.org/wiki/1991 Limon earthquake
