FIELD,DESCRIPTION
Year,2019
Country,Albania
Region,Europe
Event Name,Durres
Local Date,26/11/2019
Local Time,02:54:12
Latitude (decimal degrees),41.5138
Longitude (decimal degrees),19.5256
Depth (km),22
Mw,6.4
Max Intensity (MMI),VIII
Fault mechanism,Reverse
Tectonic region type,Active Shallow Crust
Fatalities,~51
Injured,913-2000
Displaced population,
Affected population,~202913
Affected units,
Damaged units,83000 Buildings
Collapsed units,11000 Buildings
Economic losses,700-1081 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,us70006d0m
Wikipedia page,https://en.wikipedia.org/wiki/2019 Albania earthquake
