# 19900530_Sequence_Vrancea/19900530_M6.95_Vrancea median gmf, Stations:None, gmlt:USGS, Rupture:Ganasetal2010
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,LinLee2008SSlab,ZhaoEtAl2016SSlab
t_10,24.555939999999993,41.579,0.0053614737,0.002083372,0.0049992776,0.0073299124
t_100,24.796570000000003,42.17033,0.011086453,0.00408408,0.006080994,0.010163463
t_101,24.472820000000013,42.1939,0.010279676,0.003832458,0.0059021497,0.009693082
t_1010,20.95239000000001,46.23663,0.0106093325,0.0034726027,0.0057512703,0.009036713
t_1011,20.614859999999993,46.25321,0.009287849,0.0028137665,0.005235609,0.0077018486
t_1012,21.13347999999999,46.34515,0.011432373,0.0038562734,0.0060397573,0.009770249
t_1013,20.79561000000001,46.36202,0.010065375,0.003118459,0.0054859803,0.008341518
t_1014,20.45761999999999,46.37834,0.008874634,0.0025332707,0.005005314,0.00714721
t_1015,20.97675000000001,46.47058,0.010603002,0.0034480388,0.0057465173,0.0089890845
t_1016,20.63843,46.48717,0.009173251,0.00279644,0.0052325944,0.0076665594
t_1017,21.158299999999997,46.57887,0.011110642,0.0038022597,0.006016548,0.009636125
t_1018,20.81962999999999,46.59575,0.009895063,0.00307933,0.005467937,0.0082361605
t_1019,20.480850000000004,46.61207,0.008931846,0.0025047625,0.0049912534,0.0070873555
t_102,24.974620000000016,42.27868,0.010945577,0.0046880385,0.0064800847,0.011264534
t_103,24.65057999999999,42.30254,0.011043669,0.0044151694,0.006295853,0.010771671
t_104,24.828699999999998,42.41093,0.011285482,0.00508996,0.0067255707,0.011977938
t_105,24.504220000000004,42.43451,0.00957527,0.00423269,0.0068252133,0.01242395
t_106,24.682410000000004,42.54294,0.008221454,0.004900194,0.0073066945,0.010990377
t_107,24.86097000000001,42.65113,0.008072276,0.0036663804,0.007835175,0.012271776
t_108,24.53576000000001,42.67473,0.008918252,0.00526338,0.00755021,0.011593952
t_109,23.824880000000007,42.2394,0.005863857,0.0029078897,0.005758854,0.007447501
t_11,24.732759999999985,41.68799,0.0054201167,0.0023718202,0.0052860584,0.00640018
t_110,24.326390000000004,42.32584,0.008952004,0.0036600004,0.00638603,0.0111472625
t_111,24.00206,42.34859,0.0076894755,0.0033655777,0.0061455234,0.010471956
t_112,24.17958999999999,42.45755,0.008990758,0.003900928,0.0065698577,0.011689934
t_113,23.854829999999993,42.48004,0.0072182855,0.0035554129,0.006296538,0.010908968
t_114,24.357489999999984,42.56626,0.0075201127,0.002923499,0.0070363716,0.010360414
t_1146,21.001229999999993,46.70406,0.010611389,0.0033813943,0.0057105892,0.00885943
t_1147,20.662109999999984,46.72067,0.009190322,0.0027474535,0.0052039227,0.0075664874
t_1148,20.843760000000003,46.82901,0.009895867,0.0030050061,0.0054221237,0.008114706
t_1149,20.504189999999994,46.84533,0.008886123,0.0024495863,0.004954207,0.0069710184
t_115,24.032430000000005,42.58903,0.008748425,0.004133867,0.0067432555,0.01220683
