# 19900530_Sequence_Vrancea/19900530_M6.95_Vrancea median gmf, Stations:Seismic, gmlt:USGS, Rupture:EFEHR
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,ZhaoEtAl2016SSlab
s_0,26.161,44.441,0.1179063,0.14614877,0.14682116
s_1,26.7277,45.8657,0.12781551,0.12149878,0.106427155
s_10,27.11699999999999,46.033,0.12387691,0.14304437,0.14256804
s_100,27.760999999999996,45.472,0.07139938,0.06136739,0.07205593
s_1000,31.319999999999993,47.91,0.024038468,0.015463628,0.024803398
s_1001,24.962999999999994,42.3,0.014019628,0.0076235,0.011553716
s_1003,24.63300000000001,45.368,0.019332573,0.0069247833,0.011389812
s_1004,24.90700000000001,46.503,0.013120091,0.0058710505,0.011985934
s_1005,24.920999999999992,46.598,0.012899184,0.0050386037,0.009814758
s_1006,24.805000000000007,46.536,0.010545007,0.0035316115,0.008207902
s_1007,24.575999999999993,46.227,0.010070782,0.0030208568,0.0073080673
s_1008,24.598000000000013,46.297,0.0107752215,0.004486409,0.009807837
s_1009,24.53,46.137,0.013880589,0.006480871,0.012903989
s_101,27.61699999999999,45.329,0.09430069,0.09557985,0.09762632
s_1010,28.03200000000001,44.314,0.021223173,0.01347549,0.022353806
s_1011,24.931999999999988,46.771,0.029252708,0.018052522,0.02788978
s_1012,24.52000000000001,46.395,0.022173753,0.014361079,0.023454398
s_1013,24.412000000000006,46.19,0.010303401,0.0042221197,0.009374293
s_1014,24.474999999999994,46.371,0.020391013,0.011430032,0.0197455
s_1015,24.763000000000005,46.769,0.023169754,0.01440076,0.023503378
s_1016,24.65299999999999,46.672,0.019675136,0.0108632855,0.019004278
s_1017,24.351,46.164,0.018890616,0.009030336,0.016541446
s_1018,24.760999999999996,46.81,0.010402761,0.002988187,0.0060926694
s_1019,24.49000000000001,46.501,0.012549124,0.0058878125,0.01201147
s_102,26.566000000000003,45.04,0.08168578,0.07737509,0.09213142
s_1020,24.626000000000005,46.706,0.015238207,0.0077020247,0.014682311
s_1021,24.732,46.814,0.012122134,0.0042642746,0.007935822
s_1022,25.369,47.292,0.021758407,0.0119601665,0.018735593
s_1023,24.466999999999985,46.557,0.00992627,0.003859423,0.008768123
s_1024,24.257000000000005,46.118,0.011680907,0.0067214533,0.010515028
s_1025,24.214,46.092,0.009321602,0.0029292447,0.00714275
s_1026,24.52799999999999,46.693,0.028173937,0.017809065,0.027603988
s_1027,24.283000000000015,46.331,0.016866755,0.006116361,0.010381916
s_1028,24.653999999999996,46.883,0.0106143765,0.0033788877,0.008722949
s_1029,24.381,46.58,0.014830222,0.007470487,0.014350682
s_103,26.37700000000001,45.085,0.09533106,0.093879506,0.093109004
s_1030,25.25,47.356,0.01756542,0.0069254115,0.0113905845
s_1031,24.126000000000005,46.057,0.026092738,0.018260427,0.028133439
s_1032,24.578000000000003,46.849,0.00874,0.00874,0.00874
s_104,25.992999999999995,45.316,0.06676945,0.06382476,0.07378456
s_105,27.936000000000007,45.958,0.06778942,0.06390823,0.07998895
s_106,26.494,46.483,0.05098977,0.054334417,0.05859417
s_107,27.639999999999986,45.286,0.057719126,0.044755667,0.056702685
s_108,26.900000000000006,46.5667,0.06878521,0.06001946,0.060814932
s_109,27.990999999999985,45.79,0.05903483,0.051620077,0.052728444
s_11,27.27000000000001,45.749,0.13391557,0.14423406,0.14298685
s_110,27.836000000000013,45.443,0.057800196,0.04941447,0.051130272
s_111,27.00999999999999,46.579,0.04957126,0.03406581,0.036450982
s_112,27.480999999999995,45.135,0.04978043,0.038476836,0.0422735
s_113,26.857,46.583,0.045763932,0.033766028,0.038154807
s_114,27.62100000000001,45.218,0.040843546,0.031277463,0.042468138
s_115,27.14099999999999,44.977,0.037290663,0.02568672,0.032438055
s_116,25.71199999999999,45.617,0.042847533,0.030074613,0.034893185
s_117,25.938999999999993,45.233,0.040778246,0.034015406,0.041249424
s_118,28.016999999999996,46.066,0.047509808,0.033160064,0.03818057
s_119,27.745000000000005,45.29,0.16736,0.16736,0.16736
s_12,26.771000000000015,46.25,0.09922974,0.10466364,0.09932904
s_120,27.670999999999992,46.437,0.04918992,0.03950887,0.041461263
s_121,26.860000000000014,44.928,0.16367,0.16367,0.16367
s_122,27.909999999999997,46.254,0.15908,0.15908,0.15908
s_123,25.962999999999994,45.181,0.15816,0.15816,0.15816
s_124,28.089,45.836,0.10948613,0.13779579,0.13665116
s_125,26.236999999999995,45.021,0.1367301,0.1383077,0.13821821
s_126,26.990999999999985,44.917,0.155,0.155,0.155
s_127,25.68100000000001,45.853,0.15418,0.15418,0.15418
s_128,28.067000000000007,45.65,0.15122,0.15122,0.15122
s_129,27.92500000000001,45.412,0.1498142,0.15905899,0.17203134
s_13,25.73599999999999,45.119,0.101914264,0.1415133,0.112679526
s_130,27.061000000000007,46.648,0.07810881,0.098433524,0.10401621
s_131,26.00999999999999,45.099,0.14663,0.14663,0.14663
s_132,28.02199999999999,46.206,0.1451,0.1451,0.1451
s_133,25.733000000000004,45.351,0.14194,0.14194,0.14194
s_134,27.36699999999999,44.969,0.13837,0.13837,0.13837
s_135,26.650000000000006,44.877,0.13816,0.13816,0.13816
s_136,26.555000000000007,46.638,0.13633,0.13633,0.13633
s_137,25.591999999999985,45.817,0.05982703,0.054148752,0.06648521
s_138,28.180000000000007,45.8,0.053522892,0.04988288,0.061591398
s_139,26.97800000000001,46.707,0.048274446,0.036577273,0.053130165
s_14,26.762,46.25,0.095869265,0.12574416,0.12589873
s_140,28.159999999999997,46.04,0.134694,0.134694,0.134694
s_141,28.170000000000016,45.64,0.05468838,0.046992425,0.054365624
s_142,27.46199999999999,46.645,0.05447827,0.045597386,0.052261114
s_143,25.546999999999997,45.765,0.0924395,0.0957641,0.10163149
