# 19900530_Sequence_Vrancea/19900530_M6.95_Vrancea median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,LinLee2008SSlab,ZhaoEtAl2016SSlab
t_10,24.555939999999993,41.579,0.006562138,0.0025370342,0.005766392,0.0075755776
t_100,24.796570000000003,42.17033,0.013566571,0.004983337,0.0069023855,0.010431208
t_101,24.472820000000013,42.1939,0.012629718,0.004655839,0.0067162383,0.009925923
t_1010,20.95239000000001,46.23663,0.013380153,0.004123663,0.0066802455,0.009114673
t_1011,20.614859999999993,46.25321,0.011696015,0.0033431964,0.00606753,0.007796426
t_1012,21.13347999999999,46.34515,0.014416326,0.0045768144,0.007019445,0.009835172
t_1013,20.79561000000001,46.36202,0.012672645,0.0037033805,0.0063611637,0.008427641
t_1014,20.45761999999999,46.37834,0.011157661,0.0030101135,0.0057915747,0.0072470214
t_1015,20.97675000000001,46.47058,0.013350336,0.0040927446,0.006666304,0.009064779
t_1016,20.63843,46.48717,0.011536297,0.0033212837,0.006057185,0.0077591827
t_1017,21.158299999999997,46.57887,0.01398946,0.0045109685,0.006981965,0.009699479
t_1018,20.81962999999999,46.59575,0.012439273,0.003655585,0.0063317735,0.008320597
t_1019,20.480850000000004,46.61207,0.01121088,0.0029752196,0.0057684067,0.007185797
t_102,24.974620000000016,42.27868,0.013393873,0.005733983,0.00735247,0.011558219
t_103,24.65057999999999,42.30254,0.013559776,0.005375044,0.007163502,0.011024395
t_104,24.828699999999998,42.41093,0.013853847,0.006211096,0.007650714,0.012254704
t_105,24.504220000000004,42.43451,0.011811409,0.0051403386,0.007933691,0.0126792835
t_106,24.682410000000004,42.54294,0.010149129,0.005964549,0.008492238,0.011211256
t_107,24.86097000000001,42.65113,0.0099620065,0.0044741966,0.009103978,0.012515726
t_108,24.53576000000001,42.67473,0.01104454,0.006389439,0.008798852,0.011791633
t_109,23.824880000000007,42.2394,0.0072661275,0.0035040998,0.006706052,0.0075996877
t_11,24.732759999999985,41.68799,0.006629888,0.0028936488,0.006094928,0.0066104303
t_110,24.326390000000004,42.32584,0.011046021,0.0044358294,0.007423333,0.011383705
t_111,24.00206,42.34859,0.0095219305,0.00406185,0.007158446,0.010674484
t_112,24.17958999999999,42.45755,0.011127747,0.0047160494,0.007654559,0.011904962
t_113,23.854829999999993,42.48004,0.00896621,0.004280243,0.007350008,0.011090614
t_114,24.357489999999984,42.56626,0.009318066,0.00354122,0.008199456,0.010542986
t_1146,21.001229999999993,46.70406,0.013333216,0.004012354,0.0066142837,0.008934586
t_1147,20.662109999999984,46.72067,0.011536218,0.0032621066,0.0060156332,0.0076582776
t_1148,20.843760000000003,46.82901,0.012413845,0.0035664171,0.006268689,0.008199387
t_1149,20.504189999999994,46.84533,0.011132989,0.0029089407,0.0057174475,0.0070689763
t_115,24.032430000000005,42.58903,0.0108630685,0.0049846102,0.007874776,0.012397069
t_1150,21.02582000000001,46.93709,0.013170917,0.0038867188,0.0065262173,0.008729735
t_1151,20.685900000000004,46.95369,0.011708108,0.003168582,0.00594439,0.007522736
t_1152,20.86802,47.0618,0.012056937,0.0034403058,0.006174227,0.007987163
t_1153,20.527629999999988,47.07813,0.010906364,0.0028142799,0.0056403656,0.006900893
t_1154,21.05053000000001,47.16964,0.012149008,0.003722084,0.006405351,0.008430625
t_1155,20.709810000000004,47.18625,0.011269805,0.0030449957,0.0058458336,0.0073080366
t_116,24.210399999999993,42.69778,0.011861732,0.0058164713,0.008453704,0.013880266
t_117,23.88490999999999,42.72029,0.009591883,0.005235575,0.008080688,0.010190178
t_118,24.388739999999984,42.80629,0.010300427,0.0043912255,0.009093643,0.012344826
t_1186,20.892380000000003,47.29412,0.011639159,0.003282964,0.00605151,0.0076938975
t_1188,21.07535999999999,47.40172,0.012522462,0.0035259505,0.006255767,0.008131508
t_1189,20.73383000000001,47.41834,0.010873527,0.0028965876,0.005723005,0.007023769
t_119,23.529930000000007,42.50198,0.008288764,0.0038477131,0.0070286347,0.008136331
t_1190,20.916859999999986,47.52596,0.011506431,0.003101074,0.005904394,0.0074057393
t_1192,21.100310000000007,47.63332,0.012034811,0.0033064652,0.006082118,0.0077596684
t_1194,20.941460000000006,47.75733,0.010945529,0.0029015655,0.0057370597,0.007055934
t_12,24.909940000000006,41.79674,0.0064114546,0.0021312868,0.006447438,0.007275974
t_120,23.707240000000013,42.61126,0.010153042,0.0044834474,0.007528443,0.011472871
t_121,23.3819,42.63293,0.010137684,0.0039963513,0.007169679,0.010548557
t_1215,21.125370000000004,47.86444,0.011167353,0.003071737,0.005889276,0.007330314
t_122,23.55928,42.74224,0.011029148,0.004666691,0.0076909265,0.011813742
t_1220,21.150559999999984,48.09508,0.010275981,0.002829387,0.005682112,0.0069048554
t_123,23.233509999999995,42.76365,0.012693472,0.004628138,0.006819593,0.009882769
