FIELD,DESCRIPTION
Year,2001
Country,El Salvador
Region,Caribbean Central America
Event Name,San Vicente 2001
Local Date,13/02/2001
Local Time,08:22:05
Latitude (decimal degrees),13.64
Longitude (decimal degrees),-88.94
Depth (km),13
Mw,6.6
Max Intensity (MMI),VIII
Fault mechanism,Strike Slip
Tectonic region type,Active Shallow Crustal
Fatalities,286-315
Injured,2696-3399
Displaced population,
Affected population,250000-279753
Affected units,~57008 
Damaged units,14339-17084 
Collapsed units,35196-57242 
Economic losses,348.5 M USD
Insured losses,
Earthquake-triggered effects,Landslides
USGS event ID,usp000a9jv
Wikipedia page,https://en.wikipedia.org/wiki/February 2001 El Salvador earthquake
