# 19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:Zarei_et_al_2019, Max_dist:150km
custom_site_id,lon,lat,AkkarEtAlRjb2014,BooreEtAl2014,CampbellBozorgnia2014,ZhaoEtAl2006Asc
m_27,60.05,33.48,0.26203486,0.17613477,0.23184481,0.26544836
m_28,60.0,33.6,0.42261755,0.29598668,0.32715777,0.3553729
m_29,60.0865,33.3711,0.12238664,0.09010581,0.12836891,0.13487682
m_30,59.7769,33.5736,0.19160923,0.14777514,0.18053226,0.21038106
m_31,59.8736,33.5985,0.3277347,0.23084496,0.27316383,0.303735
m_32,60.26,32.9492,0.04461783,0.04168014,0.052035365,0.055274095
m_33,60.1706,33.4153,0.1351816,0.107237294,0.13560654,0.16686167
m_34,59.9789,33.3886,0.15804668,0.11465618,0.15571809,0.19491361
m_35,59.7047,33.8817,0.30516392,0.21054316,0.2573066,0.2861377
m_36,59.95,33.7,0.41403753,0.26353946,0.32651076,0.35170448
m_37,59.7778,33.6456,0.21897465,0.17164332,0.2064946,0.24098305
m_38,59.801,33.33,0.1101753,0.094873585,0.11323302,0.13635986
m_39,59.85,33.85,0.45609936,0.31837866,0.34279847,0.36722538
m_40,59.71,33.88,0.30653667,0.19777183,0.2594759,0.29052377
m_41,59.76,33.62,0.1976272,0.15288873,0.18586636,0.21550374
m_42,59.48,33.03,0.04294091,0.03843388,0.050151844,0.046789795
m_44,59.8529,34.3651,0.13894972,0.1346447,0.13690227,0.13920845
m_45,59.1844,33.7267,0.055766005,0.05439119,0.0627014,0.06707659
m_46,60.245,34.4024,0.118950225,0.118490435,0.1192299,0.11992094
m_47,60.91,33.5,0.040214367,0.03921406,0.046290644,0.04463456
m_50,59.0817,33.5488,0.03743295,0.033851985,0.04419468,0.04882474
m_51,59.2,32.8667,0.033951778,0.031979293,0.034343485,0.03694159
m_52,59.513,32.7088,0.03920362,0.03841025,0.03939359,0.04030817
m_53,58.7731,34.0591,0.021196464,0.019557985,0.02197625,0.025232667
m_54,59.2206,32.8841,0.04747294,0.04698687,0.047768626,0.04826128
m_55,58.7078,34.0223,0.02380657,0.023729073,0.02393871,0.026216595
m_56,58.884,33.3083,0.023095101,0.023471285,0.023391722,0.022832459
m_57,58.6808,34.3666,0.032205053,0.03170391,0.032164335,0.03259309
m_58,60.7756,34.74,0.028072307,0.0242163,0.027894871,0.027732536
m_59,59.0347,32.7035,0.018218046,0.015155002,0.017951626,0.019980602
m_60,58.868,32.7625,0.012709288,0.011980102,0.012412859,0.012514531
m_64,56.6808,34.3666,0.012219162,0.0049617467,0.005817896,0.0054532187
m_73,59.4362,36.3245,0.011132132,0.0048596924,0.0066235396,0.0075273123
s_0,59.862,34.353,0.12901,0.12901,0.12901,0.12901
s_1,60.252,34.404,0.12062,0.12062,0.12062,0.12062
s_10,59.406,35.16,0.03408,0.03408,0.03408,0.03408
s_11,58.679,34.365,0.03111,0.03111,0.03111,0.03111
s_12,58.781,35.013,0.02705,0.02705,0.02705,0.02705
s_13,58.906,33.294,0.02138,0.02138,0.02138,0.02138
s_14,58.811,34.022,0.01958,0.01958,0.01958,0.01958
s_15,58.722,34.028,0.01919,0.01919,0.01919,0.01919
s_16,58.78,36.2,0.013811105,0.006811962,0.007935126,0.007705157
s_17,61.497,31.032,0.0071174284,0.0018013611,0.0029627054,0.0029213375
s_18,58.525,33.859,0.01575,0.01575,0.01575,0.01575
s_19,58.388,34.116,0.01562,0.01562,0.01562,0.01562
s_2,60.136,34.571,0.11165,0.11165,0.11165,0.11165
s_20,61.45,30.88,0.006790169,0.0015750446,0.0026422064,0.0026043367
s_21,58.281,34.091,0.01338,0.01338,0.01338,0.01338
s_22,59.594,36.284,0.014080391,0.0071126786,0.008247802,0.008001691
s_23,58.886,32.779,0.01149,0.01149,0.01149,0.01149
s_24,59.561,36.315,0.013751291,0.0067671007,0.0079203425,0.0077335783
s_25,57.072,30.288,0.0066535925,0.0007687393,0.0012381073,0.0011838052
s_26,57.966,35.271,0.016735462,0.0103185475,0.011829172,0.011728774
s_3,59.427,32.921,0.05666,0.05666,0.05666,0.05666
s_4,59.62,34.97,0.04631,0.04631,0.04631,0.04631
s_43,59.86,34.35,0.18725,0.18725,0.18725,0.18725
s_48,60.25,34.4,0.12083,0.12083,0.12083,0.12083
s_49,60.14,34.57,0.10624,0.10624,0.10624,0.10624
s_5,59.521,32.706,0.04085,0.04085,0.04085,0.04085
s_6,59.208,32.876,0.0388,0.0388,0.0388,0.0388
s_61,59.43,32.92,0.0564,0.0564,0.0564,0.0564
s_62,59.22,35.27,0.05235,0.05235,0.05235,0.05235
s_63,59.21,32.88,0.04967,0.04967,0.04967,0.04967
s_65,59.52,32.71,0.04076,0.04076,0.04076,0.04076
s_66,58.68,34.37,0.03501,0.03501,0.03501,0.03501
s_67,58.18,34.52,0.03112,0.03112,0.03112,0.03112
s_68,58.72,34.03,0.02759,0.02759,0.02759,0.02759
s_69,58.91,33.29,0.02529,0.02529,0.02529,0.02529
s_7,59.221,35.274,0.03727,0.03727,0.03727,0.03727
s_70,58.81,34.02,0.02181,0.02181,0.02181,0.02181
s_71,58.53,33.86,0.01996,0.01996,0.01996,0.01996
s_72,61.5,31.03,0.0110802995,0.0036484865,0.0042526554,0.003967789
s_74,58.78,35.01,0.01513,0.01513,0.01513,0.01513
s_75,59.41,35.16,0.01367,0.01367,0.01367,0.01367
s_76,58.39,34.12,0.01333,0.01333,0.01333,0.01333
s_77,58.28,34.09,0.01323,0.01323,0.01323,0.01323
s_78,59.59,36.28,0.013235814,0.0064264275,0.007836959,0.0079479525
s_79,58.47,35.48,0.015984498,0.009935589,0.012521708,0.013766551
s_8,58.465,35.478,0.0183108,0.012265172,0.013977223,0.013902943
s_80,57.97,35.27,0.014968051,0.008665366,0.010813323,0.011643681
s_81,58.89,32.78,0.01149,0.01149,0.01149,0.01149
s_82,59.56,36.31,0.013632487,0.0066768536,0.00788301,0.007775037
s_83,57.07,30.29,0.007197683,0.0008779245,0.0013260349,0.0011844061
s_9,58.182,34.521,0.03463,0.03463,0.03463,0.03463
t_0,61.63697,30.61264,0.00925751,0.0021479358,0.002766937,0.002486753
t_1,61.7268,30.68992,0.00910784,0.0021177002,0.0027816356,0.0025701781
t_10,61.18781,30.22531,0.00839423,0.0016087629,0.0022062848,0.0020267547
t_100,61.63697,31.15231,0.009270149,0.0027233297,0.003730793,0.0038696271
t_1000,57.50472,32.14641,0.008265068,0.0026413966,0.0040897788,0.0039931014
t_1001,57.41489,32.14641,0.008208926,0.0025336135,0.0039002385,0.00473392
t_1002,57.59455,32.22244,0.011871602,0.0047776336,0.0057967934,0.0056727086
t_1003,57.50472,32.22244,0.010839375,0.0040199007,0.0051624193,0.0052621956
t_1004,57.41489,32.22244,0.008407705,0.0026786078,0.0040820045,0.004934969
t_1005,57.59455,32.2984,0.0120720705,0.004991706,0.006036436,0.005922072
t_1006,57.41489,32.2984,0.008420764,0.0027390246,0.004198857,0.00513724
t_1007,57.50472,32.2984,0.011522977,0.0045081126,0.0055727917,0.0055461507
t_1008,57.50472,32.3743,0.009765256,0.0035703734,0.005021117,0.0057095313
t_1009,57.59455,32.3743,0.012004302,0.0050213085,0.006159963,0.006172964
t_101,61.63697,31.22915,0.010678836,0.0035266127,0.0043762266,0.0041743135
t_1010,57.77421,32.14641,0.011783064,0.004865869,0.0060491166,0.0060790577
t_1011,57.86404,32.22244,0.012221095,0.0053762663,0.006673251,0.0067935637
t_1012,57.68438,32.22244,0.012323899,0.0052080657,0.006224695,0.006047543
t_1013,57.77421,32.22244,0.011677765,0.00488891,0.006185198,0.0063753906
t_1014,57.86404,32.2984,0.012185521,0.0054483013,0.0068564564,0.0071269185
t_1015,57.68438,32.2984,0.011895524,0.004994094,0.006204155,0.006253972
t_1016,57.77421,32.2984,0.0119323665,0.005146353,0.006476172,0.0066767945
t_1017,57.68438,32.3743,0.011834303,0.0050372398,0.0063448246,0.0065290043
t_1018,57.86404,32.3743,0.012611518,0.0058417735,0.007250586,0.0074653127
t_1019,57.77421,32.3743,0.012133008,0.0053706155,0.0067467825,0.006981808
t_102,61.63697,31.30594,0.012035667,0.004618972,0.005221114,0.0047526467
t_1020,58.40303,32.3743,0.0157858,0.009344948,0.010973281,0.01104208
t_1021,58.22337,32.45014,0.014912066,0.0083686365,0.010023018,0.010244469
t_1022,58.3132,32.45014,0.010949273,0.005446824,0.008292629,0.008666968
t_1023,58.40303,32.45014,0.01325645,0.007326177,0.009911157,0.0116636995
t_1024,58.3132,32.52591,0.011976321,0.006300727,0.009136881,0.009125515
t_1025,58.22337,32.52591,0.011751478,0.0059921187,0.008637524,0.008532645
t_1026,58.40303,32.52591,0.013841689,0.007937372,0.010570514,0.012288811
t_1027,58.3132,32.60162,0.012731567,0.0069886213,0.009848827,0.009588501
t_1028,58.22337,32.60162,0.01577734,0.0093765985,0.011108228,0.0113031445
t_1029,58.40303,32.60162,0.017115174,0.011077374,0.01285628,0.012916586
t_103,61.63697,31.38266,0.012365901,0.0049830037,0.0055832914,0.0050701257
t_1030,57.14539,31.61244,0.008393283,0.0019997885,0.002843262,0.0029096254
t_1031,57.23522,31.61244,0.007855497,0.0018706535,0.0028058803,0.0030735813
t_1032,57.05556,31.68891,0.008466942,0.002014176,0.00284206,0.0028786568
t_1033,57.32505,31.68891,0.009518477,0.0026560605,0.0034998064,0.0034423864
t_1034,57.14539,31.68891,0.009207701,0.002373419,0.0031616082,0.0030789857
t_1035,57.23522,31.68891,0.006358095,0.0014163278,0.0024821188,0.0025511929
t_1036,57.05556,31.76532,0.009044882,0.002289882,0.0030883602,0.003040073
t_1037,57.32505,31.76532,0.008070642,0.0021219072,0.003174648,0.0035686817
t_1038,57.14539,31.76532,0.007311567,0.0017205257,0.002725846,0.0031844259
t_1039,57.23522,31.76532,0.009809771,0.0027789706,0.003568942,0.0034089023
t_104,61.54714,31.15231,0.008362356,0.0023835031,0.0035334567,0.0040126857
t_1040,56.96573,31.76532,0.00841158,0.001977716,0.0028001561,0.002838441
t_1041,56.8759,31.76532,0.007908031,0.0017398647,0.0025633113,0.002678951
t_1042,56.8759,31.84167,0.009146207,0.002240164,0.002966428,0.0028204334
t_1043,56.96573,31.84167,0.008099901,0.0019139529,0.0027976164,0.0029587203
t_1044,56.78606,31.84167,0.008608444,0.0019620364,0.00270814,0.0026588284
t_1045,56.78606,31.91795,0.006365357,0.0012831156,0.0022113218,0.0021647492
t_1046,56.8759,31.91795,0.006557686,0.001390071,0.0023582217,0.0022986112
t_1047,56.96573,31.91795,0.008712193,0.0021880923,0.0030452274,0.0030808654
t_1048,56.96573,31.99417,0.008815886,0.0022780898,0.0031572434,0.003204513
t_1049,56.78606,31.99417,0.00888009,0.0021528236,0.0029249152,0.0028680202
t_105,61.4573,31.15231,0.00773732,0.0021705676,0.0034188218,0.004155193
t_1050,57.05556,31.84167,0.008349369,0.0020726586,0.0029822052,0.0031376155
t_1051,57.14539,31.84167,0.00842767,0.002173385,0.0031267195,0.003326691
t_1052,57.32505,31.84167,0.008039475,0.0021653567,0.0032670528,0.003737032
t_1053,57.23522,31.84167,0.009299672,0.0026069942,0.0035142822,0.0035263638
t_1054,57.05556,31.91795,0.0083536245,0.0021243193,0.0030696485,0.0032706913
t_1055,57.23522,31.91795,0.007030881,0.0017699298,0.0029338174,0.0029186422
t_1056,57.32505,31.91795,0.0080948295,0.0022424103,0.0033867967,0.003909366
t_1057,57.14539,31.91795,0.0074855336,0.00187237,0.0029459428,0.0034717135
t_1058,57.05556,31.99417,0.0072453585,0.0017663981,0.002838468,0.003405655
t_1059,57.23522,31.99417,0.009772752,0.0029473524,0.0038747422,0.003845406
t_106,61.36747,31.22915,0.011631544,0.004299313,0.005064412,0.00465095
t_1060,57.32505,31.99417,0.007979597,0.0022497952,0.0034547097,0.0040852334
t_1061,57.14539,31.99417,0.0068424423,0.0016848517,0.0028408987,0.0028668689
t_1062,57.05556,32.07032,0.007672703,0.0019630077,0.0030416935,0.003542026
t_1063,57.32505,32.07032,0.008220671,0.0024036232,0.0036357571,0.004264048
t_1064,57.23522,32.07032,0.008213904,0.002322149,0.0034829208,0.0040087104
t_1065,57.14539,32.07032,0.008060122,0.0021835456,0.003292067,0.0037682813
t_1066,57.05556,32.14641,0.008043227,0.0021479896,0.0032335543,0.0036792986
t_1067,57.14539,32.14641,0.008143413,0.0022649467,0.00340745,0.003918763
t_1068,57.23522,32.14641,0.008238204,0.0023835758,0.0035884145,0.004173763
t_1069,57.32505,32.14641,0.009525712,0.0030487836,0.0041779764,0.0044451756
t_107,61.54714,31.22915,0.009485286,0.0029725218,0.0040662503,0.0042863595
t_1070,56.8759,31.99417,0.007560813,0.0017485326,0.0026897523,0.0030150488
t_1071,56.96573,32.07032,0.007731479,0.0019152358,0.0029301804,0.003329217
t_1072,56.78606,32.07032,0.00810698,0.0019096778,0.0027879619,0.0029410783
t_1073,56.8759,32.07032,0.007192887,0.0016627909,0.002660548,0.0031291398
t_1074,56.96573,32.14641,0.007740488,0.0019599008,0.0030085717,0.003454512
t_1075,56.78606,32.14641,0.008270644,0.0020084588,0.0029004887,0.0030456488
t_1076,56.8759,32.14641,0.0069401846,0.0016132158,0.002658541,0.0032435702
t_1077,56.96573,32.22244,0.007886107,0.002055159,0.0031267148,0.0035798652
t_1078,56.8759,32.22244,0.0073516336,0.0017891258,0.002840495,0.0033578547
t_1079,56.78606,32.22244,0.009092836,0.002368428,0.0031999252,0.0031847549
t_108,61.4573,31.22915,0.0087687345,0.0026964624,0.0039232564,0.0044437996
t_1080,57.23522,32.22244,0.008479303,0.0025376598,0.003763964,0.0043398687
t_1081,57.14539,32.22244,0.008307833,0.0023803115,0.0035490785,0.0040698894
t_1082,57.05556,32.22244,0.008028215,0.002186497,0.0033112653,0.0038168891
t_1083,57.32505,32.22244,0.008919336,0.0028242671,0.004082057,0.0046278625
t_1084,57.32505,32.2984,0.011129258,0.0040363357,0.0049882783,0.004864445
t_1085,57.23522,32.2984,0.010620893,0.0036324076,0.004599772,0.004556067
t_1086,57.05556,32.2984,0.008314509,0.0023460153,0.0034822663,0.0039541353
t_1087,57.14539,32.2984,0.010491334,0.0034567665,0.004367127,0.0042676176
t_1088,57.05556,32.3743,0.008396548,0.0024239128,0.0035896841,0.0040903524
t_1089,57.32505,32.3743,0.009464257,0.0031998674,0.004490843,0.0049943444
t_109,61.36747,31.30594,0.011846937,0.004550254,0.0053625223,0.0049805357
t_1090,56.78606,32.2984,0.0074696275,0.0017972629,0.002810717,0.003253385
t_1091,56.8759,32.2984,0.0076165376,0.0019198852,0.002983315,0.00347145
t_1092,56.96573,32.2984,0.007997115,0.0021382933,0.0032348626,0.0037046766
t_1093,56.8759,32.3743,0.0091099115,0.0025467458,0.003494892,0.0035839486
t_1094,56.78606,32.3743,0.008413123,0.002178526,0.003142224,0.003356843
t_1095,56.96573,32.3743,0.0077073975,0.0020644767,0.0032209484,0.0038283302
t_1096,56.96573,32.45014,0.007942472,0.0021941678,0.0033655448,0.0039519765
t_1097,56.78606,32.45014,0.009461763,0.0026536176,0.0035224473,0.0035020162
t_1098,56.8759,32.45014,0.009559689,0.0027903905,0.003709774,0.0036987558
t_1099,56.96573,32.52591,0.01037034,0.0033384364,0.004231867,0.0041249627
t_11,61.09798,30.22531,0.008536977,0.0016767321,0.002270406,0.0020667384
t_110,61.54714,31.30594,0.01100451,0.0038784246,0.0047923294,0.0046294522
t_1100,57.14539,32.3743,0.008082187,0.002376377,0.0036525675,0.004371128
t_1101,57.23522,32.3743,0.009413205,0.0030712564,0.004279042,0.0046719895
t_1102,57.05556,32.45014,0.008233424,0.0023968748,0.0036173388,0.0042250473
t_1103,57.23522,32.45014,0.008493928,0.002690636,0.0040566125,0.0048362166
t_1104,57.14539,32.45014,0.008361898,0.0025403567,0.0038304767,0.0045196326
t_1105,57.32505,32.45014,0.007638567,0.0023899998,0.0039323373,0.004100307
t_1106,57.05556,32.52591,0.010857278,0.0037157931,0.0045946706,0.004410963
t_1107,57.14539,32.52591,0.01093016,0.0038668483,0.004820031,0.0047197947
t_1108,57.23522,32.52591,0.008341392,0.0026649248,0.004094022,0.0049983333
t_1109,57.32505,32.52591,0.008417644,0.0027940026,0.004316792,0.004242361
t_111,61.4573,31.30594,0.011654116,0.0043598427,0.0051692664,0.0048054503
t_1110,56.78606,32.52591,0.007339307,0.0018501576,0.0029637925,0.00357431
t_1111,56.8759,32.52591,0.008440136,0.002351991,0.0034389335,0.0038176235
t_1112,56.96573,32.60162,0.009214355,0.0028221076,0.003929263,0.0042123063
t_1113,56.8759,32.60162,0.010158474,0.003174675,0.0040666074,0.00398432
t_1114,56.78606,32.60162,0.009915222,0.0029552637,0.0038175394,0.0037296237
t_1115,56.96573,32.67727,0.0076035373,0.0021703104,0.0034825536,0.0034455336
t_1116,57.05556,32.67727,0.008441046,0.002614143,0.0039342763,0.004653294
t_1117,56.78606,32.67727,0.009940764,0.003013874,0.003905038,0.0038495138
t_1118,56.8759,32.67727,0.0084130205,0.0024234545,0.003582043,0.004068257
t_1119,56.96573,32.75285,0.008706224,0.0026845883,0.0039295037,0.0044918326
t_112,61.36747,31.38266,0.011905217,0.004695159,0.0056053745,0.0053341347
t_1120,57.05556,32.60162,0.008687897,0.0026805578,0.003931253,0.0045053866
t_1121,57.23522,32.60162,0.008158103,0.002623472,0.004118273,0.0040909643
t_1122,57.14539,32.60162,0.008087876,0.0025031613,0.003907224,0.0038197562
t_1123,57.32505,32.60162,0.008146017,0.0027079706,0.004309693,0.0043845633
t_1124,57.23522,32.67727,0.011354738,0.004352603,0.00541151,0.0053956406
t_1125,57.14539,32.67727,0.011127193,0.0040932028,0.005096641,0.0050366204
t_1126,57.32505,32.67727,0.01178352,0.0047529545,0.005828605,0.0057844785
t_1127,57.23522,32.75285,0.01138329,0.004429403,0.005535063,0.005515351
t_1128,57.14539,32.75285,0.009041947,0.0030381351,0.0044278624,0.005146981
t_1129,57.05556,32.75285,0.008274651,0.0025826488,0.003963952,0.0048066326
t_113,61.54714,31.38266,0.012459278,0.005082749,0.00566129,0.0052773235
t_1130,59.48101,30.14766,0.006478867,0.0011089311,0.0018517666,0.0020968746
t_1131,59.57084,30.14766,0.006457949,0.0011094627,0.0018576655,0.002113267
t_1132,59.39118,30.14766,0.006479868,0.0011023305,0.0018396379,0.0020774852
t_1133,59.30135,30.14766,0.0068523204,0.0011877887,0.0019041004,0.0020552203
t_1134,59.39118,30.22531,0.007198977,0.0013469863,0.0020942134,0.0022276647
t_1135,59.48101,30.22531,0.0065385955,0.0011771226,0.001960742,0.002249067
t_1136,59.57084,30.22531,0.0066245664,0.0012059835,0.001991382,0.0022671693
t_1137,59.30135,30.22531,0.006500574,0.0011514674,0.0019234907,0.0022031013
t_1138,59.48101,30.3029,0.0067441096,0.0012889176,0.00211024,0.002413308
t_1139,59.39118,30.3029,0.007561239,0.0015156537,0.0022855466,0.002389657
t_114,61.18781,31.30594,0.008848331,0.0029759067,0.004427121,0.0052654464
t_1140,59.84034,30.14766,0.007837135,0.0014952701,0.0021784154,0.0021672212
t_1141,59.75051,30.14766,0.007307936,0.0013408093,0.002056743,0.0021366624
t_1142,59.66067,30.14766,0.0070210285,0.0012592449,0.0019876678,0.002126558
t_1143,59.75051,30.22531,0.007320863,0.0014069022,0.0021653385,0.0022930196
t_1144,59.66067,30.22531,0.0067035905,0.0012321469,0.0020184675,0.0022818525
t_1145,59.84034,30.22531,0.008184605,0.001672555,0.00237049,0.0023260387
t_1146,59.84034,30.3029,0.008388989,0.0018151022,0.002540411,0.0024976248
t_1147,59.75051,30.3029,0.007889547,0.001646317,0.002412428,0.002461919
t_1148,59.66067,30.3029,0.0066863415,0.001285149,0.0021194632,0.0024495628
t_1149,59.84034,30.38043,0.008548811,0.0019503227,0.002709555,0.0026831413
t_115,61.27764,31.30594,0.010833346,0.003958296,0.005058711,0.0050972844
t_1150,60.02,30.14766,0.0048508733,0.00074331317,0.0015259957,0.0017009863
t_1151,59.93017,30.14766,0.0056119543,0.000915555,0.001696279,0.0017008043
t_1152,60.10983,30.14766,0.006394197,0.0011041661,0.0018635184,0.0021441998
t_1153,60.02,30.22531,0.0069640055,0.001311134,0.0020921237,0.0023047787
t_1154,60.10983,30.22531,0.006389581,0.0011556481,0.0019603723,0.002301363
t_1155,59.93017,30.22531,0.0062354375,0.001116603,0.0019277094,0.0023045212
t_1156,59.93017,30.3029,0.0059636873,0.0010967978,0.001964514,0.001960305
t_1157,60.02,30.3029,0.0071293944,0.0014203548,0.0022400592,0.0024749415
t_1158,60.10983,30.3029,0.0063475166,0.0011987312,0.0020536152,0.0024711662
t_1159,60.02,30.38043,0.008490222,0.0019313341,0.0026979565,0.002688348
t_116,61.09798,31.30594,0.009309483,0.0032508029,0.0046892143,0.005429321
t_1160,59.57084,30.3029,0.006894375,0.0013379824,0.002158047,0.0024333221
t_1161,59.30135,30.3029,0.006456809,0.0011935829,0.0020130535,0.002362528
t_1162,59.48101,30.38043,0.0070024994,0.0014241945,0.0022825813,0.002590668
t_1163,59.39118,30.38043,0.006852695,0.0013713151,0.0022299087,0.0025645006
t_1164,59.57084,30.38043,0.007092882,0.0014588254,0.002318589,0.002612823
t_1165,59.30135,30.38043,0.0080789765,0.0017377527,0.0025082042,0.0025345024
t_1166,59.48101,30.45789,0.0069148536,0.0014620987,0.0023790454,0.0027823003
t_1167,59.57084,30.45789,0.007837717,0.0017657502,0.002629917,0.0028068563
t_1168,59.39118,30.45789,0.006755362,0.0014044222,0.00232156,0.002753313
t_1169,59.30135,30.45789,0.008208533,0.0018577117,0.0026673006,0.0027201022
t_117,61.00815,31.30594,0.00908846,0.0031829837,0.0046970043,0.0055876304
t_1170,60.10983,30.38043,0.006989037,0.0014420617,0.0023190845,0.0026547594
t_1171,59.93017,30.38043,0.0073789475,0.0015624746,0.0024182464,0.0026586137
t_1172,60.10983,30.45789,0.007347568,0.0016217438,0.00253321,0.0028533891
t_1173,59.93017,30.45789,0.008638234,0.002068689,0.0028738943,0.0028576558
t_1174,60.02,30.45789,0.005904353,0.001184307,0.0021619317,0.0022639912
t_1175,59.93017,30.5353,0.008465124,0.0020906501,0.0029720624,0.0030732467
t_1176,60.02,30.5353,0.008994435,0.0022965476,0.0031200722,0.0031076542
t_1177,60.10983,30.5353,0.007941706,0.0018987458,0.002826327,0.0030685163
t_1178,59.93017,30.61264,0.009799854,0.0027478412,0.0035221213,0.0033434797
t_1179,60.10983,30.61264,0.009354535,0.002541049,0.00338052,0.0033381688
t_118,61.27764,31.38266,0.01226208,0.0050131157,0.0058842273,0.0055266153
t_1180,59.75051,30.38043,0.008337611,0.0018713208,0.0026487203,0.0026444981
t_1181,59.66067,30.38043,0.007018904,0.0014428947,0.002311601,0.0026308089
t_1182,59.84034,30.45789,0.009259893,0.0023144542,0.0030432325,0.0028838462
t_1183,59.75051,30.45789,0.008794873,0.002121721,0.0029054943,0.0028734216
t_1184,59.66067,30.45789,0.007158662,0.0015525573,0.00246785,0.002826801
t_1185,59.84034,30.5353,0.007925041,0.001892494,0.0028209717,0.0030672883
t_1186,59.75051,30.5353,0.008353177,0.002042352,0.0029298575,0.0030558296
t_1187,59.66067,30.5353,0.007731346,0.0018148716,0.002750684,0.0030389586
t_1188,59.84034,30.61264,0.008062621,0.0020258345,0.0030064571,0.0033002673
t_1189,59.75051,30.61264,0.008431311,0.0021598374,0.003102767,0.0032875135
t_119,61.18781,31.38266,0.010129651,0.0037477107,0.0051311934,0.005653555
t_1190,59.30135,30.5353,0.00812821,0.00190911,0.0027802472,0.0029205875
t_1191,59.48101,30.5353,0.006994576,0.0015534613,0.002524416,0.0029895569
t_1192,59.57084,30.5353,0.0077828993,0.0018247361,0.0027505318,0.0030168113
t_1193,59.39118,30.5353,0.0075515653,0.001725118,0.002651461,0.0029574023
t_1194,59.48101,30.61264,0.0074451608,0.0017756971,0.0027801578,0.0032138224
t_1195,59.30135,30.61264,0.008857577,0.0022676173,0.0031241546,0.003137242
t_1196,59.39118,30.61264,0.00783182,0.0018992113,0.0028652952,0.0031781062
t_1197,59.57084,30.61264,0.007773993,0.0019014445,0.002890213,0.0032441146
t_1198,59.48101,30.68992,0.008221474,0.0021409604,0.00314998,0.0034567162
t_1199,59.57084,30.68992,0.008191052,0.0021410561,0.003162145,0.003490435
t_12,61.00815,30.22531,0.006368403,0.001076135,0.0018185729,0.002081602
t_120,61.00815,31.38266,0.010073927,0.0038233232,0.0053191106,0.0060138204
t_1200,59.21152,30.5353,0.008339998,0.0019682562,0.002808924,0.0028793805
t_1201,59.12168,30.5353,0.008416168,0.0019774525,0.0027985135,0.0028340686
t_1202,59.12168,30.61264,0.008517938,0.0020980875,0.0029652002,0.003041326
t_1203,59.21152,30.61264,0.008682379,0.0021806438,0.003044219,0.0030915386
t_1204,59.12168,30.68992,0.008975846,0.0023665328,0.003243861,0.0032650887
t_1205,59.21152,30.68992,0.008394931,0.002158432,0.0031137494,0.0033208039
t_1206,59.30135,30.68992,0.00924596,0.0025222795,0.0033948896,0.003371563
t_1207,59.12168,30.76714,0.009485366,0.0026815578,0.0035584783,0.0035456063
t_1208,59.21152,30.76714,0.009575799,0.0027471425,0.0036281364,0.0036081958
