Clave,A. Máx. (cm/s/s),Zonificación Sísmica,Epicentro [km]
EX08 ,46.11,Zona IIIb - Lago ,438
TH35 ,44.46,Zona IIId - Lago ,416
BO39 ,43.32,Zona IIIc - Lago ,439
BA49 ,43.04,Zona IIIc - Lago ,436
CO56 ,42.71,Zona IIIb - Lago ,438
CB43 ,42.55,Zona II - Transición ,435
CU80 ,42.35,Zona IIIc - Lago ,423
CI05 ,41.69,Zona IIIb - Lago ,438
XO36 ,39.85,Zona IIIc - Lago ,421
EX12 ,39.04,Zona IIIb - Lago ,438
VM29 ,38.27,Zona IIIc - Lago ,432
BL45 ,36.94,Zona IIIb - Lago ,438
IB22 ,36.7,Zona IIIa - Lago ,429
NZ20 ,33.95,Zona IIId - Lago ,427
EX09 ,33.47,Zona IIIb - Lago ,438
NZ31 ,33.17,Zona IIId - Lago ,430
CJ04 ,32.4,Zona IIIb - Lago ,437
CJ03 ,32.1,Zona IIIb - Lago ,437
SP51 ,31.55,Zona IIIb - Lago ,430
LI58 ,31.08,Zona IIIb - Lago ,438
MY19 ,30.2,Zona IIIc - Lago ,424
AP68 ,29.91,Zona IIIc - Lago ,431
CA20 ,29.76,Zona II - Transición ,435
VG09 ,29.46,Zona IIIb - Lago ,439
UC44 ,29.14,Zona IIIa - Lago ,439
HJ72 ,28.84,Zona IIIc - Lago ,437
LI33 ,28.77,Zona IIIa - Lago ,416
PE10 ,28.64,Zona IIIb - Lago ,432
CA59 ,28.41,Zona IIIc - Lago ,436
XP06 ,28.22,Zona IIIc - Lago ,436
JC54 ,27.23,Zona IIIa - Lago ,426
GA62 ,27.21,Zona IIIb - Lago ,438
AL01 ,26.83,Zona IIIb - Lago ,438
DX37 ,26.81,Zona II - Transición ,429
DM12 ,25.76,Zona IIIc - Lago ,435
AR14 ,25.47,Zona IIId - Lago ,439
PD42 ,25.46,Zona IIId - Lago ,433
S160 ,25.14,Zona IIIb - Lago ,434
GR27 ,24.83,Zona II - Transición ,444
AE02 ,24.72,Zona IIId - Lago ,433
MI15 ,24.61,Zona IIIa - Lago ,423
LV17 ,24.54,Zona IIIa - Lago ,443
CH84 ,24.3,Zona IIIa - Lago ,427
JA43 ,24.26,Zona IIIc - Lago ,434
SI53 ,23.71,Zona IIIa - Lago ,433
TL55 ,22.81,Zona IIIb - Lago ,440
GC38 ,22.23,Zona IIIa - Lago ,425
RM48 ,21.81,Zona IIIb - Lago ,437
RI76 ,21.1,Zona IIIc - Lago ,437
C166 ,20.67,Zona IIIc - Lago ,430
CE23 ,19.78,Zona IIId - Lago ,436
TL08 ,18.79,Zona IIIb - Lago ,439
AO24 ,18.74,Zona II - Transición ,432
CE32 ,18.46,Zona IIId - Lago ,429
CP28 ,18.44,Zona I - Lomas ,435
ES57 ,17.52,Zona II - Transición ,437
UI21 ,16.33,Zona I - Lomas ,439
DR16 ,16,Zona II - Transición ,447
ME52 ,15.08,Zona II - Transición ,441
CO47 ,13.29,Zona II - Transición ,434
EO30 ,12.96,Zona II - Transición ,436
PA34 ,11.99,Zona I - Lomas ,411
CS78 ,11.95,Zona I - Lomas ,436
CE18 ,11.51,Zona I - Lomas ,426
MT50 ,11.32,Zona I - Lomas ,440
IM40 ,11.09,Zona I - Lomas ,433
TP13 ,10.92,Zona I - Lomas ,426
S260 ,10.06,Zona IIIb - Lago ,434
S360 ,6.65,Zona IIIb - Lago ,434
TE07 ,5.61,Zona I - Lomas ,442
D170 ,4.7,Zona I - Lomas ,433
C366 ,4.66,Zona IIIc - Lago ,430
CT64 ,2.72,Zona I - Lomas ,442
