"Nombre Estación","Red","Codigo","Lat [°]","Lon [°]","Localizador","Elevación [msnm]","Dist. Epi [km]","Dist. Hip [km]","PGA EW [cm/s^2]","PGA NS [cm/s^2]","PGA Z [cm/s^2]"
"Villavicencio, Meta, Colombia","CM","CVIL1","4.17","-73.64","10","463","22","22","79.656428","101.949423","59.100543"
"Quetame, Cundinamarca, Colombia","CM","CQUET","4.33","-73.86","10","1486","26","26","14.448317","8.663152","19.675966"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","30","30","109.095778","91.056309","47.303275"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","31","31","42.796642","87.568971","41.380768"
"Acacias, Meta, Colombia","CM","ACH1","3.94","-73.67","10","491","48","48","52.4684","55.48428","44.003346"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","52","52","19.027951","28.171317","13.593051"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","58","58","28.858166","26.650023","9.289984"
"El Dorado, Meta, Colombia","CM","DORAC","3.73","-73.85","10","824","76","76","36.77612","89.185201","25.79474"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","93","93","3.696753","4.095724","2.451544"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","95","95","","","2.069723"
"Tunja, Boyaca, Colombia","CM","CTUN3","5.55","-73.36","10","2740","135","135","6.543071","6.923838","3.220425"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","150","150","4.713486","6.040549","2.91454"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","151","151","36.80505","23.565415","11.252822"
"Prado, Tolima, Colombia","CM","CPRAD","3.75","-74.89","10","309.3","156","156","6.062153","5.623249","5.32829"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","158","158","15.646842","15.984815","10.302452"
"Puerto Gaitan, Meta, Colombia","CM","PTGC","4.2","-72.13","00","170","167","167","10.283032","9.84691","7.995193"
"Yopal, Casanare, Colombia","CM","CYOPA","5.37","-72.41","10","407","174","174","7.498011","7.199388","3.588696"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","179","179","19.769734","15.760621","6.760853"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","179","179","25.867637","20.291086","10.678593"
"Villahermosa, Tolima, Colombia","CM","CVHER","5.03","-75.12","10","2030","181","181","3.029611","3.491733","4.010759"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","187","187","12.026983","17.227811","7.812756"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","191","191","6.135804","7.356827","2.346279"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","193","193","4.794233","6.189213","2.446244"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","217","217","20.678543","19.848506","20.537463"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","218","218","0.896491","3.02735","2.234985"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","222","222","2.716137","4.576226","1.599956"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","223","223","23.555399","27.335831","12.979162"
"Penas Blanca Quindio","UQ","PBLA","4.48","-75.64","00","2003","223","223","4.868309","4.750812","1.987062"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","224","224","6.428315","5.427452","3.389663"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","226","226","26.659679","25.288657","10.787123"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","232","232","17.686987","17.494711","6.798632"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","249","249","20.577848","18.332024","4.516182"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","252","252","7.485298","9.208454","4.946982"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","257","257","1.377149","0.889369","0.630006"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","258","258","1.305721","1.241277","0.823393"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","259","259","0.789413","0.618324","0.626225"
"Planadas, Tolima, Colombia","CM","PLNC","3.19","-75.65","10","1229","260","260","12.274163","24.572966","19.907093"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","264","264","5.189184","8.624731","3.071474"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","271","271","6.011738","4.711512","2.756612"
"Giron, Santander, Colombia","CM","GIR1","6.91","-73.16","10","993","287","287","2.736654","3.172873","2.147129"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","292","292","0.879523","0.738889","0.559995"
"Piedecuesta, Santander, Colombia","CM","PDSC","6.99","-73.06","10","958","298","298","8.100843","5.04959","3.488672"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","300","300","1.796413","2.909731","0.815045"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","303","303","1.501231","1.632503","0.639995"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","307","307","5.614823","6.088943","2.595246"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","312","312","0.562262","0.731565","0.34135"
"Bucaramanga, Santander, Colombia","CM","CBUIS","7.14","-73.12","10","1015","313","313","5.432367","8.304103","4.348871"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","320","320","14.655041","11.307965","4.943954"
"La Plata, Huila, Colombia","CM","CPLAT","2.38","-75.91","10","1111","336","336","5.87751","6.678644","2.697118"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","346","346","2.366658","2.429463","1.406265"
"Pamplona, Norte de Santander, Colombia","CM","CPAM3","7.36","-72.66","10","2422.5","349","349","2.910581","1.428252","0.782357"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","352","352","2.95017","3.902579","1.526401"
"Volcan Purace, Cauca, Colombia","CM","CONO","2.33","-76.4","00","4294","383","383","4.779487","2.92503","1.65759"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","388","388","1.577036","1.476508","0.884139"
"Popayan Invias, Cauca, Colombia","CM","CPOP2","2.46","-76.59","10","1772","392","392","4.650358","6.430597","1.759615"
"Cucuta, Norte de Santander, Colombia","CM","CCUC3","7.87","-72.5","10","439","409","409","2.129796","1.654248","0.669675"
"Cucuta, Norte de Santander, Colombia","CM","CCUC2","7.9","-72.49","10","320","412","412","1.071342","1.023174","0.814509"
"Volcan Sotara, Cauca, Colombia","CM","SOTO","2.13","-76.61","00","3795","415","415","1.734714","1.854983","0.623686"
"Sardinata, Norte de Santander, Colombia","CM","CSARD","8.06","-72.79","10","578","420","420","0.864539","0.893568","0.521801"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","454","454","0.838803","0.725248","0.334776"
"Pasto, Narino, Colombia","CM","CPAS3","2.4","-77.28","10","2562","461","461","2.275543","2.482545","0.849657"
"Balboa, Cauca - Colombia","CM","BBAC","2.02","-77.25","00","1713","480","480","0.747775","0.548031","0.453873"
"Mocoa, Putumayo, Colombia","CM","MOCC","1.14","-76.67","10","720","493","493","0.968826","0.702643","1.822783"
"Tumaco Armada, Narino, Colombia","CM","TUM3C","1.82","-78.74","11","14","636","636","0.31223","0.323646","0.183862"
