ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS1_SLIGHT,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
4,Coquimbo,41,Elqui,4102,Coquimbo,Adobe,ADO,,56,10,12,22,,,Shaking,Fernandez_et_al_2017,
4,Coquimbo,41,Elqui,4106,Vicuña,Adobe,ADO,,196,17,57,79,,,Shaking,Fernandez_et_al_2017,
4,Coquimbo,41,Elqui,4101,La Serena,Adobe,ADO,,49,4,6,16,,,Shaking,Fernandez_et_al_2017,
4,Coquimbo,43,Limarí,4302,Combarbalá,Adobe,ADO,,346,25,55,84,,,Shaking,Fernandez_et_al_2017,
4,Coquimbo,43,Limarí,4303,Monte Patria,Adobe,ADO,,495,35,67,131,,,Shaking,Fernandez_et_al_2017,
4,Coquimbo,43,Limarí,4301,Ovalle,Adobe,ADO,,270,22,51,90,,,Shaking,Fernandez_et_al_2017,
4,Coquimbo,43,Limarí,4304,Punitaqui,Adobe,ADO,,104,6,17,39,,,Shaking,Fernandez_et_al_2017,
4,Coquimbo,42,Choapa,4202,Canela,Adobe,ADO,,486,33,72,123,,,Shaking,Fernandez_et_al_2017,
4,Coquimbo,42,Choapa,4201,Illapel,Adobe,ADO,,175,17,32,41,,,Shaking,Fernandez_et_al_2017,
4,Coquimbo,42,Choapa,4203,Los Vilos,Adobe,ADO,,5,1,1,2,,,Shaking,Fernandez_et_al_2017,
4,Coquimbo,42,Choapa,4204,Salamanca,Adobe,ADO,,154,4,24,48,,,Shaking,Fernandez_et_al_2017,
4,Coquimbo,42,Choapa,4202,Canela,,,,959,220,186,203,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,42,Choapa,4201,Illapel,,,,1377,454,377,336,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,42,Choapa,4203,Los Vilos,,,,37,17,8,5,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,42,Choapa,4204,Salamanca,,,,625,175,142,143,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,41,Elqui,4103,Andacollo ,,,,88,8,18,34,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,41,Elqui,4102,Coquimbo ,,,,633,150,174,189,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,41,Elqui,4101,La Serena ,,,,69,7,11,23,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,41,Elqui,4105,Paiguano,,,,64,7,9,15,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,41,Elqui,4106,Vicuña ,,,,256,23,81,90,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,43,Limarí,4302,Combarbalá ,,,,544,69,95,136,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,43,Limarí,4302,Monte Patria ,,,,1041,166,243,272,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,43,Limarí,4301,Ovalle ,,,,784,167,191,224,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,43,Limarí,4304,Punitaqui ,,,,413,97,95,152,,,Shaking,Fernandez_Thesis_2017,
4,Coquimbo,43,Limarí,4305,Río Hurtado ,,,,304,78,78,105,,,Shaking,Fernandez_Thesis_2017,
