Clave,A. Máx. (cm/s/s),Zonificación Sísmica,Epicentro [km]
C166,56.97,Zona IIIc - Lago,508
CU80,49.95,Zona IIIc - Lago,502
EX08,45.84,Zona IIIb - Lago,516
CO56,45.49,Zona IIIb - Lago,516
CI05,43.37,Zona IIIb - Lago,516
EX12,43.36,Zona IIIb - Lago,516
EX09,42.21,Zona IIIb - Lago,516
AL01,40.93,Zona IIIb - Lago,517
LI58,39.68,Zona IIIb - Lago,516
VG09,38.32,Zona IIIb - Lago,517
BO39,38.07,Zona IIIc - Lago,516
DM12,36.71,Zona IIIc - Lago,513
PE10,35,Zona IIIb - Lago,511
HJ72,32.03,Zona IIIc - Lago,515
AE02,31.2,Zona IIId - Lago,510
S160,30.18,Zona IIIb - Lago,513
C266,30.05,Zona IIIc - Lago,508
TL08,27.51,Zona IIIb - Lago,517
PD42,26.84,Zona IIId - Lago,511
UC44,26.7,Zona IIIa - Lago,518
GC38,26.35,Zona IIIa - Lago,504
CH84,22.02,Zona IIIa - Lago,506
GR27,21.97,Zona II - Transición,522
AO24,21.71,Zona II - Transición,510
IB22,20.62,Zona IIIa - Lago,508
CE32,17.84,Zona IIId - Lago,506
DR16,14.68,Zona II - Transición,525
C366,14.55,Zona IIIc - Lago,508
MT50,13.32,Zona I - Lomas,519
UI21,11.68,Zona I - Lomas,519
FJ74,10.93,Zona I - Lomas,509
TP13,10.68,Zona I - Lomas,506
CS78,10.25,Zona I - Lomas,516
PA34,7.26,Zona I - Lomas,490
CE18,5.76,Zona I - Lomas,504
CT64,3.02,Zona I - Lomas,519
