# {20110222_M6.1_Christchurch} median gmf, Stations:Seismic, gmlt:GEM, Rupture:GFZ
custom_site_id,lon,lat,McVerry2006Asc
m_51,172.6716,-43.5657,0.84023654
m_53,172.64,-43.53,0.5658689
m_55,172.72000000000003,-43.6,0.6560198
m_69,172.32,-43.62,0.12953153
m_71,172.541,-43.2974,0.11120625
m_73,172.57,-43.31,0.1208148
s_0,172.709,-43.58,1.6306
s_1,172.72500000000002,-43.608,0.97232
s_10,172.702,-43.502,0.25809
s_100,170.8286,-44.1019,0.0196
s_101,171.5675,-42.9506,0.0181
s_102,170.5097,-45.9003,0.0165
s_103,172.83029999999997,-42.525,0.0157
s_104,172.8003,-42.7028,0.0142
s_105,170.4928,-45.9039,0.0134
s_106,173.05330000000004,-42.6211,0.0114
s_107,171.4728,-42.7283,0.0103
s_108,170.96389999999997,-42.7186,0.01
s_109,172.32780000000002,-41.8017,0.009
s_11,172.52999999999997,-43.483,0.23461
s_110,171.1356,-42.8933,0.0088
s_111,171.21029999999996,-42.4508,0.0078
s_112,170.9692,-45.1014,0.0077
s_113,168.6628,-45.0339,0.0068
s_114,170.55579999999998,-43.1506,0.0067
s_115,170.7369,-43.0733,0.0062
s_116,169.14279999999997,-44.6961,0.0058
s_117,171.86419999999998,-42.1217,0.0058
s_118,172.1803,-42.3364,0.0057
s_119,170.0983,-44.2561,0.0057
s_12,172.664,-43.376,0.22078
s_120,170.4706,-45.9067,0.0056
s_121,171.59969999999998,-41.7575,0.0056
s_122,168.94169999999997,-46.1042,0.0054
s_123,172.1164,-41.2511,0.0054
s_124,171.9525,-41.8589,0.0052
s_125,170.1956,-46.0733,0.0051
s_126,171.05376,-43.71627,0.00501
s_127,170.64440000000002,-45.0456,0.005
s_128,170.0197,-43.465,0.005
s_129,170.18420000000003,-43.3908,0.0041
s_13,172.495,-43.369,0.20796
s_130,170.50189999999998,-45.8758,0.0035
s_131,169.42309999999998,-43.7164,0.0032
s_132,167.7192,-45.4183,0.0031
s_133,169.0442,-43.8847,0.0029
s_134,173.2572,-42.0897,0.0028
s_135,173.68190000000004,-42.4275,0.0028
s_136,169.7192,-46.2506,0.0028
s_137,170.51390000000004,-45.8642,0.0027
s_138,171.8044,-41.7467,0.0027
s_139,170.18439999999998,-44.3872,0.0025
s_14,172.38099999999997,-43.593,0.19401
s_140,172.82079999999996,-40.8511,0.0022
s_141,173.2742,-41.2894,0.0021
s_142,169.6311,-45.9556,0.0021
s_143,173.3508,-41.6219,0.0021
s_144,169.30809999999997,-45.2328,0.002
s_145,173.5408,-42.4161,0.0018
s_146,169.01750000000004,-44.8286,0.0016
s_147,169.81529999999998,-43.5339,0.0015
s_148,172.90508,-41.76418,0.00145
s_149,174.87919999999997,-41.2261,0.0014
s_15,172.61400000000003,-43.468,0.18289
s_150,174.9031,-41.2133,0.0013
s_151,174.9158,-41.2061,0.0013
s_152,174.94389999999999,-41.2439,0.0012
s_153,174.7828,-41.2772,0.0011
s_154,169.13890000000004,-46.5386,0.0011
s_155,174.81830000000002,-41.3167,0.001
s_156,174.7681,-41.2858,0.0009
s_157,174.7794,-41.2764,0.0008
s_158,167.9264,-44.675,0.0007
s_159,174.78110000000004,-41.2939,0.0007
s_16,172.46799999999996,-43.623,0.1588
s_160,168.11834999999996,-45.36817,0.00068
s_161,167.94698,-45.89404,0.00067
s_162,172.52890000000002,-40.8272,0.0006
s_163,173.37940000000003,-41.2189,0.0006
s_164,166.68066,-46.16786,0.00044
s_165,174.7043,-41.3087,0.00043
s_166,167.15349000000003,-45.46634,0.00039
s_167,174.85550999999998,-38.5147,0.00014
s_168,176.24606,-40.68137,0.00014
s_169,176.49235,-39.16742,9e-05
s_17,172.654,-43.706,0.14851
s_170,177.11068999999998,-38.26102,3e-05
s_18,172.47199999999998,-43.55,0.12791
s_19,172.31799999999998,-43.675,0.10502
s_2,172.71799999999996,-43.495,0.85559
s_20,171.85500000000002,-43.321,0.08761
s_21,172.38099999999997,-43.312,0.08292
s_22,172.70500000000004,-42.963,0.08264
s_23,171.92899999999997,-43.338,0.08258
s_24,171.748,-43.902,0.07039
s_25,172.026,-43.391,0.06855
s_26,172.10199999999998,-43.49,0.06758
s_27,172.92200000000003,-42.939,0.05314
s_28,171.724,-43.227,0.04839
s_29,172.543,-42.87,0.03751
s_3,172.635,-43.522,0.71889
s_30,172.731,-43.155,0.03278
s_31,171.24400000000003,-44.403,0.02883
s_32,172.27099999999996,-42.782,0.02524
s_33,172.51099999999997,-42.594,0.02369
s_34,173.27499999999998,-42.813,0.0226
s_35,170.829,-44.099,0.01856
s_36,171.56799999999998,-42.949,0.01819
s_37,172.83000000000004,-42.523,0.01614
s_38,173.05399999999997,-42.619,0.01155
s_39,171.473,-42.727,0.01048
s_4,172.683,-43.526,0.64828
s_40,171.05399999999997,-43.715,0.00731
s_41,170.01999999999998,-43.463,0.00471
s_42,170.18399999999997,-44.386,0.00259
s_43,173.539,-42.416,0.00166
s_44,174.926,-41.191,0.00051
s_45,166.68100000000004,-46.166,0.00045
s_46,175.502,-37.731,4e-05
s_47,172.7092,-43.5811,1.4544
s_48,172.72469999999998,-43.6094,0.8789
s_49,172.635,-43.5236,0.7134
s_5,172.647,-43.538,0.48806
s_50,172.6828,-43.5275,0.6644
s_52,172.61969999999997,-43.5311,0.5291
s_54,172.6472,-43.5397,0.4831
s_56,172.62419999999997,-43.5672,0.3965
s_57,172.62720000000002,-43.5375,0.3607
s_58,172.6633,-43.5069,0.3416
s_59,172.56420000000003,-43.5378,0.2933
s_6,172.628,-43.536,0.38521
s_60,172.70190000000002,-43.5033,0.2372
s_61,172.52999999999997,-43.4847,0.2176
s_62,172.6067,-43.4944,0.2161
s_63,172.66359999999997,-43.3781,0.2123
s_64,172.4953,-43.3711,0.2008
s_65,172.38080000000002,-43.5944,0.1914
s_66,172.61360000000002,-43.4692,0.1802
s_67,172.4678,-43.6247,0.1597
s_68,172.65359999999998,-43.7078,0.1473
s_7,172.663,-43.505,0.37491
s_70,172.4719,-43.5517,0.1203
s_72,172.3175,-43.6767,0.102
s_74,172.5958,-43.2761,0.0887
s_75,171.85469999999998,-43.3231,0.0882
s_76,172.70500000000004,-42.9647,0.0834
s_77,171.9289,-43.3397,0.0817
s_78,172.3811,-43.3139,0.0788
s_79,172.27090999999996,-42.78335,0.07577
s_8,172.71500000000003,-43.608,0.34615
s_80,171.7475,-43.9042,0.0706
s_81,172.25220000000002,-43.8103,0.0701
s_82,172.0256,-43.3928,0.068
s_83,172.19780000000003,-43.6692,0.0676
s_84,172.1019,-43.4914,0.0643
s_85,171.9597,-43.5414,0.0635
s_86,172.0381,-43.3275,0.056
s_87,172.9214,-42.9403,0.0533
s_88,171.7233,-43.2283,0.048
s_89,172.09360000000004,-43.8983,0.0463
s_9,172.56399999999996,-43.536,0.29759
s_90,171.23670000000004,-43.9236,0.0371
s_91,172.54309999999998,-42.8711,0.0367
s_92,172.0231,-43.7531,0.0356
s_93,172.7308,-43.1564,0.0322
s_94,171.24440000000004,-44.4044,0.0284
s_95,172.2708,-42.7833,0.0247
s_96,172.51080000000002,-42.5958,0.0232
s_97,173.2747,-42.8153,0.0216
s_98,171.4217,-43.8247,0.0214
s_99,171.61080000000004,-43.8389,0.0203
t_0,169.36723,-46.58554,0.0005290704
t_1,169.2774,-46.58554,0.00059393316
t_10,169.63673,-46.4,0.00082620303
t_100,168.91808000000003,-46.33802,0.0006015667
t_1000,169.5469,-45.33669,0.00142543
t_1001,169.63673,-45.33669,0.0014613544
t_1002,169.81639,-45.3998,0.0015093782
t_1003,169.77148,-45.36826,0.0015113351
t_1004,169.81639,-45.36826,0.001549754
t_1005,169.72656,-45.36826,0.0014761077
t_1006,169.68164000000002,-45.36826,0.0014443522
t_1007,169.81639,-45.33669,0.00159171
t_1008,169.77148,-45.33669,0.0015530314
t_1009,169.68164000000002,-45.33669,0.0014873721
t_101,169.09774,-46.27596,0.0008048577
t_1010,169.72656,-45.33669,0.001518102
t_1011,169.81639,-45.30511,0.0016348339
t_1012,169.45706,-45.3998,0.0012785962
t_1013,169.2774,-45.3998,0.0011660013
t_1014,169.2774,-45.33669,0.0013367933
t_1015,169.36723,-45.33669,0.0014003407
t_1016,169.18757,-45.33669,0.0012146757
t_1017,169.45706,-45.33669,0.0014112343
t_1018,169.36723,-45.27351,0.0016498378
t_1019,169.18757,-45.27351,0.0013776191
t_102,168.91808000000003,-46.27596,0.00076848397
t_1020,169.2774,-45.27351,0.0016164534
t_1021,169.45706,-45.27351,0.001560967
t_1022,169.59181,-45.33669,0.0014405639
t_1023,169.63673,-45.30511,0.0015069662
t_1024,169.59181,-45.30511,0.0014895009
t_1025,169.5469,-45.30511,0.0014797876
t_1026,169.59181,-45.27351,0.0015371011
t_1027,169.5469,-45.27351,0.0015321098
t_1028,169.63673,-45.27351,0.0015518862
t_1029,169.5469,-45.24189,0.0015789841
t_103,168.37909000000002,-46.4,0.00042443932
t_1030,169.59181,-45.24189,0.00158137
t_1031,169.63673,-45.24189,0.0015948835
t_1032,169.72656,-45.30511,0.0021114158
t_1033,169.68164000000002,-45.30511,0.0015310994
t_1034,169.77148,-45.30511,0.0015957454
t_1035,169.72656,-45.27351,0.0016040542
t_1036,169.68164000000002,-45.27351,0.0015746598
t_1037,169.81639,-45.27351,0.0016787731
t_1038,169.77148,-45.27351,0.0016390225
t_1039,169.81639,-45.24189,0.0017232127
