# {20110222_M6.1_Christchurch} median gmf, Stations:None, gmlt:USGS, Rupture:GFZ
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,Bradley2013,CampbellBozorgnia2014,ChiouYoungs2014
t_0,169.36723,-46.58554,0.0003655865,0.00030068296,0.00027473154,0.0004893651,0.0004010005
t_1,169.2774,-46.58554,0.0003603676,0.0002974167,0.00026752808,0.0004798733,0.00039502105
t_10,169.63673,-46.4,0.00048424298,0.0004061436,0.00038776864,0.0006278542,0.0005398397
t_100,168.91808000000003,-46.33802,0.00036027536,0.00029646675,0.0002690002,0.00048193545,0.00039485202
t_1000,169.5469,-45.33669,0.0010414759,0.0009126084,0.000979371,0.0012605581,0.0011938891
t_1001,169.63673,-45.33669,0.0011008929,0.00096742547,0.0010459536,0.0013268132,0.0012632542
t_1002,169.81639,-45.3998,0.001174002,0.0010352067,0.0011282183,0.001407751,0.001348515
t_1003,169.77148,-45.36826,0.0011640164,0.0010250403,0.0011183671,0.001398654,0.0013365066
t_1004,169.81639,-45.36826,0.0012005199,0.0010595734,0.0011586214,0.0014376165,0.0013792868
t_1005,169.72656,-45.36826,0.001223695,0.0010958343,0.0011412089,0.0014318503,0.001412331
t_1006,169.68164000000002,-45.36826,0.0011024211,0.00096814334,0.0010487824,0.0013300243,0.0012647595
t_1007,169.81639,-45.33669,0.001229231,0.0010862767,0.0011911548,0.0014692773,0.0014127006
t_1008,169.77148,-45.33669,0.0012219999,0.0010838558,0.0011761297,0.0014519803,0.0014060966
t_1009,169.68164000000002,-45.33669,0.0011316972,0.0009958873,0.0010806586,0.0013611095,0.0012991689
t_101,169.09774,-46.27596,0.000412863,0.0003427655,0.0003185497,0.0005442752,0.000456229
t_1010,169.72656,-45.33669,0.0012184775,0.0010854664,0.0011643707,0.0014375803,0.0014039875
t_1011,169.81639,-45.30511,0.0012529287,0.0011074507,0.0012194534,0.0014972906,0.0014398713
t_1012,169.45706,-45.3998,0.00094409985,0.0008230256,0.00087136717,0.0011516409,0.0010799685
t_1013,169.2774,-45.3998,0.0008451649,0.0007323768,0.0007632466,0.0010404581,0.0009639585
t_1014,169.2774,-45.33669,0.00087875733,0.00076290866,0.0008000951,0.0010787027,0.0010033083
t_1015,169.36723,-45.33669,0.00093068363,0.00081063784,0.0008567229,0.0011367403,0.0010642263
t_1016,169.18757,-45.33669,0.0008728645,0.0007643426,0.00078220986,0.0010568514,0.000998533
t_1017,169.45706,-45.33669,0.0010597793,0.0009420387,0.00096222904,0.0012538786,0.0012199117
