# {20110222_M6.1_Christchurch} median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,Bradley2013,CampbellBozorgnia2014,ChiouYoungs2014
t_0,169.36723,-46.58554,0.00031562694,0.00036503407,0.00024959765,0.0005187034,0.0003990811
t_1,169.2774,-46.58554,0.00031112024,0.00036108276,0.00024312285,0.0005085724,0.00039329214
t_10,169.63673,-46.4,0.00041864402,0.00049363344,0.00035217337,0.00066696847,0.00053650234
t_100,168.91808000000003,-46.33802,0.000311326,0.00036027457,0.0002447081,0.00051120616,0.00039343457
t_1000,169.5469,-45.33669,0.00090602686,0.0011151877,0.0008901984,0.0013513538,0.001183882
t_1001,169.63673,-45.33669,0.0009584733,0.0011830215,0.00095107785,0.0014238755,0.0012528254
t_1002,169.81639,-45.3998,0.0010233909,0.0012673843,0.0010267084,0.001513079,0.0013380112
t_1003,169.77148,-45.36826,0.0010144826,0.0012546834,0.001017543,0.0015029664,0.0013258897
t_1004,169.81639,-45.36826,0.0010466875,0.0012973851,0.0010543343,0.0015456239,0.0013683871
t_1005,169.72656,-45.36826,0.0010660939,0.0013408863,0.0010381595,0.0015378518,0.0014010492
t_1006,169.68164000000002,-45.36826,0.0009600765,0.0011842392,0.00095391745,0.0014277591,0.0012545962
t_1007,169.81639,-45.33669,0.0010718924,0.0013302389,0.0010838818,0.0015801034,0.001401362
t_1008,169.77148,-45.33669,0.0010651704,0.0013268101,0.0010700261,0.0015606737,0.0013947359
t_1009,169.68164000000002,-45.33669,0.0009856814,0.0012182606,0.000982816,0.0014614518,0.0012885226
t_101,169.09774,-46.27596,0.00035701384,0.0004167803,0.00028973815,0.000577961,0.0004542756
t_1010,169.72656,-45.33669,0.001061683,0.0013283134,0.0010591415,0.001544377,0.0013925649
t_1011,169.81639,-45.30511,0.0010927198,0.0013563108,0.0011095569,0.0016106619,0.0014281202
t_1012,169.45706,-45.3998,0.00082059746,0.0010049847,0.0007919625,0.001232955,0.0010712174
t_1013,169.2774,-45.3998,0.00073353096,0.00089309603,0.00069320545,0.0011117855,0.0009559584
t_1014,169.2774,-45.33669,0.0007626738,0.00093024655,0.0007263889,0.0011528678,0.000994499
t_1015,169.36723,-45.33669,0.0008083703,0.0009891553,0.00077810953,0.0012161166,0.001055025
t_1016,169.18757,-45.33669,0.0007569751,0.00093132927,0.0007098684,0.0011283985,0.0009896299
t_1017,169.45706,-45.33669,0.00092122285,0.0011503218,0.0008742803,0.0013428023,0.0012095273
t_1018,169.36723,-45.27351,0.0008381907,0.0010267294,0.00081316207,0.0012591147,0.0010941211
t_1019,169.18757,-45.27351,0.0007495182,0.00091360515,0.0007112321,0.0011340352,0.0009771121
t_102,168.91808000000003,-46.27596,0.00032578982,0.00037811827,0.00025883218,0.0005324137,0.00041268076
t_1020,169.2774,-45.27351,0.00079462084,0.00097155344,0.000762346,0.0011968126,0.001036858
t_1021,169.45706,-45.27351,0.00089250715,0.001097722,0.0008745724,0.0013326122,0.0011660795
t_1022,169.59181,-45.33669,0.0009319209,0.0011486629,0.00092020526,0.0013871749,0.0012179427
t_1023,169.63673,-45.30511,0.0009816756,0.001213512,0.0009776369,0.0014550546,0.0012834432
t_1024,169.59181,-45.30511,0.000952363,0.0011751117,0.0009439644,0.0014154173,0.0012448019
t_1025,169.5469,-45.30511,0.00092565094,0.0011405541,0.0009129301,0.0013784895,0.0012096989
t_1026,169.59181,-45.27351,0.00097305485,0.0012019025,0.00096807437,0.0014439869,0.0012719618
t_1027,169.5469,-45.27351,0.00094550534,0.0011662366,0.0009359872,0.0014059262,0.0012357938
t_1028,169.63673,-45.27351,0.0010250355,0.0012748388,0.001022626,0.0015050381,0.0013422697
t_1029,169.5469,-45.24189,0.0009665192,0.0011936551,0.00096020655,0.0014345297,0.0012634689
t_103,168.37909000000002,-46.4,0.0003683401,0.00047935994,0.00024287745,0.00052877946,0.0004831948
t_1030,169.59181,-45.24189,0.0009939861,0.001229022,0.0009925234,0.0014728702,0.0012994076
t_1031,169.63673,-45.24189,0.0010062269,0.0012409642,0.001011211,0.0014972517,0.0013138533
t_1032,169.72656,-45.30511,0.0014206076,0.0019225059,0.0013082102,0.0018789422,0.0019236638
t_1033,169.68164000000002,-45.30511,0.0010078606,0.0012470091,0.0010087617,0.0014920447,0.001317586
t_1034,169.77148,-45.30511,0.0010804612,0.001344608,0.0010903922,0.0015856926,0.0014138769
t_1035,169.72656,-45.27351,0.0010600835,0.0013147775,0.0010701005,0.0015640317,0.0013858909
t_1036,169.68164000000002,-45.27351,0.0010303324,0.0012761571,0.0010351145,0.0015230235,0.001347
t_1037,169.81639,-45.27351,0.0011218496,0.00139506,0.0011430641,0.0016490842,0.0014664431
t_1038,169.77148,-45.27351,0.0010905883,0.0013544103,0.0011060816,0.0016060504,0.0014257057
t_1039,169.81639,-45.24189,0.001147632,0.0014286094,0.0011736437,0.0016845396,0.0014999907
t_104,168.28926,-46.4,0.00044044852,0.0006066099,0.0002825949,0.0005875682,0.0005890101
t_1040,169.72656,-45.24189,0.0010838065,0.0013455959,0.0010980731,0.0015966954,0.0014168592
t_1041,169.77148,-45.24189,0.0011153203,0.0013865666,0.0011353309,0.0016400816,0.0014579397
t_1042,169.68164000000002,-45.24189,0.0010592794,0.0013151835,0.0010675387,0.0015601316,0.0013854337
t_1043,169.77148,-45.21026,0.0011403644,0.0014191498,0.0011650169,0.0016745268,0.0014905386
t_1044,169.81639,-45.21026,0.0011737535,0.001462622,0.0012046952,0.0017204463,0.0015339336
t_1045,169.68164000000002,-45.21026,0.0022282377,0.0033749861,0.0020111874,0.0025473777,0.0031480892
t_1046,169.72656,-45.21026,0.0010935911,0.0013549742,0.0011132744,0.001616494,0.0014282066
t_1047,169.77148,-45.17861,0.001162897,0.0014478146,0.0011925042,0.0017067713,0.001519541
t_1048,169.68164000000002,-45.17861,0.0020709215,0.003064526,0.0018885685,0.0024445115,0.0029000978
t_1049,169.81639,-45.17861,0.0012002097,0.0014970915,0.0012362129,0.0017567987,0.0015682635
t_105,168.01976000000002,-46.4,0.0004539967,0.00064849947,0.00027748235,0.00062014384,0.0006118707
t_1050,169.72656,-45.17861,0.0017062351,0.0023836056,0.0015869543,0.0021726135,0.0023369153
t_1051,169.72656,-45.14694,0.0015276187,0.0020541055,0.0014340793,0.00203131,0.0020573395
t_1052,169.5469,-45.21026,0.0009877784,0.001221422,0.0009847638,0.0014634337,0.0012914422
t_1053,169.59181,-45.21026,0.0010136642,0.0012541913,0.0010159458,0.0015006663,0.001325045
t_1054,169.63673,-45.21026,0.0017871229,0.0025734755,0.0016274262,0.002190015,0.0024803826
t_1055,169.63673,-45.17861,0.0013486919,0.0017812329,0.0012511071,0.0018296042,0.0018050038
t_1056,169.59181,-45.17861,0.0010365088,0.0012841714,0.0010423694,0.0015314993,0.0013550714
t_1057,169.5469,-45.17861,0.0010063332,0.0012450275,0.0010069737,0.0014898839,0.0013155735
t_1058,169.59181,-45.14694,0.0010596261,0.0013145441,0.0010691619,0.0015626575,0.0013854242
t_1059,169.5469,-45.14694,0.0010269929,0.0012718234,0.0010311973,0.0015183688,0.0013426018
t_106,168.19942000000003,-46.4,0.0004999563,0.0007189155,0.0003132322,0.00067525846,0.0006781868
t_1060,169.63673,-45.14694,0.0011090854,0.0013829581,0.0011229753,0.0016228595,0.0014516816
t_1061,169.5469,-45.11525,0.0010478236,0.0012988576,0.0010556784,0.001547075,0.0013698007
t_1062,169.45706,-45.21026,0.001420489,0.001973701,0.0012770162,0.0018246354,0.0019483789
t_1063,169.36723,-45.21026,0.0013150825,0.0018127545,0.001171163,0.0017070352,0.0017993825
t_1064,169.18757,-45.21026,0.0007783425,0.00095062423,0.0007438873,0.0011741563,0.0010151024
t_1065,169.2774,-45.21026,0.00082597334,0.0010119072,0.0007981211,0.0012403525,0.0010782279
t_1066,169.2774,-45.14694,0.0008581786,0.0010535107,0.0008349951,0.0012848318,0.0011203969
t_1067,169.18757,-45.14694,0.0008970468,0.0011252792,0.000809254,0.0012979973,0.0011789412
t_1068,169.45706,-45.14694,0.0009682911,0.0011959496,0.0009622815,0.0014369446,0.0012657186
t_1069,169.36723,-45.14694,0.0012961676,0.001762933,0.0011655036,0.0017080527,0.0017626273
t_107,168.10959000000003,-46.4,0.00024874826,0.0002977393,0.00015996638,0.00039486637,0.00031331685
t_1070,169.45706,-45.08354,0.0012278209,0.0015990937,0.0011285691,0.0016912876,0.0016342027
t_1071,169.18757,-45.08354,0.0009327646,0.0011742532,0.00084509683,0.0013446537,0.0012262776
t_1072,169.77148,-45.14694,0.0012754706,0.0016161372,0.0012890031,0.0018212058,0.0016748826
t_1073,169.68164000000002,-45.14694,0.0021883382,0.0032695571,0.001997586,0.0025487235,0.0030738066
t_1074,169.81639,-45.14694,0.0012269864,0.0015319996,0.0012681795,0.0017935782,0.0016029599
t_1075,169.81639,-45.11525,0.0012626853,0.0015806406,0.0013086982,0.0018386851,0.0016500722
t_1076,169.77148,-45.11525,0.0014450811,0.0018817491,0.0013715202,0.0019845462,0.0019148503
t_1077,169.68164000000002,-45.11525,0.0011749973,0.0014710152,0.0011987842,0.0017092264,0.0015384346
t_1078,169.72656,-45.11525,0.0024086162,0.003648132,0.0022092909,0.0027517914,0.0033959732
t_1079,169.81639,-45.08354,0.0014372605,0.0018479921,0.0013922297,0.0020084751,0.0018931101
t_108,168.10959000000003,-46.33802,0.0004958651,0.00071263104,0.00031001875,0.00067037187,0.00067227386
t_1080,169.68164000000002,-45.08354,0.0011655374,0.0014507163,0.0011962248,0.0017113813,0.0015226987
t_1081,169.72656,-45.08354,0.0013230094,0.0016870524,0.0012958203,0.0018709447,0.0017403335
t_1082,169.59181,-45.11525,0.0011128146,0.0013911441,0.0011236856,0.0016216137,0.0014578773
t_1083,169.63673,-45.11525,0.0011010969,0.0013653237,0.0011215018,0.0016256684,0.0014382155
t_1084,169.63673,-45.08354,0.0015175261,0.0020463318,0.0014199087,0.0020122698,0.0020472507
t_1085,169.59181,-45.08354,0.0018978508,0.0027447285,0.0017424552,0.002311441,0.0026353714
t_1086,169.5469,-45.08354,0.0011054558,0.0013824542,0.001114,0.0016097953,0.0014485022
t_1087,169.63673,-45.05182,0.0014805577,0.0019699642,0.0013915823,0.0019903944,0.0019840484
t_1088,169.59181,-45.05182,0.002113102,0.0031284573,0.0019342267,0.0024922544,0.0029578283
t_1089,169.5469,-45.05182,0.0017485584,0.0024807542,0.0016103602,0.0021846534,0.00241081
t_109,168.01976000000002,-46.33802,0.00047216838,0.00067629264,0.00029152405,0.0006419942,0.0006380614
t_1090,169.5469,-45.02008,0.0018510579,0.0026541087,0.0017058968,0.0022796486,0.00256072
t_1091,169.59181,-45.02008,0.0015300964,0.0020635896,0.0014338883,0.0020283232,0.0020631843
t_1092,169.77148,-45.08354,0.0016918323,0.0023035263,0.0016048731,0.0022171098,0.0022866721
t_1093,169.77148,-45.05182,0.00126195,0.0015757092,0.0013120259,0.0018451496,0.0016472926
