# 20180906_M6.6_HokkaidoEasternIburi median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AbrahamsonEtAl2015SInter,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SInter,AtkinsonBoore2003SSlab,AtkinsonBoore2003SSlabCascadia,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014,ZhaoEtAl2016SInter,ZhaoEtAl2016SSlab
t_0,141.88218,39.26332,0.004314164,0.0034682658,0.0048224907,0.0021962116,0.0010119922,0.00063431816,0.0017845387,0.002564314,0.006589132,0.0045082527,0.004142927
t_1,141.88331,39.35341,0.002777506,0.002254933,0.0031687752,0.001362394,0.0006391361,0.00040061146,0.0009892194,0.00196462,0.0040033557,0.0047300737,0.0038364774
t_10,141.30033000000003,38.72559,0.0018200425,0.0019987044,0.0026381696,0.001241034,0.0005163973,0.0003236786,0.00066473486,0.0012648198,0.0026687407,0.0048241233,0.003039593
t_100,141.426,40.48221,0.016880434,0.00799343,0.012680572,0.006394946,0.00393776,0.0024681936,0.007830638,0.008996168,0.0251614,0.009100347,0.01119228
t_1000,141.57157,43.63384,0.0544157,0.018592043,0.03664123,0.025468605,0.027563293,0.017276712,0.023651658,0.035155516,0.065667585,0.03471051,0.04896006
t_1001,141.50959,43.63413,0.05304082,0.018164234,0.035845928,0.024858601,0.02661293,0.016681023,0.023196908,0.034202486,0.06451431,0.033850286,0.047558453
t_1002,141.44761,43.63439,0.051555086,0.017703034,0.034970064,0.024199724,0.02559983,0.01604601,0.022672772,0.033176813,0.063185774,0.03292611,0.04605777
t_1003,141.572,43.67885,0.050830826,0.01747862,0.03412054,0.023878647,0.025111217,0.015739748,0.021941282,0.032678418,0.061849296,0.032477632,0.045331463
t_1004,141.50997,43.67915,0.049625214,0.017105652,0.03342944,0.023344336,0.02430553,0.015234741,0.02154162,0.03185111,0.060827054,0.031734068,0.044130072
t_1005,141.44794000000002,43.67941,0.048313305,0.016700631,0.032666404,0.022763122,0.023439718,0.01469205,0.021087298,0.030954177,0.05964883,0.030929165,0.04283356
t_1006,141.81888000000004,43.58731,0.074181214,0.025050933,0.048995465,0.029181046,0.033599596,0.021060277,0.034642726,0.045742273,0.088764876,0.05472668,0.07277491
t_1007,141.75694,43.58774,0.070666716,0.02387605,0.046913434,0.028830478,0.033011317,0.02069154,0.032498036,0.04407519,0.08451299,0.05403026,0.0717079
t_1008,141.69501000000002,43.58813,0.060958266,0.020641413,0.04092509,0.028375406,0.032253295,0.020216411,0.02652968,0.03974109,0.07188396,0.03886932,0.05579951
t_1009,141.63308,43.58849,0.059723347,0.020252865,0.040233757,0.027826218,0.031347003,0.019648347,0.026029965,0.03886925,0.07092701,0.038076144,0.054487098
t_101,141.36701,40.48241,0.012624104,0.0061495826,0.009788044,0.005656415,0.0034748265,0.0021780264,0.005379684,0.007413376,0.018527796,0.0124266725,0.012134934
t_1010,141.81948999999997,43.63233,0.069067545,0.023420988,0.045443624,0.02718617,0.030302567,0.018993694,0.032051954,0.042297747,0.08351456,0.050788835,0.06676655
t_1011,141.75751000000002,43.63275,0.05760558,0.019588415,0.03841318,0.026884988,0.029815516,0.018688409,0.024954794,0.03738092,0.06836044,0.036724757,0.052259665
t_1012,141.69552999999996,43.63315,0.056720912,0.01931155,0.037937112,0.026492016,0.0291843,0.018292762,0.02454218,0.036761753,0.0675112,0.036163565,0.051337883
t_1013,141.63355,43.63351,0.05565057,0.018977126,0.037342805,0.02601673,0.028427362,0.017818313,0.024091542,0.036014665,0.066673934,0.035487223,0.050229497
t_1014,141.82010000000002,43.67734,0.065195315,0.0222169,0.04273299,0.025370829,0.027410163,0.01718073,0.030224938,0.039505955,0.07969426,0.0472592,0.061433528
t_1015,141.75808,43.67777,0.053607605,0.018340476,0.035650782,0.025110038,0.027003217,0.016925657,0.023099395,0.034594916,0.06427783,0.034204327,0.048134755
t_1016,141.69605,43.67816,0.052840564,0.018102003,0.0352411,0.024769776,0.026475534,0.016594904,0.022745654,0.034063984,0.06348961,0.033725392,0.047355335
