STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
1362/01,Ab-bar,36.925,48.954,seismic,Stations_BHRC,0.63531,0.699942287,0.556305447,0.393050509,0.0,0.0,0.0,0.0,0.63531,0.691794692,0.501508261,0.365366913,0.54614,0.551582081,0.27519769,0.393050509,0.54648,0.699942287,0.556305447,0.342224575,,,,,,,,
1353/01,Qazvin,36.26,50.0,seismic,Stations_BHRC,0.2045992,0.194743494,0.2012841,0.179567951,0.0,0.0,0.0,0.0,0.2045992,0.194743494,0.149789568,0.179567951,0.09904487,0.124973055,0.085927904,0.074888145,0.1362489,0.172912022,0.2012841,0.109786918,,,,,,,,
1406,Tafresh,34.68,50.0,seismic,Stations_BHRC,0.1737797,0.158591842,0.148661912,0.122287092,0.0,0.0,0.0,0.0,0.1737797,0.139288118,0.101057572,0.09645238,0.07944553,0.060349343,0.0700741,0.039494793,0.2161066,0.158591842,0.148661912,0.122287092,,,,,,,,
1359,Tonekabon,36.808,50.884,seismic,Stations_BHRC,0.1325747,0.198328739,0.216395018,0.11891662,0.0,0.0,0.0,0.0,0.1325747,0.198328739,0.216395018,0.11891662,0.03502332,0.050922531,0.039825316,0.033203185,0.08754489,0.159612284,0.1513314,0.103897506,,,,,,,,
1364,Zanjan,36.66,48.5,seismic,Stations_BHRC,0.13249,0.190955322,0.140377627,0.087487966,0.0,0.0,0.0,0.0,0.13249,0.190955322,0.140377627,0.087487966,0.05512,0.041502769,0.04271118,0.027816207,0.0602,0.09125786,0.058117864,0.054017303,,,,,,,,
1354,Abhar,36.09,49.22,seismic,Stations_BHRC,0.1296175,0.42731796,0.326060053,0.301019938,0.0,0.0,0.0,0.0,0.1296175,0.189810926,0.17097236,0.127713096,0.07625145,0.069952119,0.048322325,0.045284415,0.2152953,0.42731796,0.326060053,0.301019938,,,,,,,,
1357/01,Lahijan,37.21,50.03,seismic,Stations_BHRC,0.11209,0.245957124,0.296208661,0.177160274,0.0,0.0,0.0,0.0,0.11209,0.121018173,0.105767844,0.105689042,0.08693,0.078276961,0.073125786,0.045485863,0.18794,0.245957124,0.296208661,0.177160274,,,,,,,,
1355,Roodsar,37.13,50.3,seismic,Stations_BHRC,0.09389988,0.183248083,0.112311047,0.088842655,0.0,0.0,0.0,0.0,0.09389988,0.143547482,0.112311047,0.079446013,0.08542621,0.070108918,0.065301219,0.047699102,0.08111777,0.183248083,0.096258515,0.088842655,,,,,,,,
1361,Gachsar,36.112,51.32,seismic,Stations_BHRC,0.07211826,0.084537295,0.084203873,0.095494093,0.0,0.0,0.0,0.0,0.07211826,0.083982164,0.047189308,0.06184042,0.03973727,0.038017575,0.029241564,0.028145076,0.1016543,0.084537295,0.084203873,0.095494093,,,,,,,,
1372,Eshtehard,35.72,50.37,seismic,Stations_BHRC,0.07059,0.114982758,0.081672756,0.061465382,0.0,0.0,0.0,0.0,0.07059,0.114982758,0.073334453,0.061465382,0.04596,0.055967022,0.029162389,0.022004754,0.07692,0.108582672,0.081672756,0.045047488,,,,,,,,
1408,TEHRAN 46,35.71,51.39,seismic,Stations_BHRC,0.0539,0.081316198,0.085548071,0.051795364,0.0,0.0,0.0,0.0,0.0539,0.062197946,0.075776084,0.051795364,0.03079,0.053061158,0.030253716,0.034437772,0.05128,0.081316198,0.085548071,0.030864248,,,,,,,,
