FIELD,DESCRIPTION
Year,2023
Country,Morocco
Region,Africa
Event Name,MarrakeshSafi 2023
Local Date,08/09/2023
Local Time,23:11:01
Longitude (decimal degrees),-8.3887
Latitude (decimal degrees),31.0549
Depth (km),19
Mw,6.8
Max Intensity (MMI),VIII
Fault mechanism,Oblique-Slip
Tectonic region type,Active Shallow Crust
Fatalities,~2946
Injured,~5674
Displaced population,
Affected population,
Affected units,
Damaged units,
Collapsed units,
Economic losses,
Insured losses,
Earthquake-triggered effects,Slide
USGS event ID,us7000kufc
Wikipedia page,https://en.wikipedia.org/wiki/2023 Marrakesh-Safi earthquake
