ID_2_Da.Do,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
15061004,ARIENZO,,,,,181,163,44,4,,Shaking,Da.Do,
15062022,CEPPALONI,,,,,185,252,162,19,,Shaking,Da.Do,
15062003,APICE,,,,,287,331,366,104,,Shaking,Da.Do,
15063071,SANT'AGNELLO,,,,,213,184,28,5,,Shaking,Da.Do,
15064044,LIONI,,,,,286,439,500,190,,Shaking,Da.Do,
15063081,STRIANO,,,,,175,94,16,1,,Shaking,Da.Do,
15061031,CONCA DELLA CAMPANIA,,,,,153,127,19,2,,Shaking,Da.Do,
15062005,ARPAIA,,,,,68,85,66,2,,Shaking,Da.Do,
15064070,PATERNOPOLI,,,,,158,273,184,56,,Shaking,Da.Do,
15064013,CAIRANO,,,,,84,79,84,14,,Shaking,Da.Do,
15065011,ATRANI,,,,,23,14,2,0,,Shaking,Da.Do,
15062012,CALVI,,,,,134,154,104,13,,Shaking,Da.Do,
15065017,BUCCINO,,,,,313,439,274,55,,Shaking,Da.Do,
15064028,CHIUSANO DI SAN DOMENICO,,,,,155,112,20,2,,Shaking,Da.Do,
17076076,SAN FELE,,,,,313,235,95,14,,Shaking,Da.Do,
15064049,MERCOGLIANO,,,,,125,127,65,1,,Shaking,Da.Do,
15062075,TOCCO CAUDIO,,,,,43,58,89,7,,Shaking,Da.Do,
15064092,SANT'ANGELO DEI LOMBARDI,,,,,341,423,670,532,,Shaking,Da.Do,
15063018,CASAMARCIANO,,,,,56,66,14,10,,Shaking,Da.Do,
15063022,CASOLA DI NAPOLI,,,,,82,71,39,4,,Shaking,Da.Do,
15063029,COMIZIANO,,,,,49,46,6,1,,Shaking,Da.Do,
15063040,LIVERI,,,,,83,59,35,0,,Shaking,Da.Do,
15064119,VOLTURARA IRPINA,,,,,255,313,254,27,,Shaking,Da.Do,
15064023,CASTELFRANCI,,,,,143,140,132,18,,Shaking,Da.Do,
15064040,GUARDIA LOMBARDI,,,,,271,351,263,38,,Shaking,Da.Do,
15064054,MONTEFORTE IRPINO,,,,,197,226,71,3,,Shaking,Da.Do,
15065151,TRAMONTI,,,,,145,177,151,10,,Shaking,Da.Do,
17076021,CASTELGRANDE,,,,,114,105,162,45,,Shaking,Da.Do,
17076046,MARSICOVETERE,,,,,168,111,37,1,,Shaking,Da.Do,
17076064,RAPOLLA,,,,,99,84,8,0,,Shaking,Da.Do,
15065013,BARONISSI,,,,,267,391,225,6,,Shaking,Da.Do,
17076072,RUVO DEL MONTE,,,,,118,170,109,8,,Shaking,Da.Do,
17077026,SAN MAURO FORTE,,,,,165,75,2,0,,Shaking,Da.Do,
15065043,COLLIANO,,,,,194,218,148,13,,Shaking,Da.Do,
15065020,CALVANICO,,,,,67,116,39,0,,Shaking,Da.Do,
15065036,CASTIGLIONE DEL GENOVESI,,,,,27,47,45,9,,Shaking,Da.Do,
15065046,CONTURSI TERME,,,,,124,122,46,1,,Shaking,Da.Do,
15065090,PELLEZZANO,,,,,132,210,133,2,,Shaking,Da.Do,
15065125,SAN PIETRO AL TANAGRO,,,,,133,178,63,10,,Shaking,Da.Do,
17076004,ANZI,,,,,170,78,21,2,,Shaking,Da.Do,
17076041,LAURENZANA,,,,,254,370,102,0,,Shaking,Da.Do,
