FIELD,DESCRIPTION
Year,2020
Country,Mexico
Region,North America
Event Name,Oaxaca 2020
Local Date,23/06/2020
Local Time,10:29:03
Latitude (decimal degrees),15.784
Longitude (decimal degrees),-96.12
Depth (km),22.6
Mw,7.4
Max Intensity (MMI),VIII
Fault mechanism,Reverse
Tectonic region type,Subduction Interface
Fatalities,~10
Injured,23-25
Displaced population,~139
Affected population,~24393
Affected units,>8000 
Damaged units,8123-10285 
Collapsed units,
Economic losses,75 M USD
Insured losses,
Earthquake-triggered effects,"Tsunami, Landslides"
USGS event ID,us6000ah9t
Wikipedia page,https://en.wikipedia.org/wiki/2020 Oaxaca earthquake
