# 19860913_M6.0_Kalamata median gmf, Stations:None, gmlt:USGS, Rupture:GCMT
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,ZhaoEtAl2016Asc
t_0,21.877819999999986,36.75189,0.012115328,0.019982873,0.04316878
t_1,21.919460000000015,36.78051,0.014476724,0.023200948,0.061964642
t_10,21.818700000000007,36.94307,0.010262472,0.017078048,0.037428737
t_100,21.675929999999994,37.07682,0.0091253035,0.014561305,0.037578978
t_1000,21.950170000000014,39.44911,0.0021119434,0.002712203,0.0029422643
t_1001,21.99284,39.47733,0.0021066302,0.002696296,0.0028786645
t_1002,22.035529999999994,39.50554,0.0016462579,0.0022246155,0.0033254814
t_1003,21.95642000000001,39.5104,0.0020253637,0.002595373,0.0027657403
t_1004,21.99911,39.53861,0.0020433557,0.0026033581,0.0027056027
t_1005,21.91998000000001,39.54346,0.0020342013,0.0025859526,0.002895901
t_1006,22.041830000000004,39.56681,0.0020200477,0.0025697036,0.0026454246
t_1007,21.962680000000006,39.57167,0.0013131576,0.0018516988,0.0030720434
t_1008,22.00540000000001,39.59987,0.00143756,0.0019716574,0.0030048839
t_1009,21.670359999999988,39.4352,0.0015234534,0.0021000004,0.003326732
t_101,21.717649999999992,37.10544,0.0072905878,0.012414263,0.029116599
t_1010,21.712950000000006,39.46349,0.0018070291,0.0023774419,0.002764388
t_1011,21.755560000000003,39.49176,0.0019879295,0.0025487926,0.0027121692
t_1012,21.67644999999999,39.49651,0.0017415616,0.0022938338,0.002652072
t_1013,21.719069999999988,39.52478,0.0019366916,0.0024790475,0.002602887
t_1014,21.76169999999999,39.55304,0.0018118453,0.0023468223,0.0025531787
t_1015,21.682549999999992,39.55779,0.0018621098,0.0023870203,0.0024980553
t_1016,21.725189999999998,39.58605,0.0018241839,0.0023414595,0.002451193
t_1017,21.767859999999985,39.6143,0.0014445112,0.0019573106,0.0028398975
t_1018,21.798190000000005,39.52002,0.001979782,0.0025316929,0.0026594342
