lon,lat,slope,vs30,geology,xvf,region,vs30measured,custom_site_id
30.38005,40.73707,0.018470114,281.261,CRETACEOUS,-150.0,4,0,s_0
31.14811,40.84392,0.004413772,250.13246,PLEISTOCENE,150.0,4,0,s_1
29.45003,40.78627,0.0369406,447.90198,JURASSIC-TRIASSIC,-150.0,4,0,s_2
29.91721,40.7665,0.08256993,600.58997,UNKNOWN,-150.0,4,0,s_3
30.78307,40.39659,0.031986773,488.05734,CENOZOIC,-150.0,4,0,s_4
29.71688,40.44163,0.010619729,302.71252,HOLOCENE,-150.00000000000003,4,0,s_5
28.7587,41.02646,0.0029115714,340.69656,CENOZOIC,-150.00000000000003,4,0,s_6
27.51504,40.97928,0.05701621,526.08075,CENOZOIC,-149.99999999999997,4,0,s_7
27.95033,40.97297,0.0056352075,351.7795,CENOZOIC,-150.0,4,0,s_8
29.00951,41.0582,0.038937256,460.54694,PALEOZOIC,-150.0,4,0,s_9
29.99716,39.4193,0.022714503,406.7247,HOLOCENE,-150.0,4,0,s_10
29.1273,40.1831,0.17722426,770.3895,PRECAMBRIAN,-150.0,4,0,s_11
26.39948,40.14145,0.04109668,349.3725,UNKNOWN,-150.0,4,0,s_12
27.85686,39.65003,0.05126419,507.19376,CENOZOIC,-150.0,4,0,s_13
30.53395,38.77598,0.00087764446,215.69101,PLEISTOCENE,-150.0,4,0,s_14
29.40401,38.67128,0.02349814,371.7847,HOLOCENE,-150.0,4,0,s_15
27.38138,38.61259,0.06853171,538.9733,CENOZOIC,-150.0,4,0,s_16
34.03671,41.01319,0.07129863,545.36273,PALEOZOIC,150.0,4,0,s_17
29.11113,37.81247,0.03468185,399.18552,CENOZOIC,-62.66948211052858,4,0,s_18
27.22673,38.45514,0.012072633,328.25223,HOLOCENE,-150.0,4,0,s_19
27.83812,37.83657,0.01161831,314.3575,HOLOCENE,-91.82736419092072,4,0,s_20
36.55522,40.32915,0.0017667587,406.1895,PLEISTOCENE,150.0,4,0,s_21
29.82861,40.71667,0.034062833,518.0254,CENOZOIC,-150.0,4,0,s_22
30.4,40.767,0.0028499812,241.75235,PLEISTOCENE,-149.99999999999997,4,0,s_23
29.5,40.7,0.030225553,385.37067,CENOZOIC,-150.0,4,0,s_24
29.833,40.717,0.034062833,518.0254,CENOZOIC,-150.0,4,0,s_25
29.792,40.728,0.030357527,505.71603,HOLOCENE,-150.0,4,0,s_26
30.384,40.737,0.017869536,307.8957,CRETACEOUS,-150.0,4,0,s_27
30.40333,40.78056,0.00089383265,215.56499,PLEISTOCENE,-150.0,4,0,s_28
29.9,40.667,0.034510214,507.4086,CENOZOIC,-150.0,4,0,s_29
30.433,40.758,0.00071231666,214.60895,PLEISTOCENE,-150.0,4,0,s_30
29.8,40.733,0.030357527,505.71603,HOLOCENE,-150.0,4,0,s_31
29.317,40.667,0.02828338,462.00027,HOLOCENE,-149.99999999999997,4,0,s_32
29.96,40.79,0.055492632,535.057,CRETACEOUS,-150.0,4,0,s_33
29.25,40.65,0.044306677,421.59882,HOLOCENE,-150.0,4,0,s_34
29.767,40.717,0.090291746,645.5347,HOLOCENE,-150.0,4,0,s_35
29.783,40.725,0.061250407,589.39355,HOLOCENE,-150.0,4,0,s_36
29.517,40.683,0.051569536,521.36285,CENOZOIC,-150.0,4,0,s_37
31.149,40.844,0.004413772,250.13246,PLEISTOCENE,150.0,4,0,s_38
30.62222,40.685,0.0043386924,247.17871,PLEISTOCENE,-150.0,4,0,s_39
29.91694,40.76694,0.08880824,587.1468,CRETACEOUS,-150.0,4,0,s_40
29.917,40.767,0.08880824,587.1468,CRETACEOUS,-150.0,4,0,s_41
29.36167,40.41194,0.13892014,728.0406,HOLOCENE,-150.0,4,0,s_42
29.1,40.65,0.08959773,617.1014,HOLOCENE,-150.0,4,0,s_43
29.28472,40.65361,0.00973867,350.85358,HOLOCENE,-150.0,4,0,s_44
29.72972,40.77667,0.10707666,665.0861,UNKNOWN,-150.0,4,0,s_45
29.615,40.68917,0.11424747,657.4757,CENOZOIC,-150.00000000000003,4,0,s_46
29.75,40.772,0.05618987,516.8055,UNKNOWN,-150.0,4,0,s_47
29.44,40.82,0.029117621,377.5161,PALEOZOIC,-150.0,4,0,s_48
29.217,40.617,0.0067522908,364.67706,HOLOCENE,-150.0,4,0,s_49
28.567,41.017,0.0038442602,600.0,UNKNOWN,-149.99999999999997,4,0,s_50
29.43056,40.79778,0.026251126,399.12735,PALEOZOIC,-150.0,4,0,s_51
30.383,40.667,0.0039081457,286.18497,PLEISTOCENE,-150.0,4,0,s_52
31.167,40.833,0.0077347388,276.46286,PLEISTOCENE,150.00000000000003,4,0,s_53
31.55,41.13333,0.07389149,596.09155,CENOZOIC,150.0,4,0,s_54
30.383,40.55,0.10611844,789.6538,PRECAMBRIAN,-150.0,4,0,s_55
29.2,40.633,0.0505887,442.0634,CENOZOIC,-150.0,4,0,s_56
29.167,40.65,0.025038863,401.64734,CENOZOIC,-150.0,4,0,s_57
30.379,40.737,0.018470114,281.261,CRETACEOUS,-150.0,4,0,s_58
31.151,40.843,0.003916682,247.54126,PLEISTOCENE,150.0,4,0,s_59
29.75,40.44,0.15486354,731.8068,HOLOCENE,-150.0,4,0,s_60
26.81556,38.24194,0.009351064,305.10098,CENOZOIC,-150.0,2,0,s_61
29.242,40.65,0.044306677,421.59882,HOLOCENE,-150.0,4,0,s_62
30.783,40.396,0.031986773,488.05734,CENOZOIC,-150.0,4,0,s_63
29.765,40.756,0.01904594,326.4209,UNKNOWN,-150.0,4,0,s_64
31.60611,40.73583,0.011956168,348.70963,PLEISTOCENE,150.0,4,0,s_65
30.35,40.558,0.22971183,877.32544,CRETACEOUS,-150.0,4,0,s_66
28.7,40.97,0.019956201,491.02145,UNKNOWN,-150.0,4,0,s_67
28.693,40.981,0.016660137,392.73358,CENOZOIC,-149.99999999999997,4,0,s_68
30.15,40.517,0.14685015,758.57715,CRETACEOUS,-149.99999999999997,4,0,s_69
29.3,40.5,0.1343364,763.37256,PALEOZOIC,-150.0,4,0,s_70
29.448,40.788,0.029729923,433.18045,JURASSIC-TRIASSIC,-150.0,4,0,s_71
29.65,40.8,0.08739654,608.508,CRETACEOUS,-150.0,4,0,s_72
30.35,40.633,0.15012391,662.7917,CENOZOIC,-150.0,4,0,s_73
29.907,40.761,0.050726686,529.3225,UNKNOWN,-150.0,4,0,s_74
29.361,40.824,0.013638587,368.95856,HOLOCENE,-150.0,4,0,s_75
30.3,40.517,0.025605151,382.43066,PRECAMBRIAN,-149.99999999999997,4,0,s_76
29.30889,40.48917,0.031776335,438.175,HOLOCENE,-150.0,4,0,s_77
28.95,41.02,0.0070147007,355.8047,CENOZOIC,-150.0,4,0,s_78
29.017,40.633,0.07029066,530.27026,CENOZOIC,-150.0,4,0,s_79
28.759,41.024,0.017150156,366.50964,HOLOCENE,-150.00000000000003,4,0,s_80
29.0,40.633,0.05776706,531.7189,CENOZOIC,-150.0,4,0,s_81
29.72111,40.42861,0.0094646085,298.74954,HOLOCENE,-150.0,4,0,s_82
28.967,40.617,0.124032445,785.32764,CENOZOIC,-150.0,4,0,s_83
29.15,40.433,0.018076414,576.73956,PALEOZOIC,-150.0,4,0,s_84
28.849,40.989,0.010886134,308.78903,CENOZOIC,-149.99999999999997,4,0,s_85
31.533,40.733,0.063090295,518.6229,PLEISTOCENE,119.78347753751436,4,0,s_86
29.09,41.08,0.031743396,430.024,PALEOZOIC,-146.99903868162664,4,0,s_87
28.96472,41.01861,0.033766773,459.7038,PALEOZOIC,-150.0,4,0,s_88
31.617,40.75,0.01921057,370.40314,PLEISTOCENE,150.0,4,0,s_89
29.131,40.184,0.055940386,550.1873,PRECAMBRIAN,-150.0,4,0,s_90
29.06111,40.19167,0.04371269,478.04944,PRECAMBRIAN,-150.0,4,0,s_91
30.734,40.381,0.108169004,607.05774,CRETACEOUS,-150.0,4,0,s_92
30.217,40.517,0.06440345,546.97253,CRETACEOUS,-150.0,4,0,s_93
30.117,40.517,0.114653595,695.79535,CRETACEOUS,-150.0,4,0,s_94
28.928,41.003,0.022005921,380.23505,CENOZOIC,-150.00000000000003,4,0,s_95
29.691,40.437,0.00053959235,600.0,HOLOCENE,-150.00000000000003,4,0,s_96
29.117,40.483,0.07652392,623.92,PALEOZOIC,-149.99999999999997,4,0,s_97
29.717,40.433,0.0094646085,298.74954,HOLOCENE,-150.0,4,0,s_98
29.95,40.433,0.11567959,586.7159,CRETACEOUS,-150.0,4,0,s_99
29.833,40.417,0.051962085,628.281,HOLOCENE,-150.00000000000003,4,0,s_100
27.848,40.995,0.016444584,350.427,UNKNOWN,-150.0,4,0,s_101
28.908,40.986,0.022512022,361.8336,CENOZOIC,-150.0,4,0,s_102
28.833,40.517,0.06071626,542.01825,CENOZOIC,-150.0,4,0,s_103
27.515,40.979,0.05701621,526.08075,CENOZOIC,-150.0,4,0,s_104
29.088,40.869,0.039910335,373.9401,UNKNOWN,-150.0,4,0,s_105
29.068,40.261,0.008664161,310.31638,HOLOCENE,-150.00000000000003,4,0,s_106
27.98,40.992,0.02079583,474.1896,CENOZOIC,-150.0,4,0,s_107
30.05,40.45,0.059616193,477.44006,PLEISTOCENE,-150.0,4,0,s_108
29.867,40.417,0.07728185,567.3379,CRETACEOUS,-150.0,4,0,s_109
29.35,40.4,0.24930778,900.0,CENOZOIC,-150.0,4,0,s_110
28.82,40.982,0.008593849,326.15466,CENOZOIC,-150.0,4,0,s_111
29.4,40.4,0.10822199,703.7827,CENOZOIC,-150.0,4,0,s_112
29.483,40.4,0.04856848,657.0952,CRETACEOUS,-150.0,4,0,s_113
29.017,40.483,0.20278053,805.87054,UNKNOWN,-150.0,4,0,s_114
29.583,40.367,0.20366782,882.11255,CENOZOIC,-150.0,4,0,s_115
28.95,40.467,0.20343745,856.27454,UNKNOWN,-150.0,4,0,s_116
29.067,40.183,0.14138907,744.31665,PRECAMBRIAN,-150.0,4,0,s_117
28.997,41.065,0.015991386,351.65833,PALEOZOIC,-150.0,4,0,s_118
29.997,39.419,0.022714503,406.7247,HOLOCENE,-150.0,4,0,s_119
29.131,40.183,0.17722426,770.3895,PRECAMBRIAN,-150.0,4,0,s_120
28.433,40.2,0.0015123707,198.11696,HOLOCENE,-150.00000000000003,4,0,s_121
29.019,41.104,0.0039294288,367.01456,PALEOZOIC,-60.5977203021315,4,0,s_122
28.35,40.217,0.0015128576,246.56569,HOLOCENE,-150.0,4,0,s_123
27.967,40.333,0.0077435733,272.30475,CENOZOIC,-150.0,4,0,s_124
29.011,41.081,0.0054558767,336.55753,PALEOZOIC,-143.39898374913065,4,0,s_125
30.52056,39.77667,0.002142975,241.65742,PLEISTOCENE,-150.0,4,0,s_126
26.402,40.142,0.0058746147,269.72495,HOLOCENE,-150.0,4,0,s_127
32.186,40.799,0.05250718,549.0125,CENOZOIC,150.00000000000003,4,0,s_128
27.883,39.65,0.049990863,443.87796,CENOZOIC,-150.0,4,0,s_129
30.561,38.792,0.0038214575,246.18924,PLEISTOCENE,-150.0,4,0,s_130
29.404,38.671,0.02349814,371.7847,HOLOCENE,-150.0,4,0,s_131
27.45,38.58,0.43264556,900.0,CRETACEOUS,-150.0,4,0,s_132
