ID_2_Da.Do,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
36037,SAN FELICE SUL PANARO,,,,,423,321,449,,,Shaking,Da.Do,
36012,FINALE EMILIA,,,,,458,294,206,,,Shaking,Da.Do,
37024,CREVALCORE,,,,,258,229,167,,,Shaking,Da.Do,
35021,FABBRICO,,,,,28,27,19,,,Shaking,Da.Do,
38003,BONDENO,,,,,344,406,355,,,Shaking,Da.Do,
35028,NOVELLARA,,,,,13,7,2,,,Shaking,Da.Do,
36004,CAMPOSANTO,,,,,210,131,145,,,Shaking,Da.Do,
35032,REGGIOLO,,,,,65,114,103,,,Shaking,Da.Do,
38004,CENTO,,,,,300,276,241,,,Shaking,Da.Do,
37055,SAN PIETRO IN CASALE,,,,,34,21,5,,,Shaking,Da.Do,
38008,FERRARA,,,,,278,289,69,,,Shaking,Da.Do,
36022,MIRANDOLA,,,,,467,517,556,,,Shaking,Da.Do,
36010,CONCORDIA SULLA SECCHIA,,,,,247,244,339,,,Shaking,Da.Do,
38016,MIRABELLO,,,,,75,154,71,,,Shaking,Da.Do,
38018,POGGIO RENATICO,,,,,77,121,121,,,Shaking,Da.Do,
37028,GALLIERA,,,,,42,107,90,,,Shaking,Da.Do,
36021,MEDOLLA,,,,,208,196,356,,,Shaking,Da.Do,
36005,CARPI,,,,,247,249,235,,,Shaking,Da.Do,
37048,PIEVE DI CENTO,,,,,69,59,18,,,Shaking,Da.Do,
38021,SANT'AGOSTINO,,,,,183,150,144,,,Shaking,Da.Do,
36009,CAVEZZO,,,,,253,246,407,,,Shaking,Da.Do,
36027,NONANTOLA,,,,,2,7,0,,,Shaking,Da.Do,
36028,NOVI DI MODENA,,,,,248,337,366,,,Shaking,Da.Do,
38001,ARGENTA,,,,,9,15,3,,,Shaking,Da.Do,
36001,BASTIGLIA,,,,,60,40,10,,,Shaking,Da.Do,
37053,SAN GIOVANNI IN PERSICETO,,,,,62,66,45,,,Shaking,Da.Do,
36038,SAN POSSIDONIO,,,,,239,162,292,,,Shaking,Da.Do,
36039,SAN PROSPERO,,,,,85,162,160,,,Shaking,Da.Do,
37056,SANT'AGATA BOLOGNESE,,,,,10,3,6,,,Shaking,Da.Do,
35026,LUZZARA,,,,,38,27,10,,,Shaking,Da.Do,
36044,SOLIERA,,,,,107,101,49,,,Shaking,Da.Do,
36034,RAVARINO,,,,,49,81,46,,,Shaking,Da.Do,
36002,BOMPORTO,,,,,77,45,35,,,Shaking,Da.Do,
37017,CASTELLO D'ARGILE,,,,,11,18,4,,,Shaking,Da.Do,
37002,ARGELATO,,,,,7,0,0,,,Shaking,Da.Do,
35035,ROLO,,,,,33,42,39,,,Shaking,Da.Do,
38022,VIGARANO MAINARDA,,,,,141,163,136,,,Shaking,Da.Do,
35034,RIO SALICETO,,,,,17,16,33,,,Shaking,Da.Do,
37035,MALALBERGO,,,,,32,59,5,,,Shaking,Da.Do,
37052,SAN GIORGIO DI PIANO,,,,,1,3,0,,,Shaking,Da.Do,
37006,BOLOGNA,,,,,1,0,0,,,Shaking,Da.Do,
35024,GUASTALLA,,,,,7,11,0,,,Shaking,Da.Do,
35009,CAMPAGNOLA EMILIA,,,,,4,6,0,,,Shaking,Da.Do,
37003,BARICELLA,,,,,1,2,1,,,Shaking,Da.Do,
37038,MINERBIO,,,,,6,2,1,,,Shaking,Da.Do,
35020,CORREGGIO,,,,,36,30,11,,,Shaking,Da.Do,
36006,CASTELFRANCO EMILIA,,,,,5,3,2,,,Shaking,Da.Do,
36023,MODENA,,,,,0,1,0,,,Shaking,Da.Do,
37039,MOLINELLA,,,,,0,1,0,,,Shaking,Da.Do,
