FIELD,DESCRIPTION
Year,2005
Country,Pakistan
Region,South Asia
Event Name,Kashmir
Local Date,08/10/2005
Local Time,08:50:39
Longitude (decimal degrees),73.588
Latitude (decimal degrees),34.539
Depth (km),26
Mw,7.6
Max Intensity (MMI),IX
Fault mechanism,Reverse
Tectonic region type,Active shallow crustal
Fatalities,74689-88705
Injured,75277-206277
Displaced population,~2800000
Homeless,3500000-5000000
Affected population,>5000000
Affected units,
Damaged units,780000 Buildings
Collapsed units,32335 Buildings
Economic losses,5000-6680 M USD
Insured losses,
Earthquake-triggered effects,"Landslides, rockfall, seiche"
USGS event ID,usp000e12e
Wikipedia page,https://en.wikipedia.org/wiki/2005 Kashmir earthquake
