STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
201711130228PJCO.lis,201711130228PJCO.lis,9.6276,-84.6231,seismic,Stations_LIS_UCR,0.18325385,0.334812457,0.737276281,0.526444751,0.0,0.0,0.0,0.0,0.17356949,0.334812457,0.737276281,0.526444751,0.18325385,0.329549973,0.50021506,0.459749128,0.047829391,0.0,0.0,0.0,,,,,,,,
201711130228PJAC.lis,201711130228PJAC.lis,9.6094,-84.6228,seismic,Stations_LIS_UCR,0.17670396,0.497715893,0.372460605,0.503073873,0.0,0.0,0.0,0.0,0.17670396,0.497715893,0.372460605,0.503073873,0.1025256,0.28134298,0.117382811,0.204953189,0.062545868,0.0,0.0,0.0,,,,,,,,
201711130228PPAR.lis,201711130228PPAR.lis,9.5302,-84.3939,seismic,Stations_LIS_UCR,0.16051007,0.233222854,0.326179285,0.414488932,0.0,0.0,0.0,0.0,0.16051007,0.233222854,0.317807607,0.414488932,0.13637766,0.226183999,0.326179285,0.341837905,0.052424049,0.0,0.0,0.0,,,,,,,,
201711130228AFRA.lis,201711130228AFRA.lis,10.1373,-84.1931,seismic,Stations_LIS_UCR,0.092594635,0.372983513,0.099564715,0.064452719,0.0,0.0,0.0,0.0,0.048405727,0.179934402,0.075944269,0.041268533,0.092594635,0.372983513,0.099564715,0.064452719,0.022680885,0.0,0.0,0.0,,,,,,,,
201711130228PPQR.lis,201711130228PPQR.lis,9.8203,-84.9363,seismic,Stations_LIS_UCR,0.088619278,0.176326607,0.235895005,0.046213913,0.0,0.0,0.0,0.0,0.07097551,0.176326607,0.235895005,0.041289503,0.088619278,0.16459456,0.217659068,0.046213913,0.033691582,0.0,0.0,0.0,,,,,,,,
201711130228ABJT.lis,201711130228ABJT.lis,10.2151,-84.2972,seismic,Stations_LIS_UCR,0.084190414,0.162991436,0.192715799,0.05000668,0.0,0.0,0.0,0.0,0.053507336,0.123877988,0.192715799,0.030959713,0.084190414,0.162991436,0.120335732,0.05000668,0.024398151,0.0,0.0,0.0,,,,,,,,
201711130228CPAR.lis,201711130228CPAR.lis,9.8273,-83.8687,seismic,Stations_LIS_UCR,0.074909142,0.158490426,0.228053632,0.083481263,0.0,0.0,0.0,0.0,0.037090096,0.089843036,0.168751281,0.038424464,0.074909142,0.158490426,0.228053632,0.083481263,0.015910904,0.0,0.0,0.0,,,,,,,,
201711130228SBEB.lis,201711130228SBEB.lis,9.9039,-84.1592,seismic,Stations_LIS_UCR,0.072208633,0.348229223,0.039287114,0.019922933,0.0,0.0,0.0,0.0,0.03598785,0.16448473,0.02199054,0.01209269,0.072208633,0.348229223,0.039287114,0.019922933,0.02805621,0.0,0.0,0.0,,,,,,,,
201711130228SICP.lis,201711130228SICP.lis,9.9833,-84.0134,seismic,Stations_LIS_UCR,0.067450592,0.109972154,0.179048159,0.073909767,0.0,0.0,0.0,0.0,0.067450592,0.109972154,0.142619426,0.073909767,0.040746876,0.090758394,0.179048159,0.070734789,0.01699,0.0,0.0,0.0,,,,,,,,
201711130228SCAS.lis,201711130228SCAS.lis,10.003,-83.9592,seismic,Stations_LIS_UCR,0.062553902,0.144204961,0.150944522,0.232885567,0.0,0.0,0.0,0.0,0.062553902,0.12942693,0.14188258,0.152340706,0.061819412,0.144204961,0.150944522,0.232885567,0.035023739,0.0,0.0,0.0,,,,,,,,
201711130228PPUH.lis,201711130228PPUH.lis,9.9758,-84.8363,seismic,Stations_LIS_UCR,0.062455688,0.18670199,0.080610226,0.050422846,0.0,0.0,0.0,0.0,0.062455688,0.148434744,0.080610226,0.039329628,0.048140518,0.18670199,0.051187775,0.050422846,0.009080458,0.0,0.0,0.0,,,,,,,,
201711130228SFRA.lis,201711130228SFRA.lis,9.7509,-84.0561,seismic,Stations_LIS_UCR,0.061956699,0.105543782,0.068314747,0.028448394,0.0,0.0,0.0,0.0,0.061864315,0.105543782,0.065448511,0.028448394,0.061956699,0.084778664,0.068314747,0.024432109,0.017209219,0.0,0.0,0.0,,,,,,,,
201711130228SIAC.lis,201711130228SIAC.lis,9.7991,-84.1613,seismic,Stations_LIS_UCR,0.0591236,0.192557769,0.135681825,0.0476872,0.0,0.0,0.0,0.0,0.054385483,0.151328461,0.135681825,0.0476872,0.0591236,0.192557769,0.071459947,0.041738876,0.025472961,0.0,0.0,0.0,,,,,,,,
201711130228ACOY.lis,201711130228ACOY.lis,9.9948,-84.2748,seismic,Stations_LIS_UCR,0.058515465,0.218835768,0.075669281,0.034262357,0.0,0.0,0.0,0.0,0.058515465,0.217686622,0.075669281,0.028599026,0.047678879,0.218835768,0.050780739,0.034262357,0.030617807,0.0,0.0,0.0,,,,,,,,
201711130228SPCH.lis,201711130228SPCH.lis,9.8613,-84.2907,seismic,Stations_LIS_UCR,0.053003624,0.096375031,0.155756206,0.075522249,0.0,0.0,0.0,0.0,0.049032001,0.096375031,0.155756206,0.075522249,0.053003624,0.070870508,0.12375798,0.074864738,0.031367039,0.0,0.0,0.0,,,,,,,,
201711130228HCPD.lis,201711130228HCPD.lis,9.9952,-84.036,seismic,Stations_LIS_UCR,0.051319561,0.1379789,0.165228185,0.063455846,0.0,0.0,0.0,0.0,0.051319561,0.1379789,0.146418579,0.063455846,0.04405135,0.08851358,0.165228185,0.04613986,0.017108871,0.0,0.0,0.0,,,,,,,,
201711130228LBTN.lis,201711130228LBTN.lis,10.0849,-83.3457,seismic,Stations_LIS_UCR,0.051073505,0.086880315,0.092766624,0.072701369,0.0,0.0,0.0,0.0,0.051073505,0.082427034,0.092766624,0.072701369,0.03452079,0.086880315,0.069178997,0.066916383,0.010120903,0.0,0.0,0.0,,,,,,,,
201711130228SLPF.lis,201711130228SLPF.lis,9.938,-84.054,seismic,Stations_LIS_UCR,0.047579304,0.15470544,0.082263823,0.03852855,0.0,0.0,0.0,0.0,0.042578796,0.148438005,0.041285494,0.022505118,0.047579304,0.15470544,0.082263823,0.03852855,0.016986977,0.0,0.0,0.0,,,,,,,,
201711130228PQUE.lis,201711130228PQUE.lis,9.4284,-84.1595,seismic,Stations_LIS_UCR,0.047418941,0.128774858,0.15512553,0.041322706,0.0,0.0,0.0,0.0,0.047346298,0.122595901,0.112577258,0.030989319,0.047418941,0.128774858,0.15512553,0.041322706,0.026305939,0.0,0.0,0.0,,,,,,,,
201711130228CTOB.lis,201711130228CTOB.lis,9.8381,-83.9843,seismic,Stations_LIS_UCR,0.046897179,0.079964064,0.132756013,0.031832513,0.0,0.0,0.0,0.0,0.034005753,0.079125889,0.093169273,0.024509304,0.046897179,0.079964064,0.132756013,0.031832513,0.018275566,0.0,0.0,0.0,,,,,,,,
201711130228AGRH.lis,201711130228AGRH.lis,10.0717,-84.317,seismic,Stations_LIS_UCR,0.046570045,0.127405321,0.209814564,0.082344177,0.0,0.0,0.0,0.0,0.042308353,0.127405321,0.209814564,0.082344177,0.046570045,0.079933638,0.147973907,0.07964545,0.027808388,0.0,0.0,0.0,,,,,,,,
201711130228STCH.lis,201711130228STCH.lis,9.9066,-84.4406,seismic,Stations_LIS_UCR,0.045941441,0.110602151,0.036156047,0.023213645,0.0,0.0,0.0,0.0,0.038778065,0.105804487,0.027418954,0.023213645,0.045941441,0.110602151,0.036156047,0.012206425,0.035314663,0.0,0.0,0.0,,,,,,,,
201711130228CSRH.lis,201711130228CSRH.lis,9.8673,-83.9003,seismic,Stations_LIS_UCR,0.045386772,0.123691954,0.057008433,0.040486028,0.0,0.0,0.0,0.0,0.033389542,0.104392279,0.051756655,0.040486028,0.045386772,0.123691954,0.057008433,0.029273014,0.018020367,0.0,0.0,0.0,,,,,,,,
201711130228PCDA.lis,201711130228PCDA.lis,9.9106,-84.7166,seismic,Stations_LIS_UCR,0.044529102,0.061157622,0.07278764,0.019978614,0.0,0.0,0.0,0.0,0.027333143,0.061157622,0.020555674,0.019978614,0.044529102,0.058450449,0.07278764,0.018412962,0.011619927,0.0,0.0,0.0,,,,,,,,
201711130228ASRH.lis,201711130228ASRH.lis,10.0933,-84.4703,seismic,Stations_LIS_UCR,0.043947956,0.123994604,0.076060903,0.046773664,0.0,0.0,0.0,0.0,0.043028702,0.088033243,0.076060903,0.046773664,0.043947956,0.123994604,0.054518657,0.04370998,0.015771902,0.0,0.0,0.0,,,,,,,,
201711130228AFBR.lis,201711130228AFBR.lis,10.0072,-84.2658,seismic,Stations_LIS_UCR,0.043151325,0.137736985,0.090666822,0.045372218,0.0,0.0,0.0,0.0,0.0333414,0.115382376,0.090666822,0.045372218,0.043151325,0.137736985,0.079714879,0.04176359,0.017191753,0.0,0.0,0.0,,,,,,,,
201711130228PMAT.lis,201711130228PMAT.lis,9.3304,-83.9584,seismic,Stations_LIS_UCR,0.042372574,0.142730358,0.101018198,0.038415784,0.0,0.0,0.0,0.0,0.036017376,0.142730358,0.101018198,0.029724432,0.042372574,0.130783073,0.05995961,0.038415784,0.013869135,0.0,0.0,0.0,,,,,,,,
201711130228AGRE.lis,201711130228AGRE.lis,10.072,-84.313,seismic,Stations_LIS_UCR,0.042145947,0.113156739,0.127321958,0.065326748,0.0,0.0,0.0,0.0,0.042145947,0.113156739,0.127321958,0.053279702,0.033105511,0.083917286,0.113606139,0.065326748,0.021188751,0.0,0.0,0.0,,,,,,,,
201711130228CTEC.lis,201711130228CTEC.lis,9.8542,-83.9073,seismic,Stations_LIS_UCR,0.041731594,0.097201374,0.088429616,0.037731194,0.0,0.0,0.0,0.0,0.041731594,0.095116692,0.088429616,0.032242635,0.038528248,0.097201374,0.073201572,0.037731194,0.016882883,0.0,0.0,0.0,,,,,,,,
201711130228SCGH.lis,201711130228SCGH.lis,9.9362,-84.0706,seismic,Stations_LIS_UCR,0.041437569,0.102550816,0.099605974,0.047368001,0.0,0.0,0.0,0.0,0.041437569,0.072163012,0.099605974,0.043822906,0.033768909,0.102550816,0.079555231,0.047368001,0.01063213,0.0,0.0,0.0,,,,,,,,
201711130228SCNE.lis,201711130228SCNE.lis,9.96,-84.1381,seismic,Stations_LIS_UCR,0.040672081,0.088280334,0.067698931,0.027063672,0.0,0.0,0.0,0.0,0.025692007,0.088280334,0.038505984,0.027063672,0.040672081,0.062765548,0.067698931,0.023963695,0.015248019,0.0,0.0,0.0,,,,,,,,
