STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,PGA_VALUE_1,PGA_VALUE_2,PGA_VALUE_V
AE02,Esc. Prim. González Garzón,19.429,-99.0584,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIId,0.114862,0,0.096182,0.114862,0.042168
AL01,Alameda,19.4356,-99.1453,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIIb,0.117115,0,0.117115,0.108563,0.040191
AO24,Alberca olímpica,19.358,-99.1539,seismic,Stations_CDMX_GEO_DATA_And_Cires,II,0.119652,0,0.106394,0.119652,0.047917
AP68,"Jardín de niños ""juan B. de la Salle”",19.3809,-99.1068,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIIc,0.133949,0,0.115228,0.133949,0.081396
AU11,Autódromo,19.3919,-99.0869,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIId,0.090454,0,0.072106,0.090454,0.035168
AU46,Esc. Sec. Téc. No. 14,19.3832,-99.1681,seismic,Stations_CDMX_GEO_DATA_And_Cires,II,0.094892,0,0.077287,0.094892,0.033444
BA49,Buenos aires,19.4097,-99.145,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIIc,0.113161,0,0.088938,0.113161,0.030643
BL45,Balderas,19.4253,-99.1481,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIIb,0.114474,0,0.102273,0.114474,0.0397
BO39,Bondojito,19.4653,-99.1047,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIIc,0.095143,0,0.077913,0.095143,0.024112
CA59,Candelaria,19.4258,-99.1183,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIIc,0.089834,0,0.083504,0.089834,0.035618
CE18,Esc. Prim. “Ramón Espinoza Villanueva”,19.3398,-99.0847,seismic,Stations_CDMX_GEO_DATA_And_Cires,I,0.072736,0,0.072736,0.051059,0.02967
CE23,CETIS Aragón,19.4619,-99.0642,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIId,0.059987,0,0.052092,0.059987,0.026545
CE32,CETIS no. 57,19.3858,-99.0537,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIId,0.080388,0,0.080388,0.076759,0.035772
CH84,Culhuacán,19.33,-99.1254,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIIa,0.225599,0,0.14896,0.225599,0.08381
CI05,Cibeles,19.4186,-99.1653,seismic,Stations_CDMX_GEO_DATA_And_Cires,IIIb,0.114243,0,0.113319,0.114243,0.051197
