STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
SAPP,SAN ALEJANDRO PUEBLA,19.057785,-98.215377,seismic,Stations_UNAM,DEPOSITOS LACUSTRES,0.2099609582,0.6455305557,0.9232475577,0.2961325297,0.0,0.0,0.0,0.0,0.2036300714,0.6455305557,0.9232475577,0.2520662719,0.2099609582,0.5288468693,0.5828170192,0.2961325297,0.0625267074,0.1640300905,0.1262112386,0.0795339056,,,,,,,,
RFPP,RIO SAN FRANCISCO PUEBLA,19.043493,-98.191493,seismic,Stations_UNAM,ESTRUCTURA,0.187514577,0.8569435875,0.2825333293,0.1400943515,0.0,0.0,0.0,0.0,0.1176735984,0.4828942173,0.2300755549,0.1167948869,0.187514577,0.8569435875,0.2825333293,0.1400943515,0.0825189602,0.2505727099,0.0872816077,0.035391503,,,,,,,,
HMTT,HUAMUXTITLAN,17.798341,-98.559717,seismic,Stations_UNAM,ROCA,0.173775739,0.4311343509,0.1931129335,0.0728506544,0.0,0.0,0.0,0.0,0.173775739,0.4311343509,0.1931129335,0.0691362799,0.1466545362,0.2486743431,0.1902633375,0.0728506544,0.0934905199,0.2090198981,0.154652431,0.0821170944,,,,,,,,
THEZ,TEHUACAN ESCUELA PRIMARIA EMILIANO ZAPATA,18.477554,-97.383184,seismic,Stations_UNAM,ROCA,0.1697253823,0.4325499985,0.4061375857,0.1085656596,0.0,0.0,0.0,0.0,0.1521215087,0.3768902199,0.4061375857,0.1085656596,0.1697253823,0.4325499985,0.2606140212,0.0561971761,0.0453505607,0.1118229902,0.0714773575,0.0436533606,,,,,,,,
RABO,RABOSO,18.569078,-98.445409,seismic,Stations_UNAM,ROCA,0.157687156,0.4081658004,0.1312538252,0.0818009069,0.0,0.0,0.0,0.0,0.1320730887,0.2488516247,0.1064097976,0.0679921243,0.157687156,0.4081658004,0.1312538252,0.0818009069,0.1201488277,0.1467266887,0.1567400211,0.036301357,,,,,,,,
PHPU,PARQUE HABANA PUEBLA,19.044223,-98.168466,seismic,Stations_UNAM,SUELO,0.1444545362,0.3747760195,0.3211390684,0.1186405648,0.0,0.0,0.0,0.0,0.1422008155,0.2556912132,0.2948453289,0.1186405648,0.1444545362,0.3747760195,0.3211390684,0.0797704726,0.0792309888,0.1726557492,0.0742311186,0.0371034022,,,,,,,,
SXPU,SISMEX PUEBLA,19.039943,-98.215087,seismic,Stations_UNAM,TRAVERTINO,0.1418741081,0.4526582485,0.2595422956,0.1834247593,0.0,0.0,0.0,0.0,0.1194267074,0.3033506056,0.1532684438,0.1185956972,0.1418741081,0.4526582485,0.2595422956,0.1834247593,0.1063380224,0.2282216169,0.1860183875,0.0453791323,,,,,,,,
PZPU,CERRO LA PAZ PUEBLA,19.055379,-98.227092,seismic,Stations_UNAM,ROCA (CONO VOLCANICO),0.1222958206,0.1995152319,0.4856309281,0.1081757441,0.0,0.0,0.0,0.0,0.1222958206,0.1995152319,0.4856309281,0.1081757441,0.0942938838,0.1695280314,0.311206395,0.1019746914,0.0544119266,0.1457472731,0.0551137138,0.0473819943,,,,,,,,
SJLL,SAN JUAN DE LOS LLANOS,16.657822,-98.498463,seismic,Stations_UNAM,ROCA,0.1078641182,0.0597470807,0.0186465792,0.0102034512,0.0,0.0,0.0,0.0,0.1078641182,0.0597470807,0.0186465792,0.0098849531,0.1017927625,0.0576216719,0.018366944,0.0102034512,0.0583817533,0.0387683999,0.0127085255,0.0073586116,,,,,,,,
PBP2,PASEO NICOLAS BRAVO PUEBLA. S-2,19.045439,-98.208468,seismic,Stations_UNAM,TERRENO LIBRE,0.1005874618,0.1949360695,0.1816927723,0.1490755931,0.0,0.0,0.0,0.0,0.0951621814,0.1309844873,0.1707946783,0.1211022927,0.1005874618,0.1949360695,0.1816927723,0.1490755931,0.0570619776,0.1416161755,0.1509866032,0.0602799453,,,,,,,,
OXCU,OAXACA CIUDAD UNIVERSITARIA,17.048881,-96.713269,seismic,Stations_UNAM,ARCILLA,0.0993859327,0.3567742167,0.1100945154,0.0591861696,0.0,0.0,0.0,0.0,0.0993859327,0.3567742167,0.0940144915,0.0249387256,0.0694472987,0.2271733318,0.1100945154,0.0591861696,0.0280392457,0.0511688389,0.0232270478,0.0193839315,,,,,,,,
SCT2,SCT B-2.,19.394694,-99.148678,seismic,Stations_UNAM,ARCILLA,0.0934531091,0.1963538452,0.2309387438,0.1780947786,0.0,0.0,0.0,0.0,0.0920818552,0.1963538452,0.141111388,0.1713286362,0.0934531091,0.1608477919,0.2309387438,0.1780947786,0.0425760449,0.0986295813,0.1822338747,0.0681922944,,,,,,,,
CCCL,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE,19.449858,-99.137919,seismic,Stations_UNAM,SUELO,0.0871848114,0.1919270765,0.1820875052,0.2306697642,0.0,0.0,0.0,0.0,0.0871848114,0.1919270765,0.1820875052,0.2306697642,0.0748406728,0.182735036,0.105597723,0.1700124998,0.0417957187,0.106702987,0.1026858817,0.0564850932,,,,,,,,
TEJU,TEJUPILCO,18.904051,-100.159615,seismic,Stations_UNAM,ROCA,0.0848969419,0.133323589,0.0555022309,0.0599471568,0.0,0.0,0.0,0.0,0.0848969419,0.112670454,0.0555022309,0.0599471568,0.0550772681,0.133323589,0.0369416478,0.0258946828,0.0300805301,0.0863821526,0.0382142764,0.0199788805,,,,,,,,
OXXO,XOXOCOTLAN,17.026234,-96.726179,seismic,Stations_UNAM,?,0.0810641182,0.2558852984,0.1351461864,0.0454653728,0.0,0.0,0.0,0.0,0.0700365953,0.2558852984,0.0955729488,0.0325385385,0.0810641182,0.2403611537,0.1351461864,0.0454653728,0.0315732926,0.0821062989,0.0319051462,0.01790996,,,,,,,,
CHFL,CHILA DE LAS FLORES,17.969493,-97.865638,seismic,Stations_UNAM,ROCA,0.0783690112,0.155336357,0.0911386464,0.1044893136,0.0,0.0,0.0,0.0,0.0774465851,0.155336357,0.0831702035,0.1014227747,0.0783690112,0.098877055,0.0911386464,0.1044893136,0.0393969419,0.0780720335,0.0532467683,0.0899795032,,,,,,,,
OAXM,OAXACA FACULTAD DE MEDICINA,17.082872,-96.718744,seismic,Stations_UNAM,ALUVIAL,0.0717316004,0.2332001639,0.0453541335,0.0294822397,0.0,0.0,0.0,0.0,0.0563889908,0.1714747243,0.0446063292,0.0294822397,0.0717316004,0.2332001639,0.0453541335,0.0265761947,0.0349957187,0.0625472863,0.0258715074,0.0223604502,,,,,,,,
