STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
ACAC,ACAPULCO CENTRO CULTURAL,16.84851,-99.85157,seismic,Stations_UNAM,ARENA - LIMO - ARCILLA,0.0598770642,0.2047907052,0.1864603309,0.0237746777,0,0,0,0,0.0598770642,0.2047907052,0.1864603309,0.0237007377,0.0431576962,0.1021303582,0.1029516134,0.0237746777,0.0261074414,0.0502438166,0.0238739956,0.0101576693
ACAD,ACAPULCO ESCUELA DIANA,16.86225,-99.87147,seismic,Stations_UNAM,LIMO ARENOSO,0.0619978593,0.1479485778,0.0251625598,0.0102256566,0,0,0,0,0.0469350663,0.1419674069,0.0167674158,0.0083410694,0.0619978593,0.1479485778,0.0251625598,0.0102256566,0.0220334353,0.0251002531,0.0133661234,0.0115335068
ACAM,ACAMBARO,20.043186,-100.716777,seismic,Stations_UNAM,ROCA,0.0045655454,0.0053172701,0.0067064194,0.0087327433,0,0,0,0,0.0037024465,0.0053172701,0.0067064194,0.0070432839,0.0045655454,0.005144768,0.0065102617,0.0087327433,0.0022285423,0.003373175,0.0060292778,0.0040340932
ACAR,ACAPULCO RENACIMIENTO,16.888789,-99.835027,seismic,Stations_UNAM,ALUVIAL,0.0363883792,0.1737367452,0.0330270098,0.0103822738,0,0,0,0,0.0333944954,0.1662483261,0.0218241735,0.0078357602,0.0363883792,0.1737367452,0.0330270098,0.0103822738,0.0303109072,0.0459141436,0.0121365685,0.0156836502
ACAZ,ACAPULCO LA ZANJA,16.788528,-99.790152,seismic,Stations_UNAM,DEPOSITO BARRA,0.045708053,0.0856003933,0.0411205013,0.0976552007,0,0,0,0,0.0382344546,0.070353547,0.0411205013,0.0976552007,0.045708053,0.0856003933,0.034846639,0.0853581744,0.0308434251,0.0447223748,0.0209105112,0.0156224216
ACP2,ACAPULCO PREPARATORIA No. 2,16.874294,-99.886505,seismic,Stations_UNAM,ROCA,0.0360510703,0.0812742801,0.0246603455,0.0087513165,0,0,0,0,0.0360510703,0.0812742801,0.0231460641,0.0062683606,0.0329159021,0.0684178461,0.0246603455,0.0087513165,0.0180640163,0.0286018193,0.0135451222,0.0088042026
AGCA,AGUACALIENTE,16.83733,-99.64526,seismic,Stations_UNAM,ROCA,0.0210815494,0.0376743882,0.0181844371,0.0131037762,0,0,0,0,0.0210815494,0.0322816199,0.0181844371,0.0131037762,0.0183124363,0.0376743882,0.0140972441,0.0102440209,0.0189275229,0.0220938408,0.0115015134,0.0076840734
ATYC,ATOYAC,17.213361,-100.432269,seismic,Stations_UNAM,ROCA,0.0190381244,0.0310115635,0.0173859136,0.0089247666,0,0,0,0,0.0146991845,0.0310115635,0.0173859136,0.0089247666,0.0190381244,0.0210658614,0.0137154849,0.0077802451,0.0170133537,0.0232565771,0.0110480388,0.0092991753
CANA,LAS CANAS,18.567007,-101.977162,seismic,Stations_UNAM,ROCA,0.0094139653,0.0199186704,0.0109382425,0.0068292176,0,0,0,0,0.0093215087,0.0199186704,0.0109382425,0.0068292176,0.0094139653,0.0152724467,0.0082008091,0.0055263727,0.0080249745,0.0158209156,0.0124060072,0.0098943319
CCCL,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE,19.449858,-99.137919,seismic,Stations_UNAM,SUELO,0.0871848114,0.1919270765,0.1820875052,0.2306697642,0,0,0,0,0.0871848114,0.1919270765,0.1820875052,0.2306697642,0.0748406728,0.182735036,0.105597723,0.1700124998,0.0417957187,0.106702987,0.1026858817,0.0564850932
CDGU,CIUDAD GUZMAN,19.699521,-103.447815,seismic,Stations_UNAM,ROCA,0.0021557594,0.0063346696,0.0039208912,0.0021578408,0,0,0,0,0.0021557594,0.0063346696,0.0035331429,0.0019418134,0.0018395515,0.0047540437,0.0039208912,0.0021578408,0.0009704383,0.0017247083,0.00229431,0.0016929158
CHFL,CHILA DE LAS FLORES,17.969493,-97.865638,seismic,Stations_UNAM,ROCA,0.0783690112,0.155336357,0.0911386464,0.1044893136,0,0,0,0,0.0774465851,0.155336357,0.0831702035,0.1014227747,0.0783690112,0.098877055,0.0911386464,0.1044893136,0.0393969419,0.0780720335,0.0532467683,0.0899795032
CHPA,PREPARATORIA ARRIAGA,16.247374,-93.912575,seismic,Stations_UNAM,?,0.0021788991,0.005013637,0.0024866926,0.0029214378,0,0,0,0,0.0021788991,0.005013637,0.0024866926,0.0029214378,0.0014706422,0.0018954847,0.001710906,0.0019087511,0.0021424057,0.0025682146,0.0018805599,0.0020141298
COLL,COLIMILLA,19.190906,-104.680633,seismic,Stations_UNAM,ROCA,0.0014171254,0.0034978909,0.0023826893,0.0022332374,0,0,0,0,0.0013987768,0.0034978909,0.0023826893,0.0022332374,0.0014171254,0.0025100527,0.0014607547,0.0012639627,0.0009388379,0.0010627768,0.0010653631,0.001481298
COMA,COMALA,19.325266,-103.760813,seismic,Stations_UNAM,ROCA,0.002277472,0.0060982041,0.0069299802,0.0086690126,0,0,0,0,0.002277472,0.004995939,0.0069299802,0.0086690126,0.0019553517,0.0060982041,0.0065488687,0.0070292773,0.0014342508,0.0022301487,0.0035167474,0.0057280756
COMD,LA COMUNIDAD,18.122359,-100.523804,seismic,Stations_UNAM,ROCA,0.0555729867,0.0541421834,0.0327943383,0.0129105732,0,0,0,0,0.0522577982,0.0541421834,0.0221181094,0.0127706259,0.0555729867,0.0537731082,0.0327943383,0.0129105732,0.0381321101,0.0403049941,0.0170388444,0.0108751387
COPL,COPALA,16.61081,-98.98399,seismic,Stations_UNAM,ROCA,0.0109258919,0.0217338319,0.0179704496,0.0153084423,0,0,0,0,0.0107004077,0.0217338319,0.0179704496,0.0109984057,0.0109258919,0.0212740425,0.0159303565,0.0153084423,0.0064277268,0.0180801238,0.0119659537,0.0108707399
COYC,COYUCA,16.997788,-100.089963,seismic,Stations_UNAM,ROCA,0.0187130479,0.023510784,0.0110812101,0.0097757217,0,0,0,0,0.0171761468,0.023510784,0.0110812101,0.0068568069,0.0187130479,0.0174056871,0.0081088706,0.0097757217,0.0112197757,0.0136890071,0.010121178,0.0096410881
CUP5,IDEI PATIO 5,19.33024,-99.181076,seismic,Stations_UNAM,ROCA BASALTICA,0.0599777778,0.1962297681,0.1013594783,0.1415211295,0,0,0,0,0.0564313965,0.1962297681,0.0999560452,0.1415211295,0.0599777778,0.1309634523,0.1013594783,0.1130801827,0.0346302752,0.0751725626,0.0571473427,0.0829778512
HMTT,HUAMUXTITLAN,17.798341,-98.559717,seismic,Stations_UNAM,ROCA,0.173775739,0.4311343509,0.1931129335,0.0728506544,0,0,0,0,0.173775739,0.4311343509,0.1931129335,0.0691362799,0.1466545362,0.2486743431,0.1902633375,0.0728506544,0.0934905199,0.2090198981,0.154652431,0.0821170944
HUAM,HUAMELULA,16.031121,-95.670297,seismic,Stations_UNAM,ROCA,0.0077692151,0.0321710498,0.0102910239,0.0057322344,0,0,0,0,0.0059814475,0.0262984166,0.0102910239,0.0057322344,0.0077692151,0.0321710498,0.0062839771,0.0053819437,0.0037176351,0.0116567931,0.0053459375,0.004726166
JAMI,JAMILTEPEC,16.284353,-97.820692,seismic,Stations_UNAM,ROCA,0.0177793068,0.017742594,0.0138241754,0.0111614318,0,0,0,0,0.0177793068,0.017742594,0.0132679363,0.0090019448,0.0136876656,0.0153464242,0.0138241754,0.0111614318,0.0148912334,0.0173058825,0.0136937053,0.0065653154
LANE,LAS NEGRAS,15.947684,-97.187204,seismic,Stations_UNAM,ROCA SEDIMENTARIA,0.005941896,0.0203756547,0.0127024021,0.0092116067,0,0,0,0,0.0052882773,0.0118643196,0.0072861466,0.0091293504,0.005941896,0.0203756547,0.0127024021,0.0092116067,0.0035023445,0.0073497383,0.0077513419,0.0078832612
LMPP,LOMAS DEL MARMOL  PUEBLA,19.00147,-98.18227,seismic,Stations_UNAM,ROCA,0.0405485219,0.0759458341,0.0647634484,0.0309543252,0,0,0,0,0.0405485219,0.0759458341,0.0484219868,0.0216580905,0.0353235474,0.0750908412,0.0647634484,0.0309543252,0.0250843017,0.0715673794,0.0494299464,0.0306085327
MIHL,MINATITLAN ESCUELA HIJAS DE LERDO,17.988778,-94.54387,seismic,Stations_UNAM,BLANDO,0.0053081549,0.0181348474,0.0105613025,0.0113497221,0,0,0,0,0.0045587156,0.0181348474,0.0105613025,0.0113497221,0.0053081549,0.0131327207,0.010202665,0.0099335768,0.0027600408,0.0054633512,0.0067899611,0.0054820193
NILT,NILTEPEC,16.565153,-94.616947,seismic,Stations_UNAM,ROCA,0.0060972477,0.0086484965,0.0052071841,0.0040087413,0,0,0,0,0.0060972477,0.0086484965,0.0052071841,0.0040087413,0.0050173293,0.0044522341,0.0045193763,0.0037612424,0.0019256881,0.0037397666,0.003333633,0.0037677398
