# 20010213_M6.6_SanVicente median gmf, Stations:None, gmlt:MARN, Rupture:Canora_et_al_2001
custom_site_id,lon,lat,AkkarEtAlRhyp2014,BooreAtkinson2011,CauzziEtAl2014
t_0,-88.07562,13.1642,0.01923612,0.033645682,0.023351233
t_1,-88.03968,13.1642,0.018392501,0.032009624,0.022409543
t_10,-87.91392,13.1642,0.022977035,0.052824445,0.027646096
t_100,-87.96782,13.3216,0.020099355,0.036025625,0.024502633
t_1000,-88.27325,13.5837,0.041596755,0.079597786,0.052214764
t_1001,-88.29121,13.60116,0.039567765,0.0741393,0.050470244
t_1002,-88.27325,13.60116,0.04589738,0.09939311,0.059267778
t_1003,-88.41698,13.5837,0.05583463,0.101241186,0.07162123
t_1004,-88.39901,13.5837,0.053281013,0.09734221,0.0681595
t_1005,-88.38104,13.5837,0.04862698,0.088811465,0.062349707
t_1006,-88.38104,13.60116,0.054782458,0.10326792,0.0705096
t_1007,-88.39901,13.60116,0.05293114,0.096541435,0.06818288
t_1008,-88.41698,13.60116,0.055669524,0.10083366,0.07192007
t_1009,-88.38104,13.61862,0.053224757,0.098920666,0.06858995
t_101,-87.94985,13.3216,0.019119104,0.03404244,0.023460716
t_1010,-88.39901,13.61862,0.05412964,0.0991322,0.07003792
t_1011,-88.41698,13.61862,0.054631904,0.098653965,0.07114823
t_1012,-88.39901,13.63608,0.052195895,0.09498273,0.0680858
t_1013,-88.34511,13.5837,0.042555448,0.07831728,0.05478516
t_1014,-88.36308,13.60116,0.047976505,0.08854169,0.061503526
t_1015,-88.34511,13.60116,0.048106615,0.09014407,0.061286096
t_1016,-88.32715,13.60116,0.049106944,0.09494084,0.06266395
t_1017,-88.34511,13.61862,0.049559403,0.09369483,0.06342175
t_1018,-88.36308,13.61862,0.052507564,0.09941485,0.06757206
t_1019,-88.32715,13.61862,0.043412577,0.08080459,0.055745624
t_102,-87.93189,13.3216,0.01848886,0.03274878,0.022755567
t_1020,-88.34511,13.63608,0.048153717,0.09016225,0.061856717
t_1021,-88.36308,13.63608,0.046281278,0.08505297,0.060215827
t_1022,-88.32715,13.63608,0.039162822,0.072355464,0.051487897
t_1023,-88.30918,13.60116,0.042038944,0.07868584,0.05355604
t_1024,-88.29121,13.61862,0.043193422,0.082277566,0.054745153
t_1025,-88.30918,13.61862,0.03951299,0.07348348,0.0510955
t_1026,-88.27325,13.61862,0.040871713,0.07776719,0.051725138
