STATION_ID,STATION_NAME,PGA_VALUE,PGA_LN_SIGMA,LATITUDE,LONGITUDE,STATION_ID,STATION_TYPE,REFERENCES
KMMH16,KMMH161604160125,1.179756594,0,32.7967,130.8199,KMMH16,seismic,Stations_NIED
KMM006,KMM0061604160125,0.843510271,0,32.7934,130.7772,KMM006,seismic,Stations_NIED
KMMH03,KMMH031604160125,0.8020843,0,32.9984,130.8301,KMMH03,seismic,Stations_NIED
KMM009,KMM0091604160125,0.791855527,0,32.6858,130.9856,KMM009,seismic,Stations_NIED
KMM008,KMM0081604160125,0.786318468,0,32.6878,130.6582,KMM008,seismic,Stations_NIED
OIT009,OIT0091604160125,0.73097235,0,33.2568,131.3443,OIT009,seismic,Stations_NIED
KMMH02,KMMH021604160125,0.67340937,0,33.122,131.0629,KMMH02,seismic,Stations_NIED
KMM011,KMM0111604160125,0.614284185,0,32.6166,130.8635,KMM011,seismic,Stations_NIED
OITH11,OITH111604160125,0.570444545,0,33.2844,131.2118,OITH11,seismic,Stations_NIED
KMM005,KMM0051604160125,0.535917974,0,32.8761,130.8771,KMM005,seismic,Stations_NIED
KMMH14,KMMH141604160125,0.466338658,0,32.6345,130.7521,KMMH14,seismic,Stations_NIED
KMM007,KMM0071604160125,0.428614257,0,32.8268,131.1224,KMM007,seismic,Stations_NIED
KMM004,KMM0041604160125,0.353518276,0,32.9318,131.1203,KMM004,seismic,Stations_NIED
KMMH09,KMMH091604160125,0.245164251,0,32.4901,130.9046,KMMH09,seismic,Stations_NIED
KMM001,KMM0011604160125,0.224061224,0,33.1211,131.0689,KMM001,seismic,Stations_NIED
KMMH12,KMMH121604160125,0.221638378,0,32.2054,130.7371,KMMH12,seismic,Stations_NIED
KMM003,KMM0031604160125,0.221534367,0,32.9335,130.5477,KMM003,seismic,Stations_NIED
KMMH01,KMMH011604160125,0.212894312,0,33.1089,130.6949,KMMH01,seismic,Stations_NIED
FKO015,FKO0151604160125,0.210804913,0,33.1629,130.4052,FKO015,seismic,Stations_NIED
KMM012,KMM0121604160125,0.201358262,0,32.5078,130.6024,KMM012,seismic,Stations_NIED
MYZ002,MYZ0021604160125,0.19744765,0,32.6978,131.6833,MYZ002,seismic,Stations_NIED
KMM002,KMM0021604160125,0.194017325,0,33.0189,130.6846,KMM002,seismic,Stations_NIED
MYZ001,MYZ0011604160125,0.19065838,0,32.705,131.3086,MYZ001,seismic,Stations_NIED
MYZ020,MYZ0201604160125,0.184157689,0,32.4557,131.1472,MYZ020,seismic,Stations_NIED
KMMH10,KMMH101604160125,0.179794323,0,32.3151,130.1811,KMMH10,seismic,Stations_NIED
FKO013,FKO0131604160125,0.176372156,0,33.2254,130.5608,FKO013,seismic,Stations_NIED
OIT006,OIT0061604160125,0.175934697,0,33.4211,131.3173,OIT006,seismic,Stations_NIED
OIT005,OIT0051604160125,0.174699821,0,33.4537,131.1134,OIT005,seismic,Stations_NIED
NGS014,NGS0141604160125,0.174646796,0,32.6104,130.1851,NGS014,seismic,Stations_NIED
MYZH04,MYZH041604160125,0.16773414,0,32.5181,131.3349,MYZH04,seismic,Stations_NIED
KMMH06,KMMH061604160125,0.165676352,0,32.8114,131.101,KMMH06,seismic,Stations_NIED
MYZ008,MYZ0081604160125,0.163989742,0,32.1056,131.3931,MYZ008,seismic,Stations_NIED
KMM014,KMM0141604160125,0.162971045,0,32.3961,130.8273,KMM014,seismic,Stations_NIED
KMM013,KMM0131604160125,0.157826577,0,32.3644,130.5089,KMM013,seismic,Stations_NIED
OIT015,OIT0151604160125,0.156239898,0,32.9733,131.3998,OIT015,seismic,Stations_NIED
FKO016,FKO0161604160125,0.147816023,0,33.0159,130.4472,FKO016,seismic,Stations_NIED
SAGH04,SAGH041604160125,0.146693315,0,33.3654,130.4046,SAGH04,seismic,Stations_NIED
KMM018,KMM0181604160125,0.145603239,0,32.3941,130.3898,KMM018,seismic,Stations_NIED
MYZ006,MYZ0061604160125,0.144884339,0,32.2564,131.5609,MYZ006,seismic,Stations_NIED
MYZH05,MYZH051604160125,0.142104592,0,32.347,131.2668,MYZH05,seismic,Stations_NIED
KGS001,KGS0011604160125,0.140725936,0,32.1947,130.1763,KGS001,seismic,Stations_NIED
OIT016,OIT0161604160125,0.136706215,0,32.9748,131.903,OIT016,seismic,Stations_NIED
FKOH03,FKOH031604160125,0.13593225,0,33.5608,130.5499,FKOH03,seismic,Stations_NIED
MYZH08,MYZH081604160125,0.135315322,0,32.2132,131.5309,MYZH08,seismic,Stations_NIED
SAG007,SAG0071604160125,0.12838533,0,33.2626,130.3005,SAG007,seismic,Stations_NIED
FKO011,FKO0111604160125,0.124980498,0,33.3237,130.5118,FKO011,seismic,Stations_NIED
OIT010,OIT0101604160125,0.120560028,0,33.2317,131.5934,OIT010,seismic,Stations_NIED
