# 19900530_Sequence_Vrancea/19900531_M6.31_Vrancea median gmf, Stations:None, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,"BCHydroESHM20SSlab
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
sigma_mu_epsilon = -1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
sigma_mu_epsilon = 1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
theta_6_adjustment = -0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
theta_6_adjustment = 0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00"
t_0,26.343760000000003,44.01169,0.017546143,0.011635225,0.02645992,0.017546143,0.017546143
t_1,26.471689999999995,44.03154,0.016937992,0.011231947,0.025542814,0.016937992,0.016937992
t_10,26.901610000000005,44.11686,0.015299849,0.01014566,0.023072466,0.015299849,0.015299849
t_100,26.23383000000001,44.11046,0.018241014,0.01209601,0.027507799,0.018241014,0.018241014
t_1000,25.369910000000004,44.47597,0.026758863,0.01774438,0.040352877,0.026758863,0.026758863
t_1001,25.28721999999999,44.48205,0.024761114,0.016419629,0.037340235,0.024761114,0.024761114
t_1002,25.41552999999999,44.50251,0.027736275,0.018392522,0.041826833,0.027736275,0.027736275
t_1003,25.332819999999998,44.50861,0.027402434,0.018171145,0.041323397,0.027402434,0.027402434
t_1004,25.250100000000003,44.51468,0.026048811,0.017273529,0.039282106,0.026048811,0.026048811
t_1005,25.46117000000001,44.52904,0.028803103,0.019099958,0.04343563,0.028803103,0.028803103
t_1006,25.378440000000012,44.53516,0.029302465,0.019431096,0.04418868,0.029302465,0.029302465
t_1007,25.24163999999999,44.45548,0.025315873,0.016787501,0.03817682,0.025315873,0.025315873
t_1008,25.204520000000002,44.4881,0.025489215,0.016902449,0.038438223,0.025489215,0.025489215
t_1009,25.167360000000002,44.52071,0.025958879,0.017213892,0.039146487,0.025958879,0.025958879
t_101,26.279499999999985,44.13688,0.019565387,0.01297423,0.029504979,0.019565387,0.019565387
t_1010,25.212950000000006,44.5473,0.025594035,0.016971957,0.038596295,0.025594035,0.025594035
t_1011,25.13019,44.55331,0.026191605,0.017368218,0.039497443,0.026191605,0.026191605
t_1012,25.175780000000003,44.5799,0.026249684,0.017406732,0.039585028,0.026249684,0.026249684
t_1013,25.092989999999986,44.58589,0.026337063,0.017464673,0.039716795,0.026337063,0.026337063
t_1014,25.221389999999985,44.60646,0.028830877,0.019118374,0.043477513,0.028830877,0.028830877
t_1015,25.13857999999999,44.61248,0.025954159,0.017210761,0.039139368,0.025954159,0.025954159
t_1016,25.055759999999992,44.61846,0.02715768,0.018008841,0.0409543,0.02715768,0.02715768
t_1017,25.62661,44.5167,0.030675141,0.020341348,0.046258703,0.030675141,0.030675141
t_1018,25.543900000000008,44.52289,0.029473433,0.01954447,0.044446502,0.029473433,0.029473433
t_1019,25.589580000000012,44.54938,0.031059308,0.020596096,0.046838034,0.031059308,0.031059308
t_102,26.19713999999999,44.14335,0.018999672,0.012599092,0.028651869,0.018999672,0.018999672
t_1020,25.50684000000001,44.55555,0.030663801,0.020333827,0.0462416,0.030663801,0.030663801
t_1021,25.635289999999998,44.57586,0.03286373,0.021792646,0.049559135,0.03286373,0.03286373
t_1022,25.55252999999999,44.58205,0.032238513,0.021378053,0.048616298,0.032238513,0.032238513
t_1023,25.469760000000008,44.5882,0.031211304,0.020696888,0.047067244,0.031211304,0.031211304
t_1024,25.598240000000004,44.60853,0.033043206,0.02191166,0.049829785,0.033043206,0.033043206
t_1025,25.515449999999987,44.6147,0.033098362,0.021948239,0.049912967,0.033098362,0.033098362
t_1026,25.643969999999996,44.635,0.03422306,0.02269405,0.05160903,0.03422306,0.03422306
t_1027,25.29570000000001,44.54125,0.02838324,0.018821537,0.042802468,0.02838324,0.02838324
t_1028,25.424090000000007,44.56169,0.030424127,0.020174894,0.045880165,0.030424127,0.030424127
t_1029,25.34133,44.56779,0.029255785,0.01940014,0.04411828,0.029255785,0.029255785
t_103,26.599670000000003,44.0513,0.013954669,0.009253642,0.021043908,0.013954669,0.013954669
t_1030,25.25855999999999,44.57386,0.028483776,0.018888207,0.04295408,0.028483776,0.028483776
t_1031,25.386979999999994,44.59433,0.029462077,0.019536939,0.044429377,0.029462077,0.029462077
t_1032,25.304190000000006,44.60041,0.03026991,0.02007263,0.045647603,0.03026991,0.03026991
t_1033,25.432649999999995,44.62084,0.033054512,0.02191916,0.04984684,0.033054512,0.033054512
t_1034,25.34984,44.62695,0.030804815,0.020427337,0.04645425,0.030804815,0.030804815
t_1035,25.267030000000005,44.63301,0.030730933,0.020378344,0.046342835,0.030730933,0.030730933
t_1036,25.395520000000005,44.65346,0.032926906,0.021834541,0.049654406,0.032926906,0.032926906
t_1037,25.184200000000004,44.63905,0.029199855,0.019363053,0.04403394,0.029199855,0.029199855
t_1038,25.10136,44.64505,0.028017279,0.01857886,0.042250592,0.028017279,0.028017279
t_1039,25.018519999999995,44.65101,0.027708692,0.01837423,0.04178524,0.027708692,0.027708692
t_104,26.517390000000006,44.05792,0.017342506,0.01150019,0.026152832,0.017342506,0.017342506
t_1040,25.229839999999996,44.6656,0.031470776,0.02086895,0.047458533,0.031470776,0.031470776
