# 19900530_Sequence_Vrancea/19900531_M6.31_Vrancea median gmf, Stations:None, gmlt:USGS, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,ZhaoEtAl2016SSlab
t_0,26.343760000000003,44.01169,0.024084305,0.015010777,0.025366098
t_1,26.471689999999995,44.03154,0.023266584,0.015136092,0.025451366
t_10,26.901610000000005,44.11686,0.021096447,0.015115066,0.025423283
t_100,26.23383000000001,44.11046,0.024669563,0.017338626,0.028359469
t_1000,25.369910000000004,44.47597,0.034494665,0.025274685,0.038408216
t_1001,25.28721999999999,44.48205,0.032066606,0.02458387,0.037554823
t_1002,25.41552999999999,44.50251,0.035567448,0.026682563,0.040137097
t_1003,25.332819999999998,44.50861,0.03521203,0.025980534,0.039276693
t_1004,25.250100000000003,44.51468,0.033601653,0.025205845,0.03832333
t_1005,25.46117000000001,44.52904,0.03674295,0.028165534,0.04194415
t_1006,25.378440000000012,44.53516,0.037405506,0.027456386,0.041081756
t_1007,25.24163999999999,44.45548,0.03289515,0.023263458,0.035913743
t_1008,25.204520000000002,44.4881,0.033043522,0.023830255,0.03661983
t_1009,25.167360000000002,44.52071,0.033563595,0.02437129,0.037291512
t_101,26.279499999999985,44.13688,0.026326641,0.017909579,0.02910325
t_1010,25.212950000000006,44.5473,0.0329676,0.025800625,0.03905566
t_1011,25.13019,44.55331,0.03379177,0.024882618,0.037924305
t_1012,25.175780000000003,44.5799,0.033718973,0.026363118,0.039745994
t_1013,25.092989999999986,44.58589,0.03391518,0.025359385,0.038512614
t_1014,25.221389999999985,44.60646,0.036755253,0.027936108,0.041665483
t_1015,25.13857999999999,44.61248,0.033291414,0.026888287,0.040388618
t_1016,25.055759999999992,44.61846,0.034878105,0.025797669,0.03905203
t_1017,25.62661,44.5167,0.038947772,0.02927787,0.04329075
t_1018,25.543900000000008,44.52289,0.037519343,0.028777115,0.042685434
t_1019,25.589580000000012,44.54938,0.03931627,0.03032483,0.044551704
t_102,26.19713999999999,44.14335,0.025549602,0.01818737,0.029463753
t_1020,25.50684000000001,44.55555,0.038875725,0.029724902,0.043829903
t_1021,25.635289999999998,44.57586,0.041361503,0.031942483,0.046488326
t_1022,25.55252999999999,44.58205,0.040644616,0.0313619,0.045794845
t_1023,25.469760000000008,44.5882,0.03945118,0.030654645,0.044947676
t_1024,25.598240000000004,44.60853,0.04147956,0.033076268,0.047837704
t_1025,25.515449999999987,44.6147,0.04158659,0.032380924,0.047010895
t_1026,25.643969999999996,44.635,0.042759996,0.03486764,0.049957182
t_1027,25.29570000000001,44.54125,0.03634373,0.026663389,0.040113643
t_1028,25.424090000000007,44.56169,0.03863406,0.02901377,0.042971686
t_1029,25.34133,44.56779,0.037271768,0.02820576,0.041992974
t_103,26.599670000000003,44.0513,0.0192635,0.015150898,0.027823798
t_1030,25.25855999999999,44.57386,0.036396734,0.02731691,0.04091177
t_1031,25.386979999999994,44.59433,0.037382085,0.029837072,0.04396501
t_1032,25.304190000000006,44.60041,0.038433213,0.028924806,0.042864118
t_1033,25.432649999999995,44.62084,0.04158573,0.03155888,0.04603032
t_1034,25.34984,44.62695,0.038938507,0.030628117,0.044915847
t_1035,25.267030000000005,44.63301,0.038923375,0.029606996,0.04368781
t_1036,25.395520000000005,44.65346,0.041354116,0.032429516,0.047068752
t_1037,25.184200000000004,44.63905,0.03714393,0.028515555,0.042368677
t_1038,25.10136,44.64505,0.035787553,0.027371792,0.040978674
t_1039,25.018519999999995,44.65101,0.035509154,0.026193434,0.039537974
t_104,26.517390000000006,44.05792,0.023746425,0.015546497,0.025998248
t_1040,25.229839999999996,44.6656,0.039753772,0.030246194,0.04445721
t_1041,25.146989999999988,44.67162,0.0384789,0.0290494,0.043014754
t_1042,25.064120000000003,44.6776,0.036667258,0.027808683,0.041510575
t_1043,25.19263000000001,44.69818,0.040090412,0.030836262,0.045165475
t_1044,25.10974999999999,44.70418,0.03812453,0.029532505,0.043597996
t_1045,25.026849999999996,44.71014,0.037328105,0.028197415,0.04198285
t_1046,25.23830000000001,44.72472,0.04197205,0.032738008,0.047435787
t_1047,25.561170000000004,44.64119,0.043109708,0.034193482,0.049161293
t_1048,25.478350000000006,44.64734,0.04295846,0.03337422,0.04819127
t_1049,25.60691,44.66765,0.044005584,0.03609091,0.05139619
t_105,26.563119999999998,44.08428,0.024729047,0.015950754,0.026534604
t_1050,25.524069999999995,44.67383,0.043661855,0.035284325,0.050448094
t_1051,25.65267,44.69411,0.044662017,0.038073137,0.053714596
t_1052,25.569819999999993,44.7003,0.045105975,0.03728914,0.052799556
t_1053,25.486950000000007,44.70645,0.04341481,0.036339052,0.051687308
t_1054,25.615589999999997,44.72675,0.046806168,0.039387446,0.055243175
t_1055,25.53271000000001,44.73292,0.0455221,0.038449828,0.054153383
t_1056,25.66138000000001,44.75319,0.048453905,0.04157715,0.057775576
t_1057,25.312690000000003,44.65955,0.040137593,0.03138006,0.04581656
