# 19900530_Sequence_Vrancea/19900531_M6.31_Vrancea median gmf, Stations:Seismic, gmlt:USGS, Rupture:Ganasetal2010
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,ZhaoEtAl2016SSlab
s_0,27.626000000000005,46.266,0.015868,0.015868,0.015868
s_1,28.03200000000001,44.314,0.011895,0.011895,0.011895
s_2,26.7277,45.8657,0.018983,0.018983,0.018983
t_0,26.343760000000003,44.01169,0.010835472,0.006774474,0.0075294324
t_1,26.471689999999995,44.03154,0.010798848,0.0071511674,0.00782964
t_10,26.901610000000005,44.11686,0.011032493,0.0084911045,0.008959935
t_100,26.23383000000001,44.11046,0.010668507,0.0074137077,0.00805425
t_1000,25.369910000000004,44.47597,0.011382503,0.007489391,0.008118739
t_1001,25.28721999999999,44.48205,0.010410629,0.007193407,0.007865963
t_1002,25.41552999999999,44.50251,0.011723465,0.007897412,0.008464286
t_1003,25.332819999999998,44.50861,0.011448262,0.007582504,0.008197885
t_1004,25.250100000000003,44.51468,0.010772067,0.0072804405,0.007940482
t_1005,25.46117000000001,44.52904,0.012104926,0.0083316015,0.00882853
t_1006,25.378440000000012,44.53516,0.012165341,0.007996375,0.008547611
t_1007,25.24163999999999,44.45548,0.010740775,0.006827406,0.0075507606
t_1008,25.204520000000002,44.4881,0.010635534,0.0069079064,0.007620347
t_1009,25.167360000000002,44.52071,0.010659537,0.0069814767,0.007683813
t_101,26.279499999999985,44.13688,0.011499362,0.00776247,0.008350325
t_1010,25.212950000000006,44.5473,0.010401137,0.0073603927,0.008008798
t_1011,25.13019,44.55331,0.010587553,0.007047831,0.00774095
t_1012,25.175780000000003,44.5799,0.010497677,0.007432417,0.008070224
t_1013,25.092989999999986,44.58589,0.010485537,0.0071064658,0.0077913585
t_1014,25.221389999999985,44.60646,0.011436406,0.007841269,0.008416931
t_1015,25.13857999999999,44.61248,0.010212024,0.007496072,0.008124424
t_1016,25.055759999999992,44.61846,0.010662589,0.0071571264,0.00783485
t_1017,25.62661,44.5167,0.0133347735,0.009053947,0.009427278
t_1018,25.543900000000008,44.52289,0.012580733,0.008683931,0.009121655
t_1019,25.589580000000012,44.54938,0.013215022,0.0091692135,0.009522042
t_102,26.19713999999999,44.14335,0.010897655,0.0076286816,0.008237047
t_1020,25.50684000000001,44.55555,0.012829726,0.00879384,0.009212668
t_1021,25.635289999999998,44.57586,0.013951912,0.009686437,0.009944802
t_1022,25.55252999999999,44.58205,0.013435761,0.009286244,0.009618048
t_1023,25.469760000000008,44.5882,0.012797542,0.008905666,0.009305066
t_1024,25.598240000000004,44.60853,0.013719375,0.009810951,0.010045995
t_1025,25.515449999999987,44.6147,0.013512,0.009405178,0.009715402
t_1026,25.643969999999996,44.635,0.01417295,0.010370467,0.010498101
t_1027,25.29570000000001,44.54125,0.011654453,0.007676193,0.008277345
t_1028,25.424090000000007,44.56169,0.012550673,0.008436796,0.008916271
t_1029,25.34133,44.56779,0.011918656,0.008096662,0.0086318655
t_103,26.599670000000003,44.0513,0.009241103,0.007514886,0.008892019
t_1030,25.25855999999999,44.57386,0.011491348,0.0077630077,0.00835082
t_1031,25.386979999999994,44.59433,0.011907743,0.008543771,0.009005301
t_1032,25.304190000000006,44.60041,0.012118157,0.008191144,0.0087110745
t_1033,25.432649999999995,44.62084,0.013303793,0.009019398,0.009398835
t_1034,25.34984,44.62695,0.01222846,0.008646611,0.009090706
t_1035,25.267030000000005,44.63301,0.012089704,0.008276321,0.008782345
t_1036,25.395520000000005,44.65346,0.012988751,0.009131214,0.009490824
t_1037,25.184200000000004,44.63905,0.011395521,0.007910574,0.008475378
t_1038,25.10136,44.64505,0.010876308,0.007551115,0.008171224
