FIELD,DESCRIPTION
Year,2019
Country,Japan
Region,East Asia
Event Name,Yamagata 2019
Local Date,18/06/2019
Local Time,22:22:20
Latitude (decimal degrees),38.639
Longitude (decimal degrees),139.477
Depth (km),12
Mw,6.4
Max Intensity (MMI),VII
Fault mechanism,Reverse
Tectonic region type,Active Shallow Crustal
Fatalities,~0
Injured,28-43
Displaced population,45-840
Affected population,~432
Affected units,
Damaged units,144-1608 Buildings
Collapsed units,
Economic losses,
Insured losses,
Earthquake-triggered effects,Tsunami
USGS event ID,us600042fx
Wikipedia page,https://en.wikipedia.org/wiki/2019 Yamagata earthquake
