STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30_TYPE
AGR1,AGR1,38.621,21.406,seismic,GHEAD,D,0.017239,0,0.051399614,0,0.036339754,0,0.017092295,0,D
AIGA,AIGIO,38.2512,22.0852,seismic,GHEAD,B,0.5125,0,0.865495224,0,1.147550915,0,0.404307081,0,B
AMIA,AMIA,38.53,22.38,seismic,GHEAD,C,0.18416,0,0.590143313,0,0.25528127,0,0.04885044,0,C
ATH3,ATH3,37.972,23.706,seismic,GHEAD,C,0.011364,0,0.029550615,0,0.024735573,0,0.011395346,0,C
KOR1,KOR1,37.939,22.933,seismic,GHEAD,D,0.020957001,0,0.049793404,0,0.043769505,0,0.02981044,0,D
KORA,KORA,37.93,22.93,seismic,GHEAD,D,0.019039,0,0.057180081,0,0.048226563,0,0.030523071,0,D
KRP1,KRP1,38.917,21.8,seismic,GHEAD,A,0.02598,0,0.102429844,0,0.018361281,0,0.01193092,0,A
LEF1,LEF1,38.826,20.702,seismic,GHEAD,D,0.01424,0,0.032803233,0,0.023649175,0,0.035518265,0,D
LEVA,LEVA,38.43,22.88,seismic,GHEAD,C,0.028707001,0,0.111673747,0,0.056537389,0,0.020642072,0,C
MRNA,MRNA,38.53,22.12,seismic,GHEAD,C,0.070987999,0,0.189678125,0,0.064257653,0,0.072294814,0,C
NAUA,NAUA,38.4,21.83,seismic,GHEAD,B,0.049821999,0,0.104674894,0,0.145490653,0,0.062410377,0,B
PAT1,PAT1,38.25,21.733,seismic,GHEAD,C,0.033095001,0,0.09300417,0,0.108704324,0,0.088834258,0,C
PAT2,PAT2,38.238,21.738,seismic,GHEAD,C,0.087231003,0,0.183925141,0,0.188763861,0,0.230822216,0,C
PAT3,PAT3,38.254,21.738,seismic,GHEAD,D,0.041418999,0,0.077571656,0,0.113168799,0,0.057092511,0,D
PATA,PATA,38.25,21.73,seismic,GHEAD,C,0.043966,0,0.070411283,0,0.104243329,0,0.064586401,0,C
PYR1,PYR1,37.67,21.438,seismic,GHEAD,D,0.055816002,0,0.114764333,0,0.117083766,0,0.062090864,0,D
ZAK1,ZAK1,37.785,20.9,seismic,GHEAD,D,0.011901,0,0.024192342,0,0.031216656,0,0.024411109,0,D
