STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
AIGA,AIGIO,38.2512,22.0852,seismic,GHEAD,B,0.5125,0.0,0.865495224,0.0,1.147550915,0.0,0.404307081,0.0,,B,,,,,,
AMIA,AMIA,38.53,22.38,seismic,GHEAD,C,0.18416,0.0,0.590143313,0.0,0.25528127,0.0,0.04885044,0.0,,C,,,,,,
PAT2,PAT2,38.238,21.738,seismic,GHEAD,C,0.087231003,0.0,0.183925141,0.0,0.188763861,0.0,0.230822216,0.0,,C,,,,,,
MRNA,MRNA,38.53,22.12,seismic,GHEAD,C,0.070987999,0.0,0.189678125,0.0,0.064257653,0.0,0.072294814,0.0,,C,,,,,,
PYR1,PYR1,37.67,21.438,seismic,GHEAD,D,0.055816002,0.0,0.114764333,0.0,0.117083766,0.0,0.062090864,0.0,,D,,,,,,
NAUA,NAUA,38.4,21.83,seismic,GHEAD,B,0.049821999,0.0,0.104674894,0.0,0.145490653,0.0,0.062410377,0.0,,B,,,,,,
PATA,PATA,38.25,21.73,seismic,GHEAD,C,0.043966,0.0,0.070411283,0.0,0.104243329,0.0,0.064586401,0.0,,C,,,,,,
PAT3,PAT3,38.254,21.738,seismic,GHEAD,D,0.041418999,0.0,0.077571656,0.0,0.113168799,0.0,0.057092511,0.0,,D,,,,,,
PAT1,PAT1,38.25,21.733,seismic,GHEAD,C,0.033095001,0.0,0.09300417,0.0,0.108704324,0.0,0.088834258,0.0,,C,,,,,,
LEVA,LEVA,38.43,22.88,seismic,GHEAD,C,0.028707001,0.0,0.111673747,0.0,0.056537389,0.0,0.020642072,0.0,,C,,,,,,
KRP1,KRP1,38.917,21.8,seismic,GHEAD,A,0.02598,0.0,0.102429844,0.0,0.018361281,0.0,0.01193092,0.0,,A,,,,,,
KOR1,KOR1,37.939,22.933,seismic,GHEAD,D,0.020957001,0.0,0.049793404,0.0,0.043769505,0.0,0.02981044,0.0,,D,,,,,,
KORA,KORA,37.93,22.93,seismic,GHEAD,D,0.019039,0.0,0.057180081,0.0,0.048226563,0.0,0.030523071,0.0,,D,,,,,,
AGR1,AGR1,38.621,21.406,seismic,GHEAD,D,0.017239,0.0,0.051399614,0.0,0.036339754,0.0,0.017092295,0.0,,D,,,,,,
LEF1,LEF1,38.826,20.702,seismic,GHEAD,D,0.01424,0.0,0.032803233,0.0,0.023649175,0.0,0.035518265,0.0,,D,,,,,,
ZAK1,ZAK1,37.785,20.9,seismic,GHEAD,D,0.011901,0.0,0.024192342,0.0,0.031216656,0.0,0.024411109,0.0,,D,,,,,,
ATH3,ATH3,37.972,23.706,seismic,GHEAD,C,0.011364,0.0,0.029550615,0.0,0.024735573,0.0,0.011395346,0.0,,C,,,,,,
OBS_32,Aigion,38.25,22.083,macroseismic,Stations_USGS,,0.744465,0.8059,1.126702,1.0131,,,0.542242,1.0822,481.32,inferred,8.0,0.3,0.875,50.4117,1.4737,0.103113
OBS_104,Erateini,38.33,22.22,macroseismic,Stations_USGS,,0.399553,0.8059,0.646046,1.0131,,,0.245113,1.0822,600.0,inferred,7.0,0.3,0.875,24.3263,1.4737,0.047983
obs_2,ERATEINI  PHOKIDA(572),38.366,22.223,macroseismic,Stations_USGS,,0.399553,0.8059,0.646046,1.0131,,,0.245113,1.0822,553.77,inferred,7.0,0.3,0.875,24.3263,1.4737,0.047983
obs_1,VALIMITIKA  ACHAIA(550),38.223,22.135,macroseismic,Stations_USGS,,0.399553,0.8059,0.646046,1.0131,,,0.245113,1.0822,284.81,inferred,7.0,0.3,0.875,24.3263,1.4737,0.047983
obs_3,TOLOFONAS  PHOKIDA(544),38.373,22.194,macroseismic,Stations_USGS,,0.399553,0.8059,0.646046,1.0131,,,0.245113,1.0822,900.0,inferred,7.0,0.3,0.875,24.3263,1.4737,0.047983
OBS_371,Valimitika,38.233,22.133,macroseismic,Stations_USGS,,0.399553,0.8059,0.646046,1.0131,,,0.245113,1.0822,291.57,inferred,7.0,0.3,0.875,24.3263,1.4737,0.047983
OBS_365,Tolofon,38.33,22.2,macroseismic,Stations_USGS,,0.399553,0.8059,0.646046,1.0131,,,0.245113,1.0822,600.0,inferred,7.0,0.3,0.875,24.3263,1.4737,0.047983
OBS_7,Agioi Pantes,38.37,22.28,macroseismic,Stations_USGS,,0.292711,0.8059,0.489204,1.0131,,,0.164798,1.0822,900.0,inferred,6.5,0.3,0.875,16.8985,1.4737,0.032732
obs_5,NIKOLAIIKA  ACHAIA(458),38.205,22.138,macroseismic,Stations_USGS,,0.288331,0.8059,0.485342,1.0131,,,0.166328,1.0822,633.89,inferred,6.5,0.3,0.875,16.8985,1.4737,0.033073
obs_6,RODIA  ACHAIA(467),38.2,22.155,macroseismic,Stations_USGS,,0.28598,0.8059,0.483257,1.0131,,,0.167165,1.0822,546.16,inferred,6.5,0.3,0.875,16.8985,1.4737,0.03326
OBS_315,Rodia,38.2,22.15,macroseismic,Stations_USGS,,0.285594,0.8059,0.482915,1.0131,,,0.167303,1.0822,686.92,inferred,6.5,0.3,0.875,16.8985,1.4737,0.03329
OBS_39,Amygdalea,38.42,22.22,macroseismic,Stations_USGS,,0.274779,0.8059,0.473213,1.0131,,,0.171309,1.0822,836.55,inferred,6.5,0.3,0.875,16.8985,1.4737,0.034185
OBS_147,Kamarai,38.28,22.0,macroseismic,Stations_USGS,,0.273054,0.8059,0.471648,1.0131,,,0.171971,1.0822,600.09,inferred,6.5,0.3,0.875,16.8985,1.4737,0.034333
obs_4,KAMARES  ACHAIA(1.401),38.297,21.997,macroseismic,Stations_USGS,,0.271968,0.8059,0.470662,1.0131,,,0.172392,1.0822,490.46,inferred,6.5,0.3,0.875,16.8985,1.4737,0.034427
OBS_226,Malandrinon,38.45,22.22,macroseismic,Stations_USGS,,0.262268,0.8059,0.461761,1.0131,,,0.176272,1.0822,426.8,inferred,6.5,0.3,0.875,16.8985,1.4737,0.035297
OBS_396,Ziria,38.28,21.97,macroseismic,Stations_USGS,,0.260137,0.8059,0.459785,1.0131,,,0.177156,1.0822,590.62,inferred,6.5,0.3,0.875,16.8985,1.4737,0.035495
OBS_132,Itea,38.433,22.417,macroseismic,Stations_USGS,,0.254515,0.8059,0.454534,1.0131,,,0.179544,1.0822,291.6,inferred,6.5,0.3,0.875,16.8985,1.4737,0.036032
obs_7,ZIRIA  ACHAIA(895),38.303,21.938,macroseismic,Stations_USGS,,0.248865,0.8059,0.449201,1.0131,,,0.182032,1.0822,523.89,inferred,6.5,0.3,0.875,16.8985,1.4737,0.036592
OBS_326,Selinous,38.22,22.1,macroseismic,Stations_USGS,,0.214439,0.8059,0.37044,1.0131,,,0.1108,1.0822,900.0,inferred,6.0,0.3,0.875,11.7387,1.4737,0.022329
