FIELD,DESCRIPTION
Year,2007
Country,Peru
Region,South America
Event Name,Pisco 2007
Local Date,15/08/2007
Local Time,18:40:58
Latitude (decimal degrees),-13.67
Longitude (decimal degrees),-76.76
Depth (km),40
Mw,7.9
Max Intensity (MMI),VIII
Fault mechanism,Reverse Fault
Tectonic region type,Subduction Interface
Fatalities,337-610 
Injured,1042-2291
Displaced population,~100000
Affected population,32000-722643
Affected units,2574-13688 
Damaged units,17000-230000 
Collapsed units,33676-94000 
Economic losses,139.1-600 M USD
Insured losses,200 M USD 
Earthquake-triggered effects,"Tsunami, Landslides, Liquefaction"
USGS event ID,usp000fjta
Wikipedia page,https://en.wikipedia.org/wiki/2007 Peru earthquake
