STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
1687,Haris,38.247,47.119,seismic,Statins_BHRC,0.0177279,0.03354477,0.046391253,0.01787354,0,0,0,0,0.0150961,0.03354477,0.046391253,0.011232173,0.00819349,0.018091029,0.023365144,0.008370663,0.0177279,0.033382634,0.030602714,0.01787354
1690,Niyaraq,38.265,48.627,seismic,Statins_BHRC,0.0252026,0.022603541,0.013694199,0.009471078,0,0,0,0,0.025093,0.021679301,0.013694199,0.007672242,0.0198305,0.012214271,0.008557006,0.009471078,0.0252026,0.022603541,0.010754524,0.005467163
1691,Razi,38.63,48.094,seismic,Statins_BHRC,0.0460741,0.066761654,0.038187223,0.024263941,0,0,0,0,0.0369769,0.044519637,0.038187223,0.020500723,0.0227524,0.049507235,0.029079888,0.015852502,0.0460741,0.066761654,0.021002566,0.024263941
1693/01,Ardebil 1,38.226,48.276,seismic,Statins_BHRC,0.114474,0.238381901,0.162366273,0.102428526,0,0,0,0,0.114474,0.222600851,0.162366273,0.102428526,0.0584412,0.13463474,0.086925018,0.06412573,0.0778382,0.238381901,0.109376274,0.084398239
1695,Astara,38.422,48.869,seismic,Statins_BHRC,0.0444415,0.175224878,0.112611658,0.048697284,0,0,0,0,0.0444415,0.175224878,0.065185415,0.043632824,0.0187347,0.033233213,0.020145731,0.033249655,0.0390022,0.080996881,0.112611658,0.048697284
1696,Bile-Savar,39.364,48.319,seismic,Statins_BHRC,0.0114347,0.02961611,0.028673026,0.026097872,0,0,0,0,0.0114347,0.019589492,0.027537318,0.026097872,0.0052119,0.008709952,0.00741125,0.008066038,0.0112538,0.02961611,0.028673026,0.015025032
1700,Meshkin Shahr,38.394,47.667,seismic,Statins_BHRC,0.026101,0.069278259,0.026197256,0.019795885,0,0,0,0,0.026101,0.069278259,0.025768357,0.019771861,0.0199786,0.040346606,0.015166857,0.011065038,0.0236719,0.056880751,0.026197256,0.019795885
1701/01,Ardebil 2,38.222,48.258,seismic,Statins_BHRC,0.168428,0.280998524,0.274854952,0.126352616,0,0,0,0,0.168428,0.206485076,0.274854952,0.102953894,0.0611892,0.151209399,0.061261662,0.050225197,0.122908,0.280998524,0.239298437,0.126352616
1702,Germi,39.05,48.057,seismic,Statins_BHRC,0.0453907,0.190734164,0.111974831,0.051061603,0,0,0,0,0.0453907,0.12456566,0.111974831,0.051061603,0.0206908,0.038319015,0.037944591,0.036530623,0.0436515,0.190734164,0.051493213,0.034722699
1716,Hoorand,38.858,47.369,seismic,Statins_BHRC,0.0615676,0.090932776,0.014949874,0.007955447,0,0,0,0,0.0615676,0.090932776,0.014949874,0.007955447,0.0201953,0.046455909,0.007162174,0.003673505,0.0355846,0.053720801,0.014852712,0.007084559
1722,Miyaneh,37.431,47.705,seismic,Statins_BHRC,0.0166743,0.053934478,0.024298936,0.014659085,0,0,0,0,0.0125927,0.034461971,0.024298936,0.007420506,0.0085449,0.01133252,0.009218327,0.00640706,0.0166743,0.053934478,0.020470612,0.014659085
1724,Namin,38.423,48.477,seismic,Statins_BHRC,0.110341,0.082855942,0.017769841,0.016679743,0,0,0,0,0.0738495,0.059116521,0.015348466,0.008474696,0.0385496,0.018390013,0.010478103,0.016679743,0.110341,0.082855942,0.017769841,0.013345714
1725,Sarab,37.935,47.541,seismic,Statins_BHRC,0.0619754,0.068753991,0.073175852,0.06302729,0,0,0,0,0.0439669,0.0582251,0.073175852,0.06302729,0.0246171,0.024881678,0.034303719,0.01988092,0.0619754,0.068753991,0.072662528,0.045795108
1730,Tazeh Kandi,39.03,47.73,seismic,Statins_BHRC,0.0251058,0.11033337,0.033004638,0.023557906,0,0,0,0,0.0218241,0.069526836,0.028012062,0.009905496,0.0139069,0.041215428,0.012434083,0.009725256,0.0251058,0.11033337,0.033004638,0.023557906
1731,Meshkin Shahr,38.39,47.67,seismic,Statins_BHRC,0.025705,0.061808138,0.02809328,0.019513568,0,0,0,0,0.0204058,0.047706193,0.020486949,0.01602272,0.0206665,0.039595096,0.020817474,0.01653758,0.025705,0.061808138,0.02809328,0.019513568
1732,Givi,37.683,48.343,seismic,Statins_BHRC,0.0167143,0.043990897,0.035795177,0.0163484,0,0,0,0,0.0167143,0.043990897,0.014393897,0.012055857,0.0155514,0.026219826,0.035795177,0.007291134,0.0127694,0.023436211,0.019516006,0.0163484
1733,Helabad,37.92,48.42,seismic,Statins_BHRC,0.0796835,0.198457718,0.204819055,0.050637205,0,0,0,0,0.0600935,0.183450212,0.156025913,0.027981089,0.0206158,0.054298514,0.019447627,0.010711079,0.0796835,0.198457718,0.204819055,0.050637205
1735,Khalkhal,37.608,48.537,seismic,Statins_BHRC,0.0192264,0.054069835,0.017106249,0.009939246,0,0,0,0,0.0192264,0.052751062,0.016474762,0.009202344,0.0127923,0.021700876,0.008615725,0.007155498,0.0173002,0.054069835,0.017106249,0.009939246
1833/02,Kariq,37.918,48.062,seismic,Statins_BHRC,0.615502,0.62288438,0.10050959,0.045993244,0,0,0,0,0.615502,0.62288438,0.10050959,0.040817651,0.216508,0.108215426,0.038679869,0.026663956,0.569216,0.604536823,0.081591905,0.045993244
1836,Khajeh,38.154,46.589,seismic,Statins_BHRC,0.0120923,0.059631631,0.009213995,0.004158002,0,0,0,0,0.00834198,0.037643947,0.008029416,0.004158002,0.00463609,0.009406982,0.004523311,0.00179531,0.0120923,0.059631631,0.009213995,0.003340904
1938/01,Kaleibar,38.863,47.043,seismic,Statins_BHRC,0.0251703,0.015897851,0.003991759,0.001610889,0,0,0,0,0.0251703,0.015897851,0.003991759,0.00154769,0.0100788,0.004333973,0.002113358,0.001343007,0.0143694,0.011283383,0.002722018,0.001610889
1940,Liqvan,37.833,46.432,seismic,Statins_BHRC,0.0109468,0.04174321,0.021161393,0.006429628,0,0,0,0,0.00906481,0.022815407,0.021161393,0.004251867,0.00508609,0.018514505,0.008931068,0.002401447,0.0109468,0.04174321,0.019795405,0.006429628
1970,Masal,37.37,49.127,seismic,Statins_BHRC,0.0131871,0.027748562,0.025699582,0.010824897,0,0,0,0,0.0131871,0.027748562,0.025699582,0.010824897,0.00421488,0.009257542,0.008682723,0.004525313,0.0109471,0.020990428,0.012347487,0.004608145
