STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV
0CAN,CANTIANO,43.472301,12.6308,seismic,INGV,C (inferred from geology),0.002935906,0.0,0.006555708115381,0.0,0.0037418023625979,0.0,0.0025542041794559,0.0,,C (inferred from geology),,
ACC,ACCUMOLI,42.695999,13.242,seismic,INGV,A (inferred from geology),0.087838158,0.0,0.1271224965920665,0.0,0.0605164139809822,0.0,0.03119899877057,0.0,,A (inferred from geology),,
ACT,ACQUASANTA TERME,42.771301,13.4125,seismic,INGV,D (inferred from geology),0.0723332439999999,0.0,0.0549640276776665,0.0,0.0142691627822777,0.0,0.0137273033946813,0.0,,D (inferred from geology),,
AMT,AMATRICE,42.63246,13.286176,seismic,INGV,B,0.31921933,0.0,0.6059920808752406,0.0,0.2881348945651741,0.0,0.1267373173238977,0.0,670.0,B,,
ANT,ANTRODOCO,42.41811,13.078598,seismic,INGV,A,0.010238745,0.0,0.0327449687391648,0.0,0.0265203205925911,0.0,0.0272009140651981,0.0,912.0,A,,
APEC,APECCHIO,43.55846,12.41991,seismic,INGV,C (inferred from geology),0.001577183,0.0,0.0046996573972913,0.0,0.0037869159790343,0.0,0.0037658942118132,0.0,,C (inferred from geology),,
AQA,L AQUILA   V. ATERNO    F. ATERNO,42.37553,13.339298,seismic,INGV,B,0.04134679,0.0,0.0876233222652081,0.0,0.0288974863904947,0.0,0.0114281512516308,0.0,549.0,B,,
AQF,L AQUILA   V. ATERNO    FERRIERA,42.380539,13.35474,seismic,INGV,B (inferred from geology),0.064867729,0.0,0.1047872190878587,0.0,0.0284959082891877,0.0,0.0097288675364486,0.0,,B (inferred from geology),,
AQG,L AQUILA   V. ATERNO    COLLE GRILLI,42.373474,13.337026,seismic,INGV,B,0.057397709,0.0,0.0869080126403082,0.0,0.0489423099593578,0.0,0.0154695815666637,0.0,696.0,B,,
AQK,L AQUILA   V. ATERNO   AQUIL PARK ING.,42.344967,13.400949,seismic,INGV,B,0.02446504,0.0,0.0611554522121911,0.0,0.0657963549669248,0.0,0.0301822350469677,0.0,705.0,B,,
AQU,L AQUILA  ITALY,42.354,13.405,seismic,INGV,B (inferred from geology),0.02116172,0.0,0.0403473008196349,0.0,0.0273745780694987,0.0,0.0163736913435584,0.0,,B (inferred from geology),,
AQV,L AQUILA   V. ATERNO   CENTRO VALLE,42.377222,13.343888,seismic,INGV,B,0.064452843,0.0,0.0988330583673311,0.0,0.0523043620451063,0.0,0.0164786334734553,0.0,474.0,B,,
ASP,ASCOLI PICENO,42.848,13.6479,seismic,INGV,B,0.105180351,0.0,0.1210355560517123,0.0,0.0215164427191276,0.0,0.0153448827720588,0.0,599.0,B,,
ASS,ASSISI,43.074982,12.604141,seismic,INGV,A (inferred from geology),0.008664789,0.0,0.0151034700425254,0.0,0.0055640576999913,0.0,0.0033532746745261,0.0,,A (inferred from geology),,
ATCC,AVT   CASA CASTALDA,43.18514,12.63994,seismic,INGV,E,0.006045458,0.0,0.0129110951548613,0.0,0.0066700366112999,0.0,0.0051809838328855,0.0,653.0,E,,
ATFO,MONTE FOCE   GUBBIO,43.3666,12.5715,seismic,INGV,A (inferred from geology),0.002099504,0.0,0.0048266213460362,0.0,0.0038006067869684,0.0,0.0033275163979714,0.0,,A (inferred from geology),,
ATLO,AVT   MONTELOVESCO,43.31516,12.40726,seismic,INGV,B,0.001517773,0.0,0.0032668994800121,0.0,0.0032874830504548,0.0,0.0036509668042694,0.0,761.0,B,,
ATPC,POGGIO CASTELLACCIO,43.4807,12.457,seismic,INGV,B (inferred from geology),0.002306868,0.0,0.0084081443094419,0.0,0.0031254201313987,0.0,0.0031530059790052,0.0,,B (inferred from geology),,
ATVO,AVT   MONTE VALENTINO,43.38211,12.40663,seismic,INGV,A,0.001474921,0.0,0.00296788477881,0.0,0.0034268990989905,0.0,0.0024302104177591,0.0,1036.0,A,,
AVZ,AVEZZANO,42.027458,13.425929,seismic,INGV,C,0.006036972,0.0,0.0174769916310708,0.0,0.0130099866515521,0.0,0.0111197324278253,0.0,199.0,C,,
BGR,BAGNO DI ROMAGNA,43.889511,11.991291,seismic,INGV,A,0.000681035,0.0,0.00109808539161,0.0,0.001813456587063,0.0,0.0022234906117158,0.0,829.0,A,,
BIOG,CAMPOREALE  ARIANO IRPINO,41.199899,15.132629,seismic,INGV,C,0.000401446,0.0,0.0004901649328247,0.0,0.0009990621844549,0.0,0.0012736123299735,0.0,229.0,C,,
BRIS,BRISIGHELLA,44.22454,11.76657,seismic,INGV,B (inferred from geology),0.00059334,0.0,0.0012973348185214,0.0,0.0009286632237452,0.0,0.0012235702572165,0.0,,B (inferred from geology),,
BRS,BARISCIANO,42.324272,13.59007,seismic,INGV,E,0.0401437839999999,0.0,0.0369169990763478,0.0,0.0143398662563523,0.0,0.0084420672387775,0.0,444.0,E,,
BSS,BUSSI,42.191732,13.845266,seismic,INGV,B (inferred from geology),0.008376464,0.0,0.0201119719033043,0.0,0.0236522412165996,0.0,0.0100513588225663,0.0,,B (inferred from geology),,
BVG,BEVAGNA,42.932367,12.611065,seismic,INGV,C,0.014927252,0.0,0.0420105883285524,0.0,0.0322752309063142,0.0,0.0150504680103535,0.0,211.0,C,,
BZZ,BAZZANO,42.337025,13.468575,seismic,INGV,B,0.018711157,0.0,0.0305036076749568,0.0,0.0349167244126045,0.0,0.0164465784721359,0.0,679.0,B,,
CADA,CAPODARCO,43.1942,13.7614,seismic,INGV,B (inferred from geology),0.010063216,0.0,0.0304884659270743,0.0,0.0217763454178753,0.0,0.013791620501561,0.0,,B (inferred from geology),,
CAFI,CASTIGLION FIORENTINO,43.3292,11.9663,seismic,INGV,B (inferred from geology),0.000962013,0.0,0.0023283514281942,0.0,0.0020665330172068,0.0,0.0024197491977666,0.0,,B (inferred from geology),,
CCT,CITTA DI CASTELLO (TRESTINA),43.3683,12.2346,seismic,INGV,C,0.004681723,0.0,0.0128020685477097,0.0,0.0092749341353565,0.0,0.0103198470906606,0.0,316.0,C,,
CERA,FILIGNANO,41.5978,14.0183,seismic,INGV,A (inferred from geology),0.001083917,0.0,0.0034481795809855,0.0,0.0032492471300467,0.0,0.0018006416170713,0.0,,A (inferred from geology),,
CIMA,CIVITANOVA MARCHE,43.305297,13.670091,seismic,INGV,B,0.007819688,0.0,0.0218119220858664,0.0,0.0149097279949612,0.0,0.0102511401506517,0.0,443.0,B,,
CLF,COLFIORITO,43.036714,12.920428,seismic,INGV,D,0.011369462,0.0,0.0234231516694031,0.0,0.0206536733716428,0.0,0.0337594104145389,0.0,145.0,D,,
CLN,CELANO,42.085224,13.520722,seismic,INGV,B (inferred from geology),0.003315823,0.0,0.0056221599756337,0.0,0.0048748866577394,0.0,0.0036249081781179,0.0,,B (inferred from geology),,
CMI,CAMPI,42.850399,13.0928,seismic,INGV,C (inferred from geology),0.043591816,0.0,0.0784084529099157,0.0,0.0364645424930611,0.0,0.0253654636348564,0.0,,C (inferred from geology),,
CMPO,CAMPOTTO PO,44.5808,11.8056,seismic,INGV,D,0.000841074,0.0,0.0010995923399446,0.0,0.0014505766477189,0.0,0.0025464418041634,0.0,116.0,D,,
CNE,CASTELSANTANGELO SUL NERA,42.894402,13.1528,seismic,INGV,C (inferred from geology),0.065928947,0.0,0.1081755598690951,0.0,0.0194432546469102,0.0,0.0058828373408584,0.0,,C (inferred from geology),,
CNO,CAMERINO,43.142101,13.0792,seismic,INGV,B,0.0129254479999999,0.0,0.0268918012332453,0.0,0.0235003855136692,0.0,0.0097477318826934,0.0,401.0,B,,
COR1,CORINALDO,43.63183,13.00033,seismic,INGV,D (inferred from geology),0.00496151,0.0,0.015513728006475,0.0,0.0143153809307927,0.0,0.0086908205864406,0.0,,D (inferred from geology),,
CPGN,CARPEGNA,43.8011,12.3205,seismic,INGV,A (inferred from geology),0.001227812,0.0,0.0032091939168861,0.0,0.0026699694563583,0.0,0.0030041477482464,0.0,,A (inferred from geology),,
CPS,CAPESTRANO,42.271618,13.758301,seismic,INGV,B,0.008897033,0.0,0.0191685808993549,0.0,0.0169993001007029,0.0,0.0084647737911029,0.0,732.0,B,,
CPT,CERRETO DI SPOLETO,42.8274,12.9251,seismic,INGV,A (inferred from geology),0.043128071,0.0,0.0323706283825871,0.0,0.0098036325492515,0.0,0.0080957808018612,0.0,,A (inferred from geology),,
CRMI,CARMIGNANO,43.795597,10.979506,seismic,INGV,B (inferred from geology),0.000111872,0.0,0.000306392194968,0.0,0.0002643779934374,0.0,0.0002801892258091,0.0,,B (inferred from geology),,
CSA,CASTELNUOVO  ASSISI,43.008015,12.590602,seismic,INGV,C,0.01044393,0.0,0.0328549391656805,0.0,0.0236757679207402,0.0,0.022301292684302,0.0,200.0,C,,
CSC,CASCIA,42.719097,13.01228,seismic,INGV,B,0.053483917,0.0,0.0773968137618182,0.0,0.0386972283436176,0.0,0.0127060375126324,0.0,698.0,B,,
CSD,CASTEL VISCARDO,42.754048,12.003539,seismic,INGV,B,0.004535305,0.0,0.0125078041132691,0.0,0.0037484032307086,0.0,0.0042098108139984,0.0,466.0,B,,
CSN,CESENA,44.137005,12.241408,seismic,INGV,B,0.001498026,0.0,0.0038236694350056,0.0,0.0025643782495124,0.0,0.0018301351621237,0.0,541.0,B,,
CSO1,CARSOLI1,42.100933,13.088044,seismic,INGV,B (inferred from geology),0.003498226,0.0,0.0109313924991663,0.0,0.0084268718600148,0.0,0.0035812665249239,0.0,,B (inferred from geology),,
CSS,CASSINO,41.48579,13.82309,seismic,INGV,B,0.000797237,0.0,0.0042587900083855,0.0,0.0027547776281352,0.0,0.0012780855751933,0.0,648.0,B,,
CTD,CITTADUCALE,42.388366,12.947702,seismic,INGV,B,0.024266178,0.0,0.0472101703276991,0.0,0.0299939147248955,0.0,0.0086726233505875,0.0,407.0,B,,
DUR,DURONIA,41.6611,14.4565,seismic,INGV,B (inferred from geology),0.00095761,0.0,0.0018959281172351,0.0,0.0026413810226232,0.0,0.0019367240260557,0.0,,B (inferred from geology),,
FBR,FABRIANO,43.343601,12.9119,seismic,INGV,C (inferred from geology),0.007667174,0.0,0.0186953039448781,0.0,0.0082870584743345,0.0,0.003901036318684,0.0,,C (inferred from geology),,
FEMA,MONTE FEMA,42.9621,13.04976,seismic,INGV,A (inferred from geology),0.027930832,0.0,0.02878802422627,0.0,0.0134789356941051,0.0,0.0081278883508554,0.0,,A (inferred from geology),,
FIAM,FIAMIGNANO,42.26802,13.11718,seismic,INGV,B,0.005159713,0.0,0.0134312915895738,0.0,0.0088479853132799,0.0,0.0072847179829651,0.0,790.0,B,,
FIU1,FIUMINATA,43.188561,12.931604,seismic,INGV,A (inferred from geology),0.006715846,0.0,0.0121169115227807,0.0,0.0053490829454245,0.0,0.0027442185389453,0.0,,A (inferred from geology),,
FMT,FIUMINATA,43.188,12.9332,seismic,INGV,D (inferred from geology),0.018704901,0.0,0.0494847491874863,0.0,0.0108973661991646,0.0,0.0034838612133806,0.0,,D (inferred from geology),,
FOCC,FOLIGNO COMANDO CARABINIERI,42.957401,12.7079,seismic,INGV,B,0.046658276,0.0,0.0260595530545403,0.0,0.0099644394064967,0.0,0.0078937338321864,0.0,593.0,B,,
FOPC,FOLIGNO NORD,42.9697,12.7031,seismic,INGV,C (inferred from geology),0.011864518,0.0,0.0350985754710619,0.0,0.0129129316228557,0.0,0.0066784474111984,0.0,,C (inferred from geology),,
FOSV,FOSSATO DI VICO,43.29483,12.76117,seismic,INGV,B (inferred from geology),0.015671279,0.0,0.0202519874460604,0.0,0.0079925464536114,0.0,0.0038310805553924,0.0,,B (inferred from geology),,
GAG1,GAGLIOLE,43.238063,13.067434,seismic,INGV,B (inferred from geology),0.0131866179999999,0.0,0.044190923651317,0.0,0.0151294559672923,0.0,0.0048346291052168,0.0,,B (inferred from geology),,
GATE,GAMBATESA,41.513145,14.910201,seismic,INGV,B (inferred from geology),0.000216898,0.0,0.0005102191130086,0.0,0.0007178525721213,0.0,0.0005564755915098,0.0,,B (inferred from geology),,
GLT,GUALDO TADINO,43.233101,12.789001,seismic,INGV,A (inferred from geology),0.001999208,0.0,0.0056700369849006,0.0,0.0037171033906593,0.0,0.0021710469109954,0.0,,A (inferred from geology),,
GRD,GUARDIAGRELE,42.178505,14.179851,seismic,INGV,B (inferred from geology),0.003728646,0.0,0.0043463992881083,0.0,0.0056386504138607,0.0,0.0025774028039363,0.0,,B (inferred from geology),,
GRN,GUARCINO,41.81346,13.316985,seismic,INGV,B (inferred from geology),0.001395347,0.0,0.003916178001777,0.0,0.0035093172450715,0.0,0.0026098829645284,0.0,,B (inferred from geology),,
GSA,GRAN SASSO  LAB. INFN ASSERGI,42.420689,13.519362,seismic,INGV,B,0.049376404,0.0,0.0840633220465734,0.0,0.0374792776335584,0.0,0.0210714676002922,0.0,492.0,B,,
IMOL,IMOLA,44.35955,11.74248,seismic,INGV,C (inferred from geology),0.000482567,0.0,0.0013471183012615,0.0,0.000980937364462,0.0,0.0015282840459195,0.0,,C (inferred from geology),,
LAT,LATINA,41.472301,12.9072,seismic,INGV,C (inferred from geology),0.001514913,0.0,0.0041197295097714,0.0,0.0041738433692716,0.0,0.0036775794403967,0.0,,C (inferred from geology),,
LAV9,LANUVIO,41.67778,12.69888,seismic,INGV,C,0.003223469,0.0,0.0077057995338056,0.0,0.007674138068983,0.0,0.0039664559581878,0.0,286.0,C,,
LSS,LEONESSA  NUOVA,42.558243,12.968894,seismic,INGV,A,0.01833436,0.0,0.0345469798826527,0.0,0.0193238409457857,0.0,0.0095060909750072,0.0,1091.0,A,,
MCS,MERCATO SARACENO  NUOVA,43.994366,12.107441,seismic,INGV,B,0.00073496,0.0,0.0029055592635198,0.0,0.0012878028961406,0.0,0.0014632771789368,0.0,568.0,B,,
MCT,MACERATA,43.292511,13.418895,seismic,INGV,C (inferred from geology),0.018284239,0.0,0.0552963491117215,0.0,0.0288892739669839,0.0,0.0107464000046133,0.0,,C (inferred from geology),,
MCV,MONTECAVALLO,42.993401,13.0013,seismic,INGV,C (inferred from geology),0.030584612,0.0,0.0232975749827515,0.0,0.0047697047089634,0.0,0.0032354800128886,0.0,,C (inferred from geology),,
MDAR,MONTE DARIA,43.1927,13.1427,seismic,INGV,A (inferred from geology),0.006905869,0.0,0.0102275023124363,0.0,0.0082618046209888,0.0,0.0027064988614942,0.0,,A (inferred from geology),,
MELA,MELANICO   S. CROCE DI MAGLIANO,41.7059,15.127,seismic,INGV,A (inferred from geology),0.000826385,0.0,0.0019427971961936,0.0,0.0025815965210911,0.0,0.002169368826996,0.0,,A (inferred from geology),,
MGAB,MONTEGABBIONE,42.91263,12.11214,seismic,INGV,A (inferred from geology),0.004950332,0.0,0.0140298735410582,0.0,0.0085340467131667,0.0,0.0078203434150099,0.0,,A (inferred from geology),,
MIDA,MIRANDA,41.64188,14.25402,seismic,INGV,A (inferred from geology),0.000790293,0.0,0.0021309748611416,0.0,0.0021151708969719,0.0,0.0016513387080871,0.0,,A (inferred from geology),,
MMP1,MOMPEO 1,42.249229,12.748319,seismic,INGV,A,0.0046627599999999,0.0,0.0154167064697523,0.0,0.0099341011408274,0.0,0.0049720259472824,0.0,800.0,A,,
MNF,MONTE FIEGNI  FIASTRA,43.059684,13.184466,seismic,INGV,A,0.013527001,0.0,0.01600460070298,0.0,0.0054618947078231,0.0,0.0041298701574513,0.0,1062.0,A,,
MNTP,MONTAPPONE,43.137378,13.469252,seismic,INGV,C (inferred from geology),0.039186176,0.0,0.0851042335715418,0.0,0.015886137484045,0.0,0.0153659116224242,0.0,,C (inferred from geology),,
MOMA,MONTE MARTANO,42.80387,12.570071,seismic,INGV,A (inferred from geology),0.021894247,0.0,0.0435124218985688,0.0,0.0097938298089277,0.0,0.0036353511698572,0.0,,A (inferred from geology),,
MRB1,MONTE ROCCHETTA,41.1227,14.96815,seismic,INGV,B,0.000258018,0.0,0.0004315761354478,0.0,0.0009571344765459,0.0,0.0010049207716713,0.0,448.0,B,,
MRLC,MURO LUCANO,40.7564,15.48892,seismic,INGV,A,6.8589e-05,0.0,0.0001704070415431,0.0,0.000160017571231,0.0,0.00012254856949,0.0,861.0,A,,
MSAG,MONTE S. ANGELO,41.712,15.9096,seismic,INGV,A (inferred from geology),0.000689331,0.0,0.0021965403235533,0.0,0.0031801244652257,0.0,0.0009280095737612,0.0,,A (inferred from geology),,
MSCT,MASCIONI (CAMPOTOSTO) 2,42.526699,13.3509,seismic,INGV,B,0.262480072,0.0,0.4921515791215972,0.0,0.3291558794350199,0.0,0.1430051633542143,0.0,652.0,B,,
MTC,MONTECASSINO (CASSINO),41.490828,13.815002,seismic,INGV,A,0.0011129409999999,0.0,0.0029605501221504,0.0,0.00349152473869,0.0,0.0018138907861619,0.0,827.0,A,,
MTL1,MATELICA,43.256732,13.009601,seismic,INGV,C (inferred from geology),0.007662626,0.0,0.0197416156362465,0.0,0.01437541326415,0.0,0.0063063589608422,0.0,,C (inferred from geology),,
MURB,MONTE URBINO,43.263,12.5246,seismic,INGV,B (inferred from geology),0.009590682,0.0,0.0387652778368746,0.0,0.0085435562961754,0.0,0.0051588423227084,0.0,,B (inferred from geology),,
NCR,NOCERA UMBRA,43.111583,12.784666,seismic,INGV,E,0.027356674,0.0,0.016314421096317,0.0,0.0052144742079609,0.0,0.0048358881886215,0.0,555.0,E,,
NOR,NORCIA LA CASTELLINA,42.792442,13.092422,seismic,INGV,B,0.027429983,0.0,0.0882747830092469,0.0,0.0376885744027623,0.0,0.0566452240059124,0.0,423.0,B,,
NRC,NORCIA,42.792543,13.096475,seismic,INGV,B,0.038334541,0.0,0.0640166266584472,0.0,0.0406774161873858,0.0,0.0394737188588338,0.0,498.0,B,,
NRN,NARNI,42.51556,12.51944,seismic,INGV,A,0.005986844,0.0,0.021929413043563,0.0,0.0105278370325706,0.0,0.0037512524558419,0.0,811.0,A,,
ORC,ORTUCCHIO  NUOVA,41.953606,13.642346,seismic,INGV,B,0.0028695409999999,0.0,0.0086917584398299,0.0,0.006279416960257,0.0,0.0063115231334057,0.0,767.0,B,,
OSSC,OSSC,43.52358,11.24579,seismic,INGV,B (inferred from geology),0.000179195,0.0,0.00033799875178,0.0,0.0005621912337123,0.0,0.0005254467326948,0.0,,B (inferred from geology),,
PAN,PANICALE,43.00581,12.14362,seismic,INGV,A,0.001143796,0.0,0.0027334148361285,0.0,0.003231694479017,0.0,0.0023865855351588,0.0,980.0,A,,
PBN,PIEVEBOVIGLIANA,43.063702,13.0821,seismic,INGV,C (inferred from geology),0.031510193,0.0,0.0181346230752164,0.0,0.0083984963926979,0.0,0.0036279597096142,0.0,,C (inferred from geology),,
PCB,POGGIO CANCELLI  BASE DIGA,42.558022,13.33799,seismic,INGV,B (inferred from geology),0.5843308110000001,0.0,0.8589079127550598,0.0,0.3108162027338088,0.0,0.1017745194946243,0.0,,B (inferred from geology),,
PCRO,PIETRALACROCE  ANCONA,43.60768,13.53233,seismic,INGV,B (inferred from geology),0.008070043,0.0,0.0268035830536208,0.0,0.0128327837675259,0.0,0.0082589809431383,0.0,,B (inferred from geology),,
PGG,POGGIO PICENZE,42.322872,13.539446,seismic,INGV,B (inferred from geology),0.043430103,0.0,0.1017994893718254,0.0,0.0532035277408125,0.0,0.0116715314842601,0.0,,B (inferred from geology),,
PIEI,PIEIA,43.53567,12.535,seismic,INGV,A (inferred from geology),0.002610714,0.0,0.0080349522142996,0.0,0.0019151595567419,0.0,0.0022037497323999,0.0,,A (inferred from geology),,
PIGN,PIGNATARO MAGGIORE  CE,41.200001,14.17989,seismic,INGV,A (inferred from geology),0.000159952,0.0,0.0003059456589367,0.0,0.0005583129390159,0.0,0.0003909866409015,0.0,,A (inferred from geology),,
PIO1,PIORACO,43.178198,12.983759,seismic,INGV,D (inferred from geology),0.003952448,0.0,0.0078826808203059,0.0,0.005973364119986,0.0,0.0076442895967074,0.0,,D (inferred from geology),,
