FIELD,DESCRIPTION
Year,1995
Country,Greece
Region,Europe
Event Name,Aigio 1995
Local Date,15/06/1995
Local Time,03:15:48
Latitude (decimal degrees),38.401
Longitude (decimal degrees),22.283
Depth (km),14.2
Mw,6.5
Max Intensity (MMI),VIII
Fault mechanism,Normal
Tectonic region type,Active Shallow Crust
Fatalities,~26
Injured,60-200
Displaced population,2100-6300
Affected population,~13900
Affected units,3400 Buildings
Damaged units,2300 Buildings
Collapsed units,2000 Buildings
Economic losses,422.7-660 M USD
Insured losses,0.2 M USD
Earthquake-triggered effects,
USGS event ID,usp0006z34
Wikipedia page,https://en.wikipedia.org/wiki/1995 Aigio earthquake
