ID_1,NAME_1,ID_2,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
CO27,Chocó,CO27250,El Litoral del San Juan,,RES,,124,,,,27.0,,Shaking,Reliefweb,
CO27,Chocó,CO27250,El Litoral del San Juan,,EDU,,1,,,,,,Shaking,Reliefweb,
CO27,Chocó,CO27250,El Litoral del San Juan,,GOV,,1,,,,,,Shaking,Reliefweb,
CO27,Chocó,CO27077,Bajo Baudó,,RES,,437,,,,101.0,,Shaking,Reliefweb,
CO27,Chocó,CO27077,Bajo Baudó,,EDU,,9,,,,,,Shaking,Reliefweb,
CO27,Chocó,CO27077,Bajo Baudó,,COM6,,3,,,,,,Shaking,Reliefweb,
CO27,Chocó,CO27077,Bajo Baudó,,COM4,,4,,,,,,Shaking,Reliefweb,
CO27,Chocó,CO27077,Bajo Baudó,,ASS ,,2,,,,,,Shaking,Reliefweb,
CO27,Chocó,CO27430,Medio Baudó,,RES,,249,,,,72.0,,Shaking,Reliefweb,
CO27,Chocó,CO27430,Medio Baudó,,EDU,,3,,,,,,Shaking,Reliefweb,
CO27,Chocó,CO27430,Medio Baudó,,COM,,1,,,,,,Shaking,Reliefweb,
CO27,Chocó,CO27430,Medio Baudó,,ASS ,,1,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76001,Cali,,RES,,610,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76001,Cali,,COM4,,2,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76001,Cali,,OCO,,12,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76109,Buenaventura,,RES,,91,,,,37.0,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76109,Buenaventura,,ASS ,,1,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76248,El Cerrito,,RES,,2,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76606,Restrepo,,RES,,1,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76606,Restrepo,,COM,,1,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76606,Restrepo,,ASS ,,1,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76895,Zarzal,,EDU,,2,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76895,Zarzal,,COM4,,1,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76895,Zarzal,,RES,,3,,,,1.0,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76113,Bugalagrande,,EDU,,1,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76113,Bugalagrande,,COM4,,1,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76113,Bugalagrande,,RES,,3,,,,,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76126,Calima,,RES,,10,,,,2.0,,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76869,Vijes,,ASS ,,1,,,,,,Shaking,Reliefweb,
