# 20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:250km
custom_site_id,lon,lat,"AbrahamsonEtAl2014
region = ""CHN""",AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,CauzziEtAl2014,ChiouYoungs2014,YoungsEtAl1997SInter,ZhaoEtAl2016SInter
m_10,85.5292,27.847,0.24804129,0.24012601,0.08901788,0.15674856,0.2950828,0.12573928,0.57735866
m_100,85.3206,27.613,0.22361399,0.22630757,0.1806858,0.19914135,0.2504258,0.20484264,0.32761395
m_101,85.3078,27.619,0.22340216,0.2299529,0.19103262,0.20081973,0.24691586,0.21375556,0.32359985
m_102,85.3021,27.625,0.23150344,0.22899918,0.19806637,0.21032366,0.25504032,0.21872172,0.31405765
m_103,84.5927,27.973,0.37318656,0.3127278,0.13150708,0.22587931,0.50467485,0.2030543,1.131969
m_104,85.2983,27.629,0.23255321,0.22948852,0.20358692,0.21253864,0.25472447,0.22282636,0.30882534
m_105,85.33,27.621,0.20816928,0.21560699,0.17589515,0.18832825,0.22931251,0.19589458,0.29379967
m_106,85.3835,27.604,0.20179796,0.22290738,0.15578753,0.17270194,0.22934575,0.18498719,0.30345824
m_107,85.319,27.625,0.21532673,0.21686763,0.18363595,0.19643861,0.23645338,0.20228145,0.29027477
m_108,85.2989,27.634,0.2278159,0.22610077,0.20528786,0.21029675,0.24707285,0.2219254,0.29358774
m_109,85.2905,27.639,0.19098605,0.22566302,0.14580354,0.18641844,0.20315851,0.16049631,0.2526191
m_11,85.7222,27.7707,0.2936705,0.2636632,0.08731239,0.17193379,0.36281893,0.1291265,0.7168869
m_110,85.5326,27.567,0.28918892,0.27511263,0.13797113,0.2016909,0.36697772,0.19345134,0.61172295
m_111,85.5023,27.576,0.27685085,0.26556924,0.13993062,0.19945018,0.3463496,0.19125386,0.64680445
m_112,85.2991,27.64,0.22239734,0.22228909,0.20755598,0.20770538,0.23847505,0.22105621,0.27667868
m_113,85.3287,27.631,0.19944993,0.20663337,0.17662174,0.18416695,0.21614142,0.19198138,0.26301926
m_114,85.545,27.565,0.3257751,0.26254365,0.15286973,0.24016927,0.42023128,0.19418482,0.7523793
m_115,85.3193,27.636,0.20276986,0.20747466,0.18376973,0.18912591,0.21800332,0.19724078,0.25685006
m_116,85.2962,27.644,0.2300653,0.22195554,0.213605,0.21690549,0.24583037,0.22561814,0.27285743
m_117,85.3027,27.643,0.22040592,0.21524125,0.20335117,0.20797412,0.23533587,0.21492612,0.2619829
m_118,85.3072,27.643,0.21383429,0.21056478,0.19709407,0.20205647,0.22797816,0.20817152,0.25390315
m_119,85.3572,27.627,0.21335736,0.19080475,0.18116187,0.19956656,0.23371606,0.18045318,0.26832193
m_12,84.8008,28.2189,0.30073503,0.25732356,0.08635271,0.1659869,0.37041607,0.12926911,0.7766431
m_120,85.5087,27.581,0.28303573,0.26395828,0.1395106,0.20339847,0.3560602,0.1907213,0.64786446
m_121,84.6047,27.987,0.36773553,0.3104014,0.13145015,0.21961337,0.4921453,0.20232248,1.1212574
m_122,85.3456,27.633,0.20856282,0.1871938,0.18560089,0.19835642,0.22551739,0.18122882,0.2495301
m_123,85.3284,27.639,0.1899518,0.19935893,0.1758071,0.17831615,0.20276353,0.1876019,0.23986407
m_124,85.3385,27.636,0.18770406,0.19788533,0.16985011,0.17487344,0.20150368,0.18298323,0.24300665
m_125,85.502,27.586,0.2715956,0.26110163,0.14000584,0.19622374,0.3375909,0.18969986,0.62272465
m_126,85.5297,27.578,0.28143433,0.27104893,0.1382,0.19691762,0.3531333,0.19214539,0.5885364
m_127,85.2999,27.655,0.2140654,0.21199454,0.20973039,0.20621236,0.22338936,0.21602367,0.23880306
m_128,85.2966,27.658,0.2181576,0.2155567,0.21728311,0.21088347,0.22670867,0.22248122,0.24003457
m_129,85.3428,27.643,0.19488229,0.18103606,0.16603883,0.18698375,0.2069622,0.17625682,0.22190954
m_13,85.4578,27.9371,0.2629497,0.24290085,0.088989556,0.15782,0.31277812,0.12724125,0.62323266
m_130,85.3064,27.655,0.20189618,0.20281698,0.19725372,0.19491102,0.21033427,0.20303492,0.22521268
m_131,85.5061,27.594,0.26913914,0.25934935,0.13974628,0.19387543,0.33288816,0.18886231,0.6152647
m_132,85.3183,27.656,0.1997708,0.17505941,0.1995616,0.20261006,0.20682275,0.18434991,0.20493534
m_133,85.3263,27.655,0.19296578,0.1709925,0.19119248,0.19420664,0.19996531,0.17723729,0.19993098
m_134,84.607,28.01,0.30801103,0.2952943,0.08732945,0.19025642,0.40712857,0.13729586,0.9227209
m_135,85.5284,27.593,0.27504396,0.265211,0.1382992,0.19297464,0.3422231,0.19018494,0.55976844
m_136,85.3121,27.662,0.19863142,0.1790942,0.20496951,0.20034945,0.20381957,0.18727559,0.19961892
m_137,84.6188,28.0,0.32794803,0.30360502,0.08738252,0.19856678,0.43391827,0.13743915,0.9242286
m_138,85.3043,27.668,0.20549291,0.1875146,0.2172706,0.20839761,0.20902817,0.19691445,0.2031072
m_139,84.6435,27.971,0.37827584,0.30909535,0.13165827,0.2288873,0.51196843,0.2025247,1.1192604
m_14,86.2435,27.622,0.21930453,0.1775596,0.08199437,0.1174149,0.15125445,0.10736667,0.48181415
m_140,85.3323,27.661,0.17232963,0.17079103,0.16386802,0.16876268,0.17729966,0.16768117,0.18341556
m_141,84.6272,27.995,0.35994157,0.3078012,0.13145277,0.21239455,0.47527137,0.20172429,0.92630386
m_142,85.319,27.667,0.18171065,0.16621536,0.1894936,0.1836159,0.18482468,0.17204145,0.17963584
m_143,85.5224,27.604,0.2565113,0.25960857,0.13866724,0.18325652,0.31525135,0.18863896,0.5324665
m_144,84.6258,28.002,0.359822,0.3068526,0.13140401,0.21166372,0.47434783,0.20144472,0.922635
m_145,85.538,27.602,0.27690434,0.26521814,0.13776384,0.19237818,0.34388226,0.18988256,0.56475466
m_146,85.3178,27.673,0.17399134,0.16051158,0.18423362,0.17650463,0.17548905,0.16612747,0.16914624
m_147,85.3334,27.668,0.16291636,0.16379897,0.15866244,0.1606867,0.16587532,0.16101846,0.17057864
m_148,85.3231,27.673,0.16881432,0.15629941,0.1782815,0.17087904,0.17026012,0.16107015,0.1650584
m_149,85.3111,27.677,0.17405282,0.17299846,0.17243207,0.17376286,0.17490408,0.172952,0.17503254
m_15,86.2538,27.602,0.21179655,0.17070128,0.081396736,0.11336077,0.14275339,0.10508198,0.45741132
m_150,85.3341,27.671,0.15936476,0.16128898,0.15637048,0.15752941,0.161574,0.15841536,0.16644558
m_151,85.3881,27.654,0.17950238,0.17922299,0.1529605,0.1661999,0.19111066,0.16462648,0.21991582
m_152,84.6152,28.03,0.31873637,0.2977027,0.08724436,0.19226977,0.41883448,0.13656622,0.90868396
m_153,85.3327,27.676,0.16473919,0.14343266,0.17079987,0.17448255,0.16614638,0.15511557,0.1169843
m_154,85.3075,27.685,0.17119156,0.14075626,0.19502953,0.22218974,0.1790988,0.17721553,0.1386661
m_155,85.2262,27.714,0.28436694,0.27280033,0.251633,0.23683196,0.31024298,0.2899176,0.39178514
m_156,85.3228,27.684,0.15189607,0.15445131,0.15152985,0.15123609,0.15179306,0.15284804,0.15693165
m_157,85.3114,27.688,0.16664238,0.1714663,0.1659288,0.1654745,0.16612808,0.1688752,0.17761591
m_158,84.6553,27.993,0.30764717,0.29487613,0.08747954,0.19009845,0.40633768,0.13737091,0.9192604
m_159,85.2769,27.708,0.25369906,0.2192692,0.27272817,0.25334874,0.26170307,0.2600494,0.30267164
m_16,85.4421,27.705,0.18780412,0.20478256,0.14239983,0.15150195,0.20681451,0.16868123,0.2761936
m_160,85.2609,27.713,0.25366098,0.25253668,0.25815025,0.22676964,0.2655617,0.2809056,0.35844514
m_161,85.4047,27.665,0.17427541,0.18378806,0.1497526,0.1571041,0.18662407,0.1634956,0.23186703
