# 20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:USGS
custom_site_id,lon,lat,"AbrahamsonEtAl2014
region = ""CHN""",AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,CauzziEtAl2014,ChiouYoungs2014,YoungsEtAl1997SInter,ZhaoEtAl2016SInter
t_0,82.93477,27.03676,0.105715446,0.06184055,0.05594593,0.063009836,0.07792238,0.059935365,0.022058008
t_1,82.93477,27.11675,0.1149679,0.06848438,0.057985995,0.06949683,0.08747033,0.062080704,0.029634213
t_10,82.93477,27.83404,0.091521375,0.054882705,0.06270528,0.054181475,0.065728456,0.07547243,0.033426855
t_100,83.20426,27.59546,0.15207751,0.094782524,0.08317634,0.08801012,0.12149879,0.09010631,0.045724336
t_1000,85.80938,27.67504,0.49793252,0.49576294,0.113904215,0.32932875,0.5806509,0.23135293,0.83994246
t_1001,85.80938,27.75457,0.45891324,0.4682556,0.11359451,0.30860287,0.5503849,0.22820148,0.8083514
t_1002,85.80938,27.83404,0.44750673,0.45489445,0.113284074,0.3000512,0.54918915,0.22522399,0.7795311
t_1003,85.80938,27.91345,0.43703473,0.44251034,0.11297094,0.29217213,0.5471955,0.22238047,0.75290465
t_1004,85.80938,27.9928,0.4273601,0.43097398,0.11265513,0.2848719,0.5445961,0.21965562,0.7281829
t_1005,85.80938,28.07209,0.4300877,0.42845133,0.11233535,0.2830189,0.5565759,0.21702588,0.7050359
t_1006,85.80938,28.15132,0.40902278,0.4088767,0.11197732,0.27099007,0.52760595,0.21421896,0.68107533
t_1007,85.80938,28.2305,0.37925434,0.3724598,0.1106091,0.2483809,0.44038337,0.20457423,0.6042641
t_1008,85.80938,28.30962,0.33665374,0.31961584,0.1078694,0.21608105,0.34790114,0.18880223,0.49510568
t_1009,85.80938,28.38867,0.32585412,0.28458458,0.16080704,0.1976943,0.30799598,0.2588435,0.39524662
t_101,83.20426,27.67504,0.14847541,0.09161926,0.084743604,0.08374507,0.11704656,0.09195303,0.04742989
t_1010,85.80938,28.46767,0.3235608,0.2625556,0.15404408,0.19394863,0.30075407,0.23579258,0.42070624
t_1011,85.80938,28.54661,0.29810628,0.23339473,0.1465306,0.17713144,0.26929998,0.2153695,0.3437075
t_1012,85.80938,28.6255,0.2129974,0.17094783,0.089877196,0.1268191,0.17697082,0.12768038,0.2117526
t_1013,85.80938,28.70432,0.24549639,0.18068805,0.131817,0.13916542,0.20892313,0.18224601,0.24071775
t_1014,85.80938,28.78308,0.24722643,0.18402296,0.13975267,0.1600072,0.21995491,0.16809092,0.14857887
t_1015,85.80938,28.86178,0.20474236,0.14280899,0.11751647,0.1133783,0.16790524,0.1553486,0.17423403
t_1016,85.80938,28.94043,0.19953264,0.13593501,0.11076849,0.11057037,0.16466756,0.1438644,0.14989588
t_1017,85.80938,29.01901,0.163748,0.109375365,0.104355134,0.09033336,0.12822536,0.13350642,0.09515017
t_1018,85.80938,29.09753,0.1314228,0.08919958,0.0633677,0.07638938,0.10151189,0.07625112,0.082583055
t_1019,85.80938,29.176,0.12544449,0.08309234,0.059507743,0.07250108,0.09618336,0.07027353,0.07186029
t_102,83.20426,27.75457,0.11284352,0.06981187,0.076598175,0.064369366,0.08359088,0.09337713,0.04900372
t_1020,85.80938,29.2544,0.11820094,0.076680295,0.05583034,0.0684009,0.08988166,0.0648184,0.06272382
