# 20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,AtkinsonMacias2009NSHMP2014.NRCan15SiteTerm,Kanno2006Shallow,ZhaoEtAl2006SInter
m_10,85.5292,27.847,0.30683056,0.117725834,0.6107973,0.55081,0.55598193
m_100,85.32060000000001,27.613,0.24351735,0.20297538,0.3090219,0.31959236,0.33799067
m_101,85.30779999999999,27.619,0.2454375,0.21274571,0.30519682,0.3057602,0.3357277
m_102,85.3021,27.625,0.24344254,0.21848744,0.29655096,0.31542858,0.32666484
m_103,84.59269999999998,27.973,0.41743457,0.19010471,0.9311889,1.2018502,1.1002015
m_104,85.29829999999998,27.629,0.24330662,0.22323893,0.29224792,0.31112832,0.32245854
m_105,85.32999999999998,27.621,0.22923604,0.19459064,0.2812749,0.27976024,0.30331978
m_106,85.38350000000003,27.604,0.24400437,0.18069921,0.33413076,0.30185065,0.2867052
m_107,85.31900000000002,27.625,0.23035565,0.20177102,0.27859297,0.2885195,0.30154398
m_108,85.2989,27.634,0.23824158,0.2229227,0.2800333,0.29452023,0.30738255
m_109,85.29050000000001,27.639,0.23301253,0.15485938,0.28221318,0.22526754,0.24789877
m_11,85.72219999999999,27.7707,0.35218838,0.12102455,0.7631609,0.7776527,0.7092096
m_110,85.5326,27.567,0.33751416,0.18290575,0.6201167,0.6827436,0.558827
m_111,85.50229999999999,27.576,0.3199353,0.18155546,0.5598338,0.61378074,0.63129056
m_112,85.29910000000001,27.64,0.23251587,0.22277994,0.2663529,0.27606156,0.29051408
m_113,85.32870000000003,27.631,0.21709387,0.19170275,0.25553098,0.25299433,0.2726657
m_114,85.54500000000002,27.565,0.33036345,0.20497973,0.6416005,0.95773304,0.73193437
m_115,85.3193,27.636,0.21699673,0.19768494,0.25049433,0.25175992,0.26757187
m_116,85.2962,27.644,0.23153509,0.22777082,0.26236698,0.28645867,0.28640407
m_117,85.30270000000002,27.643,0.2244473,0.21667059,0.2542346,0.27264354,0.27465653
m_118,85.30719999999997,27.643,0.21919203,0.2096868,0.24765693,0.26231217,0.26573253
m_119,85.35720000000003,27.627,0.20544405,0.2000368,0.25931844,0.31958556,0.27498198
m_12,84.80079999999998,28.2189,0.35019818,0.12285213,0.8293503,0.849406,0.78673166
m_120,85.50869999999998,27.581,0.3200121,0.1812581,0.5617054,0.64454037,0.63354087
m_121,84.60469999999998,27.987,0.41402748,0.19000064,0.9243816,1.156974,1.0926064
m_122,85.34559999999999,27.633,0.19956842,0.20190832,0.24374044,0.2974208,0.25734237
m_123,85.32839999999999,27.639,0.2071046,0.18789904,0.23562184,0.22793753,0.24890086
m_124,85.33850000000001,27.636,0.20641045,0.18267885,0.23803438,0.22921684,0.25104707
m_125,85.50200000000001,27.586,0.31382272,0.18061961,0.542132,0.58974767,0.60962296
m_126,85.52969999999999,27.578,0.33079168,0.18206945,0.59996855,0.6427929,0.53909963
m_127,85.29989999999998,27.655,0.2174574,0.21856831,0.2345347,0.24397345,0.24999458
m_128,85.29660000000001,27.658,0.22056234,0.22545525,0.23539782,0.24513343,0.2513717
m_129,85.34280000000001,27.643,0.18999381,0.17632218,0.21974915,0.25228062,0.22928497
m_13,85.45780000000002,27.9371,0.31826806,0.12004707,0.66262585,0.6189437,0.61143607
m_130,85.3064,27.655,0.20795484,0.20516881,0.22358501,0.22772324,0.23552948
m_131,85.5061,27.594,0.31135008,0.18000373,0.5361375,0.577517,0.60226876
m_132,85.31830000000002,27.656,0.18139109,0.20766456,0.20508319,0.25512335,0.212737
m_133,85.3263,27.655,0.17720856,0.19922976,0.2001543,0.24422146,0.20682028
m_134,84.60699999999997,28.01,0.391307,0.12417958,0.91705924,0.9117401,0.8591335
m_135,85.52840000000003,27.593,0.32248795,0.18090184,0.5757447,0.6118725,0.5156001
m_136,85.31209999999999,27.662,0.18386307,0.21123193,0.20058145,0.23754151,0.20691366
m_137,84.61879999999996,28.0,0.40220663,0.12421374,0.9161904,0.97942924,0.85834503
m_138,85.30430000000001,27.668,0.19094007,0.22192733,0.20352454,0.23607849,0.20891126
m_139,84.64350000000002,27.971,0.41121283,0.19009872,0.9174436,1.2359773,1.0848227
m_14,86.24349999999998,27.622,0.24599554,0.11650654,0.5630714,0.6684836,0.58996826
m_140,85.33230000000003,27.661,0.17407687,0.1683169,0.18421973,0.18988147,0.18817508
m_141,84.62720000000002,27.995,0.40895778,0.18991834,0.91573834,1.0989631,0.8579277
m_142,85.31900000000002,27.667,0.16966704,0.19366972,0.18162104,0.20860894,0.18480961
m_143,85.5224,27.604,0.31275767,0.17982876,0.55115366,0.5427911,0.4915864
m_144,84.62580000000003,28.002,0.408321,0.18987247,0.9145824,1.098051,0.85693556
m_145,85.53800000000001,27.602,0.32365653,0.18066943,0.581169,0.6188849,0.520859
m_146,85.31780000000003,27.673,0.16299266,0.1867572,0.1712389,0.19290173,0.17273298
m_147,85.33339999999998,27.668,0.16572805,0.16128379,0.17108952,0.17179906,0.17309135
m_148,85.32310000000001,27.673,0.15853074,0.180742,0.16639914,0.18626034,0.16767599
m_149,85.31110000000001,27.677,0.17367597,0.17319182,0.17555933,0.17766657,0.17624074
m_15,86.25380000000001,27.602,0.23614202,0.11556808,0.53566533,0.6487822,0.56989855
m_150,85.33410000000003,27.671,0.16253512,0.1583245,0.16615452,0.1649184,0.16747576
m_151,85.38810000000001,27.654,0.1878115,0.16350088,0.21532595,0.22125304,0.2227773
m_152,84.61520000000002,28.03,0.39607084,0.1240735,0.91002846,0.94471467,0.8530624
m_153,85.33269999999999,27.676,0.14593972,0.17267072,0.15945075,0.1959009,0.16165309
m_154,85.3075,27.685,0.14428017,0.19544071,0.17647849,0.26231304,0.18968305
m_155,85.2262,27.714,0.29614204,0.28403804,0.36950922,0.38855097,0.35167533
m_156,85.32280000000003,27.684,0.15428962,0.15134414,0.15300249,0.14930029,0.15247937
m_157,85.31139999999999,27.688,0.17053057,0.1652885,0.1673337,0.16039543,0.16644198
m_158,84.65530000000001,27.993,0.38795894,0.124235995,0.9087221,0.90464467,0.8517774
m_159,85.27690000000001,27.708,0.22699934,0.2824088,0.24418974,0.31576696,0.27206138
m_16,85.44209999999998,27.705,0.22680098,0.16382416,0.30137113,0.26143888,0.25367707
m_160,85.26089999999999,27.713,0.2628567,0.2744997,0.28434244,0.28593755,0.32982233
m_161,85.40469999999999,27.665,0.19376375,0.16174988,0.22428183,0.2122686,0.2325037
m_162,85.4253,27.667,0.20086645,0.18355143,0.26634356,0.33402213,0.28034768
m_163,85.41669999999999,27.671,0.20303246,0.16224249,0.243607,0.22324003,0.25424924
m_164,84.64330000000001,28.03,0.38430947,0.12403725,0.902431,0.9007306,0.8464835
m_165,85.42869999999999,27.668,0.20359471,0.18390778,0.2731638,0.34467143,0.28817496
m_166,85.43060000000003,27.669,0.20498715,0.18404219,0.27668095,0.35012934,0.29221347
m_167,85.4357,27.669,0.20972563,0.18486038,0.2886896,0.36931202,0.30605948
m_168,85.43899999999996,27.668,0.21303612,0.18552685,0.2972532,0.38331434,0.31599078
m_169,85.43079999999998,27.672,0.2043757,0.18361147,0.2750404,0.34695444,0.29025123
m_17,85.30880000000002,27.781,0.25710136,0.18439634,0.327151,0.29872307,0.35437733
