# 20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,AtkinsonMacias2009NSHMP2014.NRCan15SiteTerm,Kanno2006Shallow,YoungsEtAl1997SInter,ZhaoEtAl2006SInter
m_10,85.5292,27.847,0.3175686,0.09693909,0.5977545,0.3249613,0.16701727,0.41344228
m_100,85.3206,27.613,0.2595871,0.18638761,0.31249836,0.2697636,0.2304788,0.31593063
m_101,85.3078,27.619,0.2614738,0.19651373,0.30793634,0.26146117,0.23791187,0.31511697
m_102,85.3021,27.625,0.25524372,0.2031871,0.29946542,0.2741903,0.24098592,0.30909142
m_103,84.5927,27.973,0.41690862,0.14531907,0.8917479,0.6226694,0.2841901,0.7630697
m_104,85.2983,27.629,0.25367326,0.20847435,0.2946209,0.27277267,0.24382125,0.3058582
m_105,85.33,27.621,0.24400073,0.18070999,0.2840409,0.24141015,0.21702273,0.2860017
m_106,85.3835,27.604,0.27072388,0.16228314,0.33859536,0.2410956,0.2155453,0.26094112
m_107,85.319,27.625,0.24184926,0.18826702,0.2809307,0.2516234,0.22235616,0.285394
m_108,85.2989,27.634,0.24721707,0.20964567,0.28177848,0.2618041,0.24032721,0.2929574
m_109,85.2905,27.639,0.25344953,0.14890304,0.28427255,0.20246951,0.17374247,0.23766339
m_11,85.7222,27.7707,0.36869144,0.09640507,0.7536297,0.4282321,0.18092315,0.5127887
m_110,85.5326,27.567,0.3791038,0.1493127,0.6329814,0.4381535,0.25863233,0.45781094
m_111,85.5023,27.576,0.35710314,0.15050827,0.5712266,0.40824118,0.25010988,0.52652156
m_112,85.2991,27.64,0.24002281,0.21128586,0.26756355,0.2495402,0.23649232,0.27856225
m_113,85.3287,27.631,0.22864448,0.18051443,0.2576879,0.22466293,0.20856896,0.26010817
m_114,85.545,27.565,0.34738123,0.16567858,0.65467465,0.60743296,0.26151833,0.5960534
m_115,85.3193,27.636,0.22577125,0.18730101,0.25177726,0.226235,0.21190715,0.25593454
m_116,85.2962,27.644,0.23612452,0.21703175,0.26385716,0.2620384,0.23973487,0.27639866
m_117,85.3027,27.643,0.2293686,0.20662448,0.25547513,0.24922131,0.22836454,0.264774
m_118,85.3072,27.643,0.22491442,0.20023364,0.24921669,0.24051495,0.22116128,0.25685266
m_119,85.3572,27.627,0.20683081,0.18578367,0.261484,0.2772089,0.1986546,0.25912994
m_12,84.8008,28.2189,0.32977495,0.09546608,0.7580306,0.4201781,0.17749612,0.51285195
m_120,85.5087,27.581,0.3530027,0.15013151,0.5729029,0.42717308,0.24979188,0.5267544
m_121,84.6047,27.987,0.41318762,0.14524786,0.88361806,0.5977952,0.28273457,0.7548771
m_122,85.3456,27.633,0.20016,0.1895486,0.24569306,0.26446033,0.19664706,0.2454219
m_123,85.3284,27.639,0.21731733,0.17893277,0.23736535,0.20719391,0.20066063,0.23979877
m_124,85.3385,27.636,0.21716776,0.17318599,0.23969746,0.20601326,0.19695431,0.24046557
m_125,85.502,27.586,0.34892544,0.15036811,0.5529519,0.3952648,0.24662313,0.509452
m_126,85.5297,27.578,0.37148786,0.14930318,0.6118811,0.41598058,0.2550885,0.44267854
m_127,85.2999,27.655,0.22114626,0.21183114,0.2354544,0.23076063,0.22447953,0.24463344
m_128,85.2966,27.658,0.22369471,0.21917985,0.2362639,0.23350646,0.23010983,0.2467068
m_129,85.3428,27.643,0.19073543,0.16873567,0.22081847,0.2308566,0.18737711,0.22105733
m_13,85.4578,27.9371,0.31888628,0.09735977,0.6353303,0.34733757,0.17067693,0.4369168
m_130,85.3064,27.655,0.21166444,0.19917828,0.22407399,0.21544656,0.2107045,0.23015907
m_131,85.5061,27.594,0.34534287,0.15002692,0.5463904,0.38718486,0.24489288,0.5023618
m_132,85.3183,27.656,0.17674577,0.2012805,0.2058603,0.24274945,0.19086894,0.20865545
m_133,85.3263,27.655,0.17317022,0.19292389,0.20061696,0.2314006,0.1836966,0.20219792
m_134,84.607,28.01,0.39699408,0.096635275,0.8739576,0.4691624,0.19198832,0.5903414
