# 20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,AtkinsonMacias2009NSHMP2014.NRCan15SiteTerm,Kanno2006Shallow,YoungsEtAl1997SInter,ZhaoEtAl2006SInter
m_10,85.5292,27.847,0.24059907,0.08250637,0.44192392,0.23710674,0.13555707,0.31136787
m_100,85.3206,27.613,0.22647735,0.1754973,0.27678278,0.23457834,0.21083511,0.27574158
m_101,85.3078,27.619,0.23010878,0.18599798,0.27583495,0.23028083,0.21947984,0.27858207
m_102,85.3021,27.625,0.22913942,0.19333558,0.2709878,0.24430975,0.2240165,0.27629685
m_103,84.5927,27.973,0.31349728,0.11962641,0.63483286,0.4285965,0.22300422,0.54822326
m_104,85.2983,27.629,0.22962132,0.19905178,0.26842204,0.2450055,0.22784984,0.2755729
m_105,85.33,27.621,0.21574734,0.1714954,0.25564224,0.21384326,0.20086746,0.25418216
m_106,85.3835,27.604,0.22312447,0.14999864,0.28897655,0.20147014,0.19205098,0.21935128
m_107,85.319,27.625,0.2169962,0.1793859,0.25477806,0.22488393,0.2070227,0.25582743
m_108,85.2989,27.634,0.22621681,0.20121937,0.25947526,0.23806486,0.22636536,0.26715732
m_109,85.2905,27.639,0.2257693,0.14314578,0.26343045,0.1854285,0.16344485,0.21818623
m_11,85.7222,27.7707,0.26426026,0.0799715,0.5239151,0.29328847,0.14085154,0.36259395
m_110,85.5326,27.567,0.27563068,0.12832355,0.46592337,0.31223112,0.2078409,0.33091637
m_111,85.5023,27.576,0.26602808,0.1308676,0.43073183,0.29847404,0.20435745,0.38996324
m_112,85.2991,27.64,0.22238392,0.20405138,0.24941832,0.23019028,0.2248119,0.25761023
m_113,85.3287,27.631,0.20673953,0.17304619,0.2365317,0.20362522,0.19590545,0.23635519
m_114,85.545,27.565,0.26304528,0.14192514,0.4780844,0.4291636,0.2089982,0.42729616
m_115,85.3193,27.636,0.2075726,0.18048608,0.23386343,0.20782934,0.20079248,0.23578964
m_116,85.2962,27.644,0.22204053,0.21036203,0.24768813,0.24359818,0.22905871,0.25747815
m_117,85.3027,27.643,0.21532327,0.20026822,0.2398793,0.23178318,0.21819882,0.2467885
m_118,85.3072,27.643,0.21064785,0.19415745,0.23399416,0.22368425,0.21128808,0.23928927
m_119,85.3572,27.627,0.19092347,0.17686573,0.23682047,0.24763435,0.184791,0.23241717
m_12,84.8008,28.2189,0.25795555,0.078551434,0.55664605,0.29802918,0.14196935,0.38349107
m_120,85.5087,27.581,0.26441666,0.13043123,0.43080106,0.31176105,0.20385578,0.38951084
m_121,84.6047,27.987,0.3111593,0.119576074,0.630225,0.41245735,0.22219586,0.5440973
m_122,85.3456,27.633,0.1872911,0.18190889,0.22574995,0.24011518,0.18486883,0.2234097
m_123,85.3284,27.639,0.19944105,0.17292252,0.22138634,0.19125833,0.19069734,0.2217735
m_124,85.3385,27.636,0.19797547,0.16677748,0.2222017,0.18885797,0.18631788,0.22100951
m_125,85.502,27.586,0.26154616,0.13113159,0.4190005,0.290996,0.202402,0.3799191
m_126,85.5297,27.578,0.27154687,0.1287425,0.45350173,0.29896036,0.20611031,0.32276085
m_127,85.2999,27.655,0.21204467,0.20771551,0.22617237,0.22026946,0.21809596,0.23377146
m_128,85.2966,27.658,0.2156012,0.21545252,0.22795905,0.2240715,0.22435054,0.23693563
m_129,85.3428,27.643,0.18110359,0.16356002,0.20721753,0.21472009,0.17889877,0.2059956
m_13,85.4578,27.9371,0.24340689,0.08207514,0.4667184,0.251181,0.13784516,0.32797423
m_130,85.3064,27.655,0.20286298,0.19542125,0.2155677,0.20606245,0.20491755,0.22041336
m_131,85.5061,27.594,0.2597881,0.13093856,0.41498578,0.28607032,0.20143199,0.37623602
m_132,85.3183,27.656,0.17509803,0.19784795,0.19858183,0.23288524,0.18592997,0.20038603
m_133,85.3263,27.655,0.17103212,0.1894679,0.1934066,0.22183304,0.17883366,0.19414239
m_134,84.607,28.01,0.29601675,0.0794385,0.62452036,0.32449543,0.15078662,0.42695236
m_135,85.5284,27.593,0.26568565,0.12907113,0.43799782,0.2899425,0.20363787,0.31232813
m_136,85.3121,27.662,0.1791209,0.20371309,0.19597258,0.2225468,0.18841769,0.19823024
m_137,84.6188,28.0,0.30435205,0.079490826,0.6250858,0.34922686,0.15093751,0.42742553
m_138,85.3043,27.668,0.18753187,0.2164194,0.20078452,0.22668974,0.19767992,0.2035454
m_139,84.6435,27.971,0.3098516,0.11978484,0.62937903,0.443209,0.22238319,0.5436821
m_14,86.2435,27.622,0.1779953,0.07456724,0.37482762,0.23216522,0.11794507,0.28386757
m_140,85.3323,27.661,0.17081982,0.16278598,0.1795153,0.17688236,0.16878399,0.17952853
m_141,84.6272,27.995,0.30855796,0.1195852,0.6258909,0.39250797,0.22152849,0.42804405
m_142,85.319,27.667,0.16623278,0.1886992,0.17856649,0.1993498,0.17275794,0.17927912
m_143,85.5224,27.604,0.26005575,0.12970197,0.42272943,0.26329917,0.20153876,0.30238086
m_144,84.6258,28.002,0.30760717,0.11953878,0.624405,0.39174736,0.22122526,0.42697808
m_145,85.538,27.602,0.26569843,0.12848549,0.4405204,0.29086185,0.20344917,0.31356838
m_146,85.3178,27.673,0.16052076,0.18383048,0.16946289,0.18815587,0.16648819,0.16974872
m_147,85.3334,27.668,0.16381322,0.15801907,0.16823763,0.16437037,0.16166568,0.16801548
m_148,85.3231,27.673,0.15630558,0.17787714,0.16478732,0.18166538,0.16143079,0.16485034
m_149,85.3111,27.677,0.1730034,0.17224903,0.17475432,0.17560394,0.173134,0.17484927
m_15,86.2538,27.602,0.17112069,0.07402266,0.35744658,0.22562714,0.11543718,0.2746082
m_150,85.3341,27.671,0.16129902,0.15588365,0.16411658,0.15949185,0.15890339,0.16379207
m_151,85.3881,27.654,0.17929938,0.15037853,0.20155972,0.18429786,0.16742247,0.19723837
m_152,84.6152,28.03,0.29843408,0.079360336,0.6186763,0.3356061,0.14998747,0.42290378
m_153,85.3327,27.676,0.14343654,0.1705066,0.15855983,0.19250242,0.15537801,0.15987577
m_154,85.3075,27.685,0.14075454,0.195106,0.17694399,0.26364216,0.17714691,0.19042125
m_155,85.2262,27.714,0.2730068,0.24444807,0.32989115,0.28426054,0.29835105,0.28524494
m_156,85.3228,27.684,0.15445068,0.15155992,0.15297058,0.14950545,0.1528181,0.15254791
