calc_id,description,cal_time,recording_stations,gmlt,rupture,max_distance,gmpe,imt,max_gmv,nominal_bias_mean,nominal_bias_stdev,abs_bias
23,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",1027, All_Panjamani_USGS, Adjusted, Kobayashi, 250km,AtkinsonBoore2003SInter,PGA,0.557616,0.025,0.083,0.025
18,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:50km
",284, Seismic, Adjusted, Yagi, 50km,AtkinsonBoore2003SInter,PGA,0.39388824,0.027,0.212,0.027
17,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:250km
",284, Seismic, Adjusted, USGS, 250km,AtkinsonBoore2003SInter,PGA,0.3987916,-0.027,0.143,0.027
9,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:50km
",301, Seismic, Adjusted, Kobayashi, 50km,AtkinsonBoore2003SInter,PGA,0.39438,0.029,0.212,0.029
6,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:50km
",334, Seismic, Adjusted, Hayes, 50km,AtkinsonBoore2003SInter,PGA,0.3945489,0.03,0.212,0.03
12,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:50km
",318, Seismic, Adjusted, Stevens, 50km,AtkinsonBoore2003SInter,PGA,0.396448,0.042,0.212,0.042
16,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:150km
",275, Seismic, Adjusted, USGS, 150km,AtkinsonBoore2003SInter,PGA,0.39851588,-0.043,0.178,0.043
15,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:50km
",287, Seismic, Adjusted, USGS, 50km,AtkinsonBoore2003SInter,PGA,0.4004357,0.065,0.212,0.065
13,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:150km
",318, Seismic, Adjusted, Stevens, 150km,AtkinsonBoore2003SInter,PGA,0.39430162,-0.079,0.178,0.079
14,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:250km
",333, Seismic, Adjusted, Stevens, 250km,AtkinsonBoore2003SInter,PGA,0.39379367,-0.108,0.131,0.108
8,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:250km
",320, Seismic, Adjusted, Hayes, 250km,ZhaoEtAl2016SInter,PGA,1.5638217,0.136,0.154,0.136
22,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:150km
",759, All_Panjamani_USGS, Adjusted, Kobayashi, 150km,AtkinsonBoore2003SInter,PGA,0.5576944,0.154,0.096,0.154
10,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:150km
",300, Seismic, Adjusted, Kobayashi, 150km,AtkinsonBoore2003SInter,PGA,0.39108098,-0.158,0.178,0.158
19,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:150km
",281, Seismic, Adjusted, Yagi, 150km,AtkinsonBoore2003SInter,PGA,0.39047208,-0.168,0.178,0.168
11,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",324, Seismic, Adjusted, Kobayashi, 250km,AtkinsonBoore2003SInter,PGA,0.39016998,-0.211,0.131,0.211
20,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:250km
",302, Seismic, Adjusted, Yagi, 250km,AtkinsonBoore2003SInter,PGA,0.38948196,-0.225,0.131,0.225
17,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:250km
",284, Seismic, Adjusted, USGS, 250km,YoungsEtAl1997SInter,PGA,0.3505698,-0.235,0.127,0.235
7,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:150km
",320, Seismic, Adjusted, Hayes, 150km,AtkinsonBoore2003SInter,PGA,0.38965738,-0.249,0.178,0.249
17,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:250km
",284, Seismic, Adjusted, USGS, 250km,ZhaoEtAl2016SInter,PGA,1.3856112,0.251,0.182,0.251
21,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:50km
",698, All_Panjamani_USGS, Adjusted, Kobayashi, 50km,YoungsEtAl1997SInter,PGA,0.5577879,-0.275,0.085,0.275
21,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:50km
",698, All_Panjamani_USGS, Adjusted, Kobayashi, 50km,AtkinsonBoore2003SInter,PGA,0.55777085,0.281,0.105,0.281
14,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:250km
",333, Seismic, Adjusted, Stevens, 250km,ChiouYoungs2014,PGA,0.6093878,-0.282,0.131,0.282
15,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:50km
",287, Seismic, Adjusted, USGS, 50km,ChiouYoungs2014,PGA,0.5148054,-0.286,0.199,0.286
12,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:50km
",318, Seismic, Adjusted, Stevens, 50km,ChiouYoungs2014,PGA,0.60300195,-0.287,0.199,0.287
14,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:250km
",333, Seismic, Adjusted, Stevens, 250km,YoungsEtAl1997SInter,PGA,0.3505985,-0.293,0.113,0.293
17,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:250km
",284, Seismic, Adjusted, USGS, 250km,AbrahamsonEtAl2015SInter,PGA,0.40820125,-0.313,0.2,0.313
11,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",324, Seismic, Adjusted, Kobayashi, 250km,ZhaoEtAl2016SInter,PGA,1.7088242,0.317,0.166,0.317
9,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:50km
",301, Seismic, Adjusted, Kobayashi, 50km,ChiouYoungs2014,PGA,0.5714455,-0.317,0.198,0.317
17,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:250km
",284, Seismic, Adjusted, USGS, 250km,CauzziEtAl2014,PGA,0.33552426,-0.318,0.205,0.318
20,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:250km
",302, Seismic, Adjusted, Yagi, 250km,ChiouYoungs2014,PGA,0.6563408,-0.326,0.131,0.326
22,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:150km
",759, All_Panjamani_USGS, Adjusted, Kobayashi, 150km,YoungsEtAl1997SInter,PGA,0.55775523,-0.329,0.076,0.329
16,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:150km
",275, Seismic, Adjusted, USGS, 150km,ZhaoEtAl2016SInter,PGA,0.77144486,-0.336,0.234,0.336
23,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",1027, All_Panjamani_USGS, Adjusted, Kobayashi, 250km,YoungsEtAl1997SInter,PGA,0.5577489,-0.339,0.065,0.339
6,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:50km
",334, Seismic, Adjusted, Hayes, 50km,ChiouYoungs2014,PGA,0.66621625,-0.344,0.198,0.344
13,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:150km
",318, Seismic, Adjusted, Stevens, 150km,ChiouYoungs2014,PGA,0.5655812,-0.348,0.17,0.348
13,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:150km
",318, Seismic, Adjusted, Stevens, 150km,ZhaoEtAl2016SInter,PGA,0.87274647,-0.351,0.234,0.351
14,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:250km
",333, Seismic, Adjusted, Stevens, 250km,AbrahamsonEtAl2015SInter,PGA,0.5045784,-0.355,0.182,0.355
18,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:50km
",284, Seismic, Adjusted, Yagi, 50km,ChiouYoungs2014,PGA,0.6290162,-0.359,0.198,0.359
15,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:50km
",287, Seismic, Adjusted, USGS, 50km,YoungsEtAl1997SInter,PGA,0.34856844,-0.363,0.258,0.363
17,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:250km
",284, Seismic, Adjusted, USGS, 250km,ChiouYoungs2014,PGA,0.47726372,-0.365,0.141,0.365
16,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:150km
",275, Seismic, Adjusted, USGS, 150km,CauzziEtAl2014,PGA,0.33468938,-0.374,0.271,0.374
15,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:50km
",287, Seismic, Adjusted, USGS, 50km,CauzziEtAl2014,PGA,0.33465818,-0.376,0.353,0.376
11,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",324, Seismic, Adjusted, Kobayashi, 250km,YoungsEtAl1997SInter,PGA,0.3493787,-0.377,0.112,0.377
11,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",324, Seismic, Adjusted, Kobayashi, 250km,ChiouYoungs2014,PGA,0.5403069,-0.377,0.131,0.377
16,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:150km
",275, Seismic, Adjusted, USGS, 150km,YoungsEtAl1997SInter,PGA,0.34834117,-0.378,0.177,0.378
20,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:250km
",302, Seismic, Adjusted, Yagi, 250km,YoungsEtAl1997SInter,PGA,0.34909546,-0.387,0.111,0.387
14,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:250km
",333, Seismic, Adjusted, Stevens, 250km,CauzziEtAl2014,PGA,0.4161222,-0.387,0.185,0.387
20,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:250km
",302, Seismic, Adjusted, Yagi, 250km,ZhaoEtAl2016SInter,PGA,2.0438893,0.389,0.166,0.389
16,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:150km
",275, Seismic, Adjusted, USGS, 150km,ChiouYoungs2014,PGA,0.4617715,-0.393,0.17,0.393
8,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:250km
",320, Seismic, Adjusted, Hayes, 250km,AtkinsonBoore2003SInter,PGA,0.38705963,-0.398,0.123,0.398
14,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:250km
",333, Seismic, Adjusted, Stevens, 250km,ZhaoEtAl2016SInter,PGA,1.8601067,0.406,0.166,0.406
15,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:50km
",287, Seismic, Adjusted, USGS, 50km,AbrahamsonEtAl2015SInter,PGA,0.370794,-0.409,0.327,0.409
11,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",324, Seismic, Adjusted, Kobayashi, 250km,AbrahamsonEtAl2015SInter,PGA,0.4590276,-0.417,0.182,0.417
11,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",324, Seismic, Adjusted, Kobayashi, 250km,CauzziEtAl2014,PGA,0.40994635,-0.419,0.185,0.419
6,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:50km
",334, Seismic, Adjusted, Hayes, 50km,CauzziEtAl2014,PGA,0.5578533,-0.421,0.353,0.421
6,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:50km
",334, Seismic, Adjusted, Hayes, 50km,YoungsEtAl1997SInter,PGA,0.34877592,-0.427,0.258,0.427
10,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:150km
",300, Seismic, Adjusted, Kobayashi, 150km,ChiouYoungs2014,PGA,0.50623107,-0.428,0.17,0.428
19,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:150km
",281, Seismic, Adjusted, Yagi, 150km,ZhaoEtAl2016SInter,PGA,0.9040852,-0.429,0.234,0.429
16,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:150km
",275, Seismic, Adjusted, USGS, 150km,AbrahamsonEtAl2015SInter,PGA,0.36363196,-0.429,0.259,0.429
9,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:50km
",301, Seismic, Adjusted, Kobayashi, 50km,CauzziEtAl2014,PGA,0.40525872,-0.431,0.353,0.431
9,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:50km
",301, Seismic, Adjusted, Kobayashi, 50km,YoungsEtAl1997SInter,PGA,0.3484889,-0.434,0.257,0.434
19,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:150km
",281, Seismic, Adjusted, Yagi, 150km,ChiouYoungs2014,PGA,0.57763505,-0.435,0.169,0.435
10,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:150km
",300, Seismic, Adjusted, Kobayashi, 150km,ZhaoEtAl2016SInter,PGA,0.80684346,-0.438,0.234,0.438
21,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:50km
",698, All_Panjamani_USGS, Adjusted, Kobayashi, 50km,CauzziEtAl2014,PGA,0.5577492,-0.442,0.142,0.442
6,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:50km
",334, Seismic, Adjusted, Hayes, 50km,AbrahamsonEtAl2015SInter,PGA,0.53316313,-0.445,0.327,0.445
