# 20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Yagi
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,AtkinsonMacias2009NSHMP2014.NRCan15SiteTerm,Kanno2006Shallow,ZhaoEtAl2006SInter
t_0,82.93477000000001,27.03676,0.08299253,0.08326546,0.015819157,0.0749001,0.05076924
t_1,82.93477000000001,27.11675,0.09046511,0.08560488,0.016444081,0.089053795,0.05644988
t_10,82.93477000000001,27.83404,0.0674579,0.08334529,0.018692944,0.050779317,0.04732452
t_100,83.20425999999998,27.59546,0.1208621,0.11509088,0.026126934,0.13190663,0.083601095
t_1000,85.80938000000003,27.67504,0.65936196,0.1311085,0.3083533,0.39278105,0.4486224
t_1001,85.80938000000003,27.75457,0.6072728,0.13072042,0.29637927,0.35653508,0.42875528
t_1002,85.80938000000003,27.83404,0.5722738,0.13028172,0.28394115,0.34445417,0.41008794
t_1003,85.80938000000003,27.91345,0.5403451,0.1297944,0.27131623,0.33288497,0.39260182
t_1004,85.80938000000003,27.9928,0.5115308,0.12926708,0.25887698,0.32195726,0.37642413
t_1005,85.80938000000003,28.07209,0.49539098,0.12871684,0.24706633,0.32186162,0.36178187
t_1006,85.80938000000003,28.15132,0.44941574,0.12775606,0.22883709,0.29664463,0.3401572
t_1007,85.80938000000003,28.2305,0.38508007,0.12540448,0.19372538,0.2674932,0.30034843
t_1008,85.80938000000003,28.30962,0.32160142,0.12180751,0.15643638,0.235178,0.25846797
t_1009,85.80938000000003,28.38867,0.28389212,0.1786444,0.1248885,0.22869456,0.22147675
t_101,83.20425999999998,27.67504,0.11581008,0.1153789,0.026241701,0.11769712,0.08394131
t_1010,85.80938000000003,28.46767,0.26207614,0.17164679,0.10037425,0.24925108,0.2404767
t_1011,85.80938000000003,28.54661,0.23244527,0.16404095,0.081796594,0.23283118,0.20815173
t_1012,85.80938000000003,28.6255,0.16856673,0.10065077,0.06768394,0.13709854,0.14366801
t_1013,85.80938000000003,28.70432,0.1771836,0.14697677,0.05685126,0.17049854,0.15904501
t_1014,85.80938000000003,28.78308,0.18026072,0.1551838,0.048437145,0.22804789,0.14191589
t_1015,85.80938000000003,28.86178,0.13870509,0.12996146,0.04176329,0.12781414,0.12451639
t_1016,85.80938000000003,28.94043,0.13166365,0.12200865,0.036388654,0.12544867,0.1109655
t_1017,85.80938000000003,29.01901,0.105416805,0.114463985,0.03198742,0.089231275,0.0786293
t_1018,85.80938000000003,29.09753,0.08585468,0.06932439,0.02835188,0.06730049,0.07059837
t_1019,85.80938000000003,29.176,0.08011731,0.06503402,0.025313953,0.062169738,0.06360072
t_102,83.20425999999998,27.75457,0.08836015,0.10256291,0.026121609,0.07173183,0.06548805
t_1020,85.80938000000003,29.2544,0.07417851,0.061025348,0.022749502,0.056657415,0.057471745
t_1021,85.80938000000003,29.33275,0.069764644,0.05728949,0.02056651,0.052635167,0.052082665
t_1022,85.80938000000003,29.41103,0.07132764,0.08333824,0.018690584,0.055305853,0.059733927
t_1023,85.89920999999998,27.03676,0.358766,0.18565454,0.16291207,0.29568902,0.2658196
t_1024,85.89920999999998,27.11675,0.45258313,0.1916574,0.21831165,0.34135035,0.32804725
t_1025,85.89920999999998,27.19668,0.58537024,0.1959036,0.28725848,0.5190214,0.52377105
t_1026,85.89920999999998,27.27655,0.8157644,0.19802997,0.342084,0.46919054,0.52582556
t_1027,85.89920999999998,27.35636,0.8326923,0.13214143,0.345718,0.42227703,0.5383398
t_1028,85.89920999999998,27.43612,0.7725875,0.13192312,0.3370561,0.4065051,0.5107373
t_1029,85.89920999999998,27.51582,0.7216136,0.13166575,0.32740638,0.39220986,0.48646113
t_103,83.20425999999998,27.83404,0.0794703,0.06571398,0.025774054,0.061350137,0.06467833
t_1030,85.89920999999998,27.59546,0.67534417,0.1313561,0.31652853,0.37841865,0.46367997
t_1031,85.89920999999998,27.67504,0.6478345,0.19667022,0.30478755,0.46272817,0.5585644
t_1032,85.89920999999998,27.75457,0.5966728,0.13059689,0.2927655,0.35293946,0.42315495
t_1033,85.89920999999998,27.83404,0.5628267,0.13014701,0.28033322,0.34108758,0.40496075
t_1034,85.89920999999998,27.91345,0.5322588,0.12965555,0.26792485,0.32986656,0.38810083
t_1035,85.89920999999998,27.9928,0.5046251,0.1291264,0.25575057,0.31926543,0.3724884
t_1036,85.89920999999998,28.07209,0.47908017,0.1285508,0.2437118,0.30904955,0.35772485
t_1037,85.89920999999998,28.15132,0.43294364,0.12724526,0.22019199,0.28948736,0.3301954
t_1038,85.89920999999998,28.2305,0.36682513,0.12452953,0.18319628,0.2585939,0.2885879
t_1039,85.89920999999998,28.30962,0.32511216,0.1831431,0.14706768,0.2600718,0.2477165
t_104,83.20425999999998,27.91345,0.07809062,0.0648921,0.025218887,0.06005795,0.063377246
t_1040,85.89920999999998,28.38867,0.26601246,0.115865104,0.1174716,0.21077773,0.21236797
t_1041,85.89920999999998,28.46767,0.24683362,0.16959462,0.094717145,0.22625417,0.23092765
t_1042,85.89920999999998,28.54661,0.21060212,0.16186953,0.07750441,0.19021158,0.20024046
t_1043,85.89920999999998,28.6255,0.1992971,0.15342212,0.06441499,0.20222893,0.17481007
t_1044,85.89920999999998,28.70432,0.17822866,0.14455152,0.054317076,0.18086374,0.15355544
t_1045,85.89920999999998,28.78308,0.16963391,0.15250334,0.04640185,0.18933979,0.13713595
t_1046,85.89920999999998,28.86178,0.12185498,0.12763768,0.04010436,0.10341083,0.09538682
t_1047,85.89920999999998,28.94043,0.11561081,0.11977056,0.035018962,0.100487106,0.08506559
t_1048,85.89920999999998,29.01901,0.113713056,0.11237729,0.03087159,0.1033667,0.09619613
t_1049,85.89920999999998,29.09753,0.08948573,0.10544291,0.027436543,0.072156265,0.06851866
t_105,83.20425999999998,27.9928,0.08613292,0.09888234,0.0245267,0.07009547,0.061741594
t_1050,85.89920999999998,29.176,0.08412813,0.098953046,0.02455648,0.0675179,0.061812274
t_1051,85.89920999999998,29.2544,0.07304492,0.059967633,0.022112336,0.055668216,0.055915568
t_1052,85.89920999999998,29.33275,0.066227295,0.056298904,0.020018019,0.048924495,0.050702672
t_1053,85.89920999999998,29.41103,0.08130724,0.08190108,0.018214298,0.06891177,0.058181424
t_1054,85.98903999999999,27.03676,0.34862694,0.18428591,0.15390074,0.30341354,0.32263052
t_1055,85.98903999999999,27.11675,0.41449583,0.19016582,0.20137449,0.30152676,0.30891037
t_1056,85.98903999999999,27.19668,0.52909344,0.19432019,0.25690782,0.3815892,0.3739398
t_1057,85.98903999999999,27.27655,0.6266299,0.13078645,0.2983489,0.3799749,0.4318773
t_1058,85.98903999999999,27.35636,0.65254533,0.13117033,0.31035373,0.37131184,0.45217684
t_1059,85.98903999999999,27.43612,0.691205,0.19714141,0.3167121,0.42085153,0.46403557
t_106,83.20425999999998,28.07209,0.0767788,0.062762775,0.023830965,0.05910021,0.060082242
t_1060,85.98903999999999,27.51582,0.6801029,0.1313919,0.3177475,0.3798753,0.4660573
t_1061,85.98903999999999,27.59546,0.6596073,0.1312305,0.31232637,0.3735362,0.4557602
t_1062,85.98903999999999,27.67504,0.6396527,0.19653477,0.30153036,0.40699968,0.437033
t_1063,85.98903999999999,27.75457,0.58582366,0.13046229,0.28892928,0.34920302,0.41737536
t_1064,85.98903999999999,27.83404,0.57453394,0.19539401,0.2767151,0.4204563,0.39992824
t_1065,85.98903999999999,27.91345,0.52448565,0.12951556,0.26459134,0.3269299,0.38374567
t_1066,85.98903999999999,27.9928,0.4974642,0.1289741,0.2524505,0.3164433,0.3683827
t_1067,85.98903999999999,28.07209,0.47053477,0.1283369,0.23952249,0.30553767,0.35271195
t_1068,85.98903999999999,28.15132,0.41429043,0.12659664,0.21009934,0.28113526,0.31872728
t_1069,85.98903999999999,28.2305,0.34832096,0.12352113,0.17234088,0.2492583,0.2764389
t_107,83.20425999999998,28.15132,0.079772495,0.0955649,0.023165362,0.0630435,0.058480117
t_1070,85.98903999999999,28.30962,0.29087827,0.11936906,0.13799208,0.21803215,0.2371342
t_1071,85.98903999999999,28.38867,0.257264,0.17487255,0.11052125,0.20886621,0.20363751
t_1072,85.98903999999999,28.46767,0.22572835,0.16752152,0.08952493,0.19331335,0.17581692
t_1073,85.98903999999999,28.54661,0.20098588,0.15969688,0.07355512,0.17980345,0.15271647
t_1074,85.98903999999999,28.6255,0.17705522,0.15095338,0.06136281,0.15972573,0.16855419
t_1075,85.98903999999999,28.70432,0.14340003,0.091760956,0.05192438,0.11996081,0.117450275
t_1076,85.98903999999999,28.78308,0.1456152,0.13358454,0.044513926,0.1350999,0.13116987
t_1077,85.98903999999999,28.86178,0.12538867,0.12542082,0.038592163,0.11067916,0.09237618
t_1078,85.98903999999999,28.94043,0.10785853,0.11768114,0.033790484,0.09073132,0.08248446
t_1079,85.98903999999999,29.01901,0.09181309,0.07127426,0.029846115,0.073257536,0.07394245
t_108,83.20425999999998,28.2305,0.07857811,0.093925826,0.022517735,0.061982974,0.056907266
t_1080,85.98903999999999,29.09753,0.0959035,0.10354859,0.026564782,0.08150325,0.08396758
t_1081,85.98903999999999,29.176,0.07454369,0.06272455,0.023806695,0.05672411,0.06002408
t_1082,85.98903999999999,29.2544,0.0711252,0.0588745,0.021469967,0.0537816,0.054332796
t_1083,85.98903999999999,29.33275,0.071410164,0.085643,0.019474745,0.05502419,0.049325284
t_1084,85.98903999999999,29.41103,0.06772571,0.08047661,0.017751507,0.05145775,0.044885673
t_1085,86.07887,27.03676,0.30930343,0.18108025,0.13606867,0.2550144,0.23486629
t_1086,86.07887,27.11675,0.36234057,0.18668048,0.17035173,0.27781385,0.2742053
t_1087,86.07887,27.19668,0.4375328,0.19062677,0.20632346,0.36658174,0.39698124
t_1088,86.07887,27.27655,0.45275566,0.12785318,0.23055753,0.29807183,0.34215873
t_1089,86.07887,27.35636,0.48177388,0.12861589,0.24501584,0.31014654,0.35929722
t_109,83.20425999999998,28.30962,0.06969463,0.059629086,0.021911666,0.05214233,0.055422634
t_1090,86.07887,27.43612,0.51887333,0.12923062,0.2580592,0.33004153,0.37539014
t_1091,86.07887,27.51582,0.5344483,0.12969382,0.26885086,0.33068752,0.38932255
t_1092,86.07887,27.59546,0.5508878,0.12996565,0.2756203,0.3367657,0.39842555
t_1093,86.07887,27.67504,0.557878,0.13007338,0.2784005,0.3393054,0.40225953
t_1094,86.07887,27.75457,0.5532725,0.1300029,0.27657536,0.33763507,0.39973593
t_1095,86.07887,27.83404,0.5527415,0.12976813,0.27066794,0.35583144,0.39173567
t_1096,86.07887,27.91345,0.5386458,0.19455653,0.26101434,0.39247182,0.3791425
t_1097,86.07887,27.9928,0.4901117,0.12881057,0.2490011,0.3135122,0.36414066
t_1098,86.07887,28.07209,0.45779496,0.12799588,0.23313195,0.30021024,0.34516716
t_1099,86.07887,28.15132,0.4019568,0.1258656,0.19975594,0.27821094,0.30709606
t_11,82.93477000000001,27.91345,0.062151596,0.05327798,0.018417522,0.04504225,0.046614386
t_110,83.20425999999998,28.38867,0.06813963,0.05860284,0.021312807,0.050668176,0.053943403
t_1100,86.07887,28.2305,0.33111995,0.12245647,0.1621257,0.24027853,0.26492977
t_1101,86.07887,28.30962,0.27661017,0.11802674,0.12943386,0.2096914,0.2269657
