# 20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:250km
custom_site_id,lon,lat,"AbrahamsonEtAl2014
region = ""CHN""",AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,CauzziEtAl2014,ChiouYoungs2014,YoungsEtAl1997SInter,ZhaoEtAl2016SInter
m_10,85.5292,27.847,0.20015544,0.28928134,0.10795205,0.19277067,0.28738263,0.16166809,0.69555134
m_100,85.3206,27.613,0.21514198,0.2380766,0.19633865,0.20985842,0.23419154,0.2235562,0.33943695
m_101,85.3078,27.619,0.21575776,0.24040616,0.20636043,0.21068561,0.2318288,0.23160246,0.33404225
m_102,85.3021,27.625,0.2242115,0.23892617,0.21254374,0.21924978,0.2410913,0.23503049,0.32249522
m_103,84.5927,27.973,0.3099001,0.38789204,0.17063719,0.28171065,0.44191837,0.2740727,1.3387927
m_104,85.2983,27.629,0.22605708,0.23909126,0.2175738,0.22123882,0.24178888,0.23840082,0.31681633
m_105,85.33,27.621,0.2010079,0.22477697,0.18904692,0.19704844,0.21640238,0.21133746,0.30293056
m_106,85.3835,27.604,0.18995722,0.23694234,0.17305826,0.18576595,0.21221283,0.2075235,0.32300687
m_107,85.319,27.625,0.20908533,0.22621307,0.19645196,0.20511255,0.22421554,0.21709757,0.29883528
m_108,85.2989,27.634,0.22234437,0.23457006,0.21788885,0.21810672,0.23585369,0.23573609,0.30045974
m_109,85.2905,27.639,0.18636191,0.22970983,0.15164267,0.19246107,0.19427803,0.16939779,0.2600038
m_11,85.7222,27.7707,0.23280841,0.32901552,0.10948567,0.21841122,0.34782392,0.172769,0.88759136
m_110,85.5326,27.567,0.2531205,0.31907174,0.1683866,0.23575747,0.3262454,0.2423205,0.6956872
m_111,85.5023,27.576,0.24490148,0.3037485,0.16820121,0.2296456,0.31000903,0.23522806,0.71798164
m_112,85.2991,27.64,0.21812269,0.22946364,0.21849312,0.21450143,0.22933899,0.23281096,0.2823668
m_113,85.3287,27.631,0.19404835,0.21368007,0.18728141,0.19108607,0.20644982,0.20413227,0.269612
m_114,85.545,27.565,0.29009035,0.3118775,0.18832211,0.28228605,0.3768541,0.24474919,0.84887743
m_115,85.3193,27.636,0.19824375,0.21398553,0.1936598,0.19548474,0.20920976,0.20826387,0.26253554
m_116,85.2962,27.644,0.22594109,0.22880268,0.22382954,0.22282071,0.23739882,0.23619829,0.27723968
m_117,85.3027,27.643,0.21658629,0.22180212,0.21292664,0.21382858,0.22732458,0.22505695,0.26653743
m_118,85.3072,27.643,0.21008687,0.216653,0.20612559,0.2075663,0.22040032,0.21777254,0.2582179
m_119,85.3572,27.627,0.20768878,0.20165758,0.19463347,0.2085606,0.22337946,0.19395567,0.27667338
m_12,84.8008,28.2189,0.22729194,0.3254145,0.11027163,0.21373877,0.36278206,0.17643316,0.9700637
m_120,85.5087,27.581,0.2505745,0.30375016,0.16786206,0.2351217,0.3200932,0.23507495,0.72169864
m_121,84.6047,27.987,0.3026723,0.38473368,0.17054649,0.2742388,0.43493623,0.27314636,1.3277848
m_122,85.3456,27.633,0.20457898,0.19648623,0.1973324,0.20597032,0.2170362,0.19257846,0.25612372
m_123,85.3284,27.639,0.18577075,0.20446694,0.1843858,0.1836651,0.19532032,0.1971319,0.24461554
m_124,85.3385,27.636,0.1829323,0.20351289,0.1789135,0.18069752,0.19342902,0.1932719,0.24845073
m_125,85.502,27.586,0.24052218,0.29829383,0.16761671,0.22582261,0.30435187,0.23244967,0.69132113
m_126,85.5297,27.578,0.24608801,0.31310865,0.16792351,0.22959654,0.31568784,0.23955244,0.66830164
m_127,85.2999,27.655,0.21169063,0.21583658,0.2161744,0.20971465,0.21839713,0.22235987,0.24107105
m_128,85.2966,27.658,0.21615754,0.21912119,0.22328958,0.21411906,0.22234361,0.22823416,0.24201523
m_129,85.3428,27.643,0.19229107,0.1877934,0.1733223,0.19263917,0.20093903,0.18457305,0.22659175
m_13,85.4578,27.9371,0.20755783,0.2989308,0.109464556,0.19812149,0.30859905,0.16680753,0.7662179
m_130,85.3064,27.655,0.2000348,0.20645589,0.20299578,0.19849218,0.205865,0.20893386,0.22779275
m_131,85.5061,27.594,0.23759878,0.29603136,0.1671181,0.22308129,0.30124184,0.23118043,0.68303186
m_132,85.3183,27.656,0.19985041,0.18018217,0.2056312,0.205656,0.20361446,0.18914765,0.20685375
m_133,85.3263,27.655,0.19275841,0.1759687,0.19718076,0.19738123,0.19657747,0.18212254,0.20205764
m_134,84.607,28.01,0.25066307,0.36361158,0.11146102,0.23826173,0.3628025,0.18553822,1.1145113
m_135,85.5284,27.593,0.24040154,0.30568168,0.16719568,0.22463842,0.30895415,0.23591998,0.6354555
m_136,85.3121,27.662,0.19877577,0.18298866,0.20975536,0.20254683,0.20146143,0.19076248,0.20094618
m_137,84.6188,28.0,0.26701882,0.37375358,0.11149803,0.24810468,0.38652033,0.18553503,1.1132653
m_138,85.3043,27.668,0.20573884,0.19036102,0.22093587,0.20947985,0.20744088,0.19911936,0.20356405
m_139,84.6435,27.971,0.31145602,0.38216832,0.1706661,0.2838315,0.4545941,0.27256525,1.3167543
m_14,86.2435,27.622,0.1711801,0.228542,0.10454478,0.15397538,0.20792614,0.14737672,0.61635584
m_140,85.3323,27.661,0.17128682,0.17318536,0.16704945,0.17094941,0.17471838,0.1711135,0.18503773
m_141,84.6272,27.995,0.29301462,0.38003722,0.1704833,0.26477647,0.4234084,0.2720643,1.1126763
m_142,85.319,27.667,0.18230848,0.16911587,0.19274373,0.18525502,0.18344858,0.17431633,0.18072383
m_143,85.5224,27.604,0.22439368,0.29696557,0.166625,0.21251412,0.28590032,0.23247081,0.6030203
