# 20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Hayes
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,AtkinsonMacias2009NSHMP2014.NRCan15SiteTerm,Kanno2006Shallow,YoungsEtAl1997SInter,ZhaoEtAl2006SInter
t_0,82.93477,27.03676,0.11433271,0.11152519,0.027429128,0.12682423,0.11333131,0.08331733
t_1,82.93477,27.11675,0.124461316,0.1155567,0.029191876,0.15297897,0.118072696,0.0940803
t_10,82.93477,27.83404,0.09628467,0.10936504,0.03258384,0.08365781,0.1267182,0.07614734
t_100,83.20426,27.59546,0.18554668,0.15836659,0.05696178,0.24408588,0.1756556,0.15354162
t_1000,85.80938,27.67504,0.52706563,0.12902915,0.28380466,0.34911117,0.24629425,0.3888186
t_1001,85.80938,27.75457,0.49469963,0.1286441,0.2748389,0.32047915,0.2422414,0.37747952
t_1002,85.80938,27.83404,0.47638285,0.12822998,0.26580763,0.31302732,0.23821005,0.366488
t_1003,85.80938,27.91345,0.45895696,0.12778805,0.25679857,0.30573288,0.2342178,0.35587454
t_1004,85.80938,27.9928,0.44317308,0.1273421,0.24829961,0.29894453,0.23046099,0.34612435
t_1005,85.80938,28.07209,0.4365985,0.12687242,0.23992682,0.30167738,0.22675432,0.3367216
t_1006,85.80938,28.15132,0.4137944,0.12637703,0.23167436,0.28582144,0.22308263,0.32761294
t_1007,85.80938,28.2305,0.40012327,0.12585849,0.2236077,0.27948514,0.21946447,0.3188301
t_1008,85.80938,28.30962,0.38761124,0.12533934,0.21605833,0.27355072,0.21604235,0.31069362
t_1009,85.80938,28.38867,0.39264625,0.18861184,0.20866558,0.2984565,0.31685448,0.30278313
t_101,83.20426,27.67504,0.17890158,0.15702473,0.055722512,0.21329173,0.17358464,0.15096316
t_1010,85.80938,28.46767,0.3964562,0.18774807,0.20031743,0.36386305,0.31158897,0.37100735
t_1011,85.80938,28.54661,0.36824557,0.18531099,0.17989288,0.36430946,0.2981828,0.343612
t_1012,85.80938,28.6255,0.28916284,0.11912671,0.1528132,0.22166961,0.18468218,0.24301241
t_1013,85.80938,28.70432,0.28559074,0.17554107,0.12644073,0.27892599,0.25739577,0.26934952
t_1014,85.80938,28.78308,0.26114276,0.18905893,0.104021624,0.37322736,0.23621634,0.23798344
t_1015,85.80938,28.86178,0.21523604,0.16153362,0.086049154,0.20823118,0.21637122,0.20595925
t_1016,85.80938,28.94043,0.19706415,0.15331805,0.07189727,0.2029964,0.19821492,0.18086521
t_1017,85.80938,29.01901,0.15755601,0.14461203,0.060760103,0.1433479,0.1817947,0.12637207
t_1018,85.80938,29.09753,0.12640482,0.087858774,0.05193544,0.107323565,0.105012916,0.11197881
t_1019,85.80938,29.176,0.11531265,0.08254751,0.044870336,0.09844422,0.095883176,0.099669814
t_102,83.20426,27.75457,0.1407289,0.13756627,0.053353254,0.12630987,0.16952579,0.1143598
t_1020,85.80938,29.2544,0.10458496,0.077488154,0.039147016,0.08912563,0.08776267,0.08908597
t_1021,85.80938,29.33275,0.09647898,0.07270391,0.034451976,0.08228087,0.080524184,0.07992606
t_1022,85.80938,29.41103,0.09651946,0.10564259,0.030560082,0.08596042,0.12163253,0.09084156
t_1023,85.89921,27.03676,0.4640601,0.19175716,0.24580601,0.36438873,0.33934703,0.34330484
t_1024,85.89921,27.11675,0.5065908,0.19333069,0.26978937,0.3749729,0.35356584,0.37128624
t_1025,85.89921,27.19668,0.5431215,0.19448534,0.2906304,0.49869314,0.36615756,0.50217
t_1026,85.89921,27.27655,0.5830768,0.1952004,0.30526865,0.39246446,0.37537393,0.4183304
t_1027,85.89921,27.35636,0.58081067,0.13006294,0.31106815,0.35285848,0.25922385,0.4270741
t_1028,85.89921,27.43612,0.5699741,0.12992309,0.3070742,0.34900528,0.25724733,0.42101005
t_1029,85.89921,27.51582,0.5468613,0.12959187,0.29801607,0.3405834,0.2528861,0.4079117
t_103,83.20426,27.83404,0.12295105,0.08661131,0.05016373,0.1043307,0.102806866,0.10896343
t_1030,85.89921,27.59546,0.52501357,0.12923211,0.28877038,0.3323553,0.24856979,0.39531666
t_1031,85.89921,27.67504,0.5294208,0.19391558,0.27995265,0.4114681,0.3596535,0.48461437
t_1032,85.89921,27.75457,0.48682153,0.1284719,0.2710104,0.31730047,0.24052754,0.37277228
t_1033,85.89921,27.83404,0.46896958,0.12804805,0.26202396,0.30994916,0.23653097,0.36199185
t_1034,85.89921,27.91345,0.45219243,0.12760256,0.25319478,0.30284515,0.2326246,0.35171208
t_1035,85.89921,27.9928,0.43685615,0.12715024,0.24481112,0.29617757,0.22891806,0.34218463
t_1036,85.89921,28.07209,0.42214534,0.12667093,0.23650202,0.28961867,0.22523347,0.3329243
t_1037,85.89921,28.15132,0.40808392,0.12616628,0.22832896,0.2831931,0.22158626,0.3239577
t_1038,85.89921,28.2305,0.39490688,0.12564749,0.22047889,0.27702704,0.21805096,0.3154495
t_1039,85.89921,28.30962,0.40287322,0.18903485,0.21300507,0.31120285,0.31955224,0.3074208
t_104,83.20426,27.91345,0.11676677,0.08418907,0.046925783,0.09896064,0.09863367,0.103331335
t_1040,85.89921,28.38867,0.38263822,0.12456835,0.2057085,0.28318807,0.2112774,0.29963055
t_1041,85.89921,28.46767,0.38235518,0.18693715,0.19304717,0.33526722,0.30691046,0.3612599
t_1042,85.89921,28.54661,0.3418,0.18372828,0.16862833,0.296923,0.29038703,0.3284104
t_1043,85.89921,28.6255,0.3125938,0.17890194,0.14117745,0.32289088,0.2697455,0.29051933
t_1044,85.89921,28.70432,0.27549952,0.1728052,0.116318025,0.29074824,0.2482407,0.25431928
t_1045,85.89921,28.78308,0.24955818,0.18573578,0.09582433,0.30403414,0.22754279,0.22470926
t_1046,85.89921,28.86178,0.18764383,0.15826413,0.07958349,0.1652763,0.20840086,0.15426373
t_1047,85.89921,28.94043,0.17233267,0.14958486,0.066808835,0.15958208,0.19098169,0.13570754
t_1048,85.89921,29.01901,0.16369213,0.1409247,0.056731552,0.16294478,0.1752735,0.15139
t_1049,85.89921,29.09753,0.12824742,0.13249926,0.048711695,0.11289341,0.16116452,0.10645766
t_105,83.20426,27.9928,0.12433277,0.12673248,0.043999005,0.11269016,0.15205206,0.09809633
t_1050,85.89921,29.176,0.11788758,0.12442979,0.042264633,0.10489007,0.14852154,0.09492503
t_1051,85.89921,29.2544,0.10083002,0.07539683,0.037017528,0.08593452,0.08454946,0.08498864
t_1052,85.89921,29.33275,0.08995909,0.07073698,0.032692574,0.07510357,0.07765924,0.07636951
t_1053,85.89921,29.41103,0.10687229,0.1027868,0.02908946,0.10524612,0.11780209,0.08691975
t_1054,85.98904,27.03676,0.37159887,0.18614273,0.18639985,0.32560956,0.30254582,0.35234898
t_1055,85.98904,27.11675,0.3888841,0.18846881,0.20723705,0.29349318,0.3159608,0.3012595
t_1056,85.98904,27.19668,0.4326537,0.19044293,0.22881284,0.3378773,0.32919726,0.32448524
t_1057,85.98904,27.27655,0.45787153,0.1274209,0.2497607,0.31805772,0.23110685,0.34778458
t_1058,85.98904,27.35636,0.48071027,0.12833224,0.26798233,0.31480736,0.23917733,0.36909977
t_1059,85.98904,27.43612,0.5253031,0.19398005,0.28112096,0.3620888,0.36035874,0.3853745
t_106,83.20426,28.07209,0.10882519,0.07952347,0.04134618,0.09288516,0.0909679,0.09322377
t_1060,85.98904,27.51582,0.52103513,0.12916118,0.28701493,0.3308278,0.2477624,0.39300007
t_1061,85.98904,27.59546,0.5157316,0.12906381,0.28464043,0.3287772,0.24667549,0.3899006
t_1062,85.98904,27.67504,0.5153484,0.19369034,0.2759483,0.36155435,0.35724574,0.37885773
t_1063,85.98904,27.75457,0.47878185,0.12828702,0.26701632,0.31401566,0.23874743,0.36793706
t_1064,85.98904,27.83404,0.4869107,0.19260071,0.25810418,0.381892,0.34663132,0.35739356
t_1065,85.98904,27.91345,0.4453887,0.12740754,0.24951154,0.29990813,0.23099671,0.347501
t_1066,85.98904,27.9928,0.43038657,0.12694523,0.2411883,0.2933132,0.22731367,0.338127
t_1067,85.98904,28.07209,0.41604477,0.12645787,0.23298295,0.28685006,0.22366656,0.3290482
t_1068,85.98904,28.15132,0.4022932,0.12594405,0.22490115,0.280501,0.22004703,0.32023153
t_1069,85.98904,28.2305,0.38960028,0.1254249,0.21726856,0.274503,0.21659368,0.31199348
t_107,83.20426,28.15132,0.10999314,0.119698256,0.038933184,0.09691548,0.14144325,0.08867866
t_1070,85.98904,28.30962,0.37756687,0.1248887,0.20989153,0.2686895,0.2132147,0.30409184
t_1071,85.98904,28.38867,0.38045698,0.18794891,0.20220031,0.2884651,0.31278595,0.29589665
t_1072,85.98904,28.46767,0.35721797,0.18578178,0.18352199,0.28825292,0.30062783,0.27605557
