# 20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:150km
custom_site_id,lon,lat,"AbrahamsonEtAl2014
region = ""CHN""",AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,CauzziEtAl2014,ChiouYoungs2014,YoungsEtAl1997SInter,ZhaoEtAl2016SInter
m_10,85.5292,27.847,0.22778709,0.26173848,0.10815642,0.17734449,0.29390115,0.13420925,0.40092513
m_100,85.3206,27.613,0.22119847,0.23369281,0.1945899,0.20898747,0.24059428,0.20991601,0.28029528
m_101,85.3078,27.619,0.2213136,0.23683831,0.20445423,0.20977339,0.23773834,0.21854624,0.27986783
m_102,85.3021,27.625,0.22927867,0.23489496,0.21061558,0.21877764,0.2464872,0.22314082,0.27500954
m_103,84.5927,27.973,0.34636694,0.34564048,0.16742742,0.2635803,0.47299603,0.21990003,0.6948157
m_104,85.2983,27.629,0.230907,0.23536064,0.21559784,0.22093183,0.24681446,0.22717428,0.27309087
m_105,85.33,27.621,0.20625159,0.22174898,0.18760027,0.1962699,0.22141531,0.20006092,0.25645307
m_106,85.3835,27.604,0.19861722,0.23290995,0.17155698,0.18370695,0.2191243,0.19093432,0.25594178
m_107,85.319,27.625,0.21392767,0.22290455,0.19492441,0.2046532,0.22901423,0.20645231,0.25632447
m_108,85.2989,27.634,0.22654524,0.23134418,0.21601604,0.21775399,0.24020775,0.22579952,0.26310542
m_109,85.2905,27.639,0.19016846,0.23115866,0.15283296,0.1920921,0.19767444,0.16304524,0.23405816
m_11,85.7222,27.7707,0.26697502,0.29042915,0.10933464,0.19818874,0.35831985,0.13916604,0.4678308
m_110,85.5326,27.567,0.27621198,0.29797104,0.1659842,0.22734715,0.3441298,0.20570241,0.43305427
m_111,85.5023,27.576,0.2649745,0.2852148,0.16596177,0.22219715,0.32559082,0.20222181,0.45678386
m_112,85.2991,27.64,0.22148696,0.22675294,0.21674776,0.21400796,0.23293574,0.2243516,0.25187388
m_113,85.3287,27.631,0.19806571,0.21140826,0.18605037,0.1904176,0.2102375,0.19527222,0.23557061
m_114,85.545,27.565,0.31030735,0.282442,0.18471064,0.27077752,0.39617324,0.20659599,0.51181877
m_115,85.3193,27.636,0.20153247,0.21162267,0.19238721,0.19476052,0.21264246,0.2002076,0.23279065
m_116,85.2962,27.644,0.22836554,0.22511898,0.22204919,0.22212595,0.24065767,0.22838181,0.24980307
m_117,85.3027,27.643,0.21915454,0.21866536,0.21139745,0.2133124,0.23044617,0.21768466,0.24050884
m_118,85.3072,27.643,0.21282543,0.21403603,0.20476438,0.2073078,0.22334534,0.21085647,0.23374322
m_119,85.3572,27.627,0.21082778,0.1950698,0.19255368,0.2075799,0.22750641,0.18411446,0.23635662
m_12,84.8008,28.2189,0.2685311,0.28623357,0.110097565,0.19393933,0.37096575,0.14032358,0.49066377
m_120,85.5087,27.581,0.27062556,0.28348598,0.16561233,0.2268507,0.33581892,0.20176399,0.4571146
m_121,84.6047,27.987,0.340721,0.3435411,0.1673625,0.2564592,0.4633917,0.21918088,0.6890671
m_122,85.3456,27.633,0.20691478,0.1908733,0.19533463,0.20544393,0.22044395,0.18443906,0.22465439
m_123,85.3284,27.639,0.18931276,0.20343794,0.1833712,0.18346618,0.19819723,0.19029626,0.21961169
m_124,85.3385,27.636,0.18666212,0.20210454,0.17792276,0.180183,0.19654885,0.18579018,0.22037768
m_125,85.502,27.586,0.26017788,0.28024027,0.1654377,0.21827684,0.31886467,0.20040339,0.44364795
